ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,927860.629503612,-16062.469048406985,30.479999999973963,33.0016399999991,-97.32074999999371,100.0,0.1573,104.01,500.0,279.26,605.97,65694.0
343.0,909833.01847195,-13123.524332058387,902.8467831628515,33.04320107768379,-97.51027604260186,2962.0,0.1704,111.57,0.0,269.29,487.73,65206.0
687.0,890122.3601381556,-13368.840731895052,902.8672898276478,33.05744859250599,-97.72108943948258,2962.0,0.2033,133.08,0.0,281.08,368.09,64838.0
1030.0,867046.7590414941,-8851.261524932946,902.8751386732893,33.116580783630994,-97.96338440746021,2962.0,0.1677,109.8,456.0,296.08,586.19,64252.0
1374.0,849715.7311519993,-369.6141645882292,1698.646596426017,33.20614396287173,-98.14078734090481,5573.0,0.3241,210.26,189.0,300.85,261.19,63991.0
1717.0,817885.5068482066,18642.46378972728,2028.2132307267282,33.40071628909842,-98.46438515709235,6654.0,0.5241,338.68,78.0,285.85,289.45,63701.0
2061.0,760367.8423017989,34972.4086850121,2164.335505093922,33.589140764118774,-99.0681277419266,7101.0,0.4208,271.47,578.0,299.26,316.84,63385.0
2404.0,718783.7310841127,58272.53249955551,3172.623049663549,33.826464092936966,-99.49685779934902,10409.0,0.2208,140.73,803.0,309.23,560.0,62825.0
2748.0,699719.2127167142,73840.25294373174,4573.39566764697,33.97853621474683,-99.69027244552191,15005.0,0.2453,153.69,926.0,294.3,557.81,62267.0
3091.0,675267.7808611247,84881.06277851816,6188.402285165083,34.09326545118082,-99.94623175731166,20303.0,0.4354,267.17,947.0,281.01,363.58,61903.0
3435.0,629464.1648998776,93789.03772635602,7840.375134791941,34.20135767815638,-100.4360832430884,25723.0,0.6352,381.21,452.0,285.94,272.88,61630.0
3778.0,565054.1512620418,112180.92724859642,8628.460998988478,34.4027486114281,-101.12314299610367,28309.0,0.82,486.77,-48.0,270.94,270.98,61359.0
4121.0,479009.7494433442,113587.27544111686,8544.509070097221,34.45817174387127,-102.05897703648215,28033.0,0.82,487.34,-182.0,255.94,260.99,61098.0
4465.0,395299.80131577083,92617.30104490064,8227.70484363704,34.304782094588134,-102.98080034445589,26994.0,0.8151,486.55,-500.0,264.48,239.19,60859.0
4808.0,309220.7854997977,84303.91471683676,7355.380761859895,34.25892096318008,-103.92039981710226,24132.0,0.6151,371.6,-227.0,276.9,191.66,60667.0
5152.0,243866.5294947025,92214.52526951526,6958.742994282651,34.347189199634336,-104.62903777367312,22831.0,0.4151,252.12,-202.0,286.69,179.68,60488.0
5495.0,201098.85615596722,105040.4809950801,6606.576421250434,34.47154416956083,-105.09176372509998,21675.0,0.4496,274.37,-484.0,276.16,127.26,60361.0
5839.0,152640.04128747148,110269.2052759473,5762.4203723762375,34.52673298273418,-105.61936414300625,18906.0,0.4632,285.78,-204.0,264.84,168.78,60192.0
6182.0,102237.24391544015,105713.93191512596,5405.666145887093,34.491905282059115,-106.17004479036892,17735.0,0.2868,177.77,269.0,250.27,351.51,59840.0
6526.0,72763.75926429025,95145.36636862413,5875.504151174809,34.3993260672574,-106.49251318885774,19277.0,0.2776,171.04,396.0,265.16,406.81,59433.0
6869.0,42795.48492654917,92606.91179031375,6566.75693586518,34.37814703461414,-106.81925739948561,21544.0,0.3075,187.75,116.0,265.09,311.99,59121.0
7212.0,9789.731379208766,89772.30920694939,6769.074595706578,34.35348116798324,-107.17892578002431,22208.0,0.5071,308.74,-360.0,256.64,147.07,58974.0
7556.0,-43501.00703656919,77112.81207503495,6140.87516291533,34.23877881354174,-107.75877914314385,20147.0,0.3499,214.81,38.0,241.99,235.2,58739.0
7899.0,-76994.24309121608,59296.39113885439,6207.740691264264,34.07664523406655,-108.12153428700786,20367.0,0.5297,324.96,-433.0,242.17,146.49,58593.0
8243.0,-128015.46712338002,32362.275499680836,5451.878850006009,33.82951049706715,-108.67150930175903,17887.0,0.5695,352.8,-415.0,257.17,175.34,58417.0
8586.0,-189070.75867972826,18453.47763568649,4728.602320765754,33.69535624051817,-109.32939300925956,15514.0,0.3696,231.08,59.0,272.17,208.04,58209.0
8930.0,-229843.59357510967,19995.889239845765,4831.647845676018,33.70120319714497,-109.77038769307634,15852.0,0.5435,339.33,-146.0,276.64,204.25,58005.0
