ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,59035.500087839384,200450.0507710046,30.48000030452557,33.00163999910601,-97.32075000107822,100.0,0.3,198.38,2414.0,197.06,110.15,66190.0
62.0,57196.07454530808,194456.57640627434,792.4695404001936,32.94783580914948,-97.34083952338113,2600.0,0.474,310.75,2291.0,196.98,99.3,66091.0
124.0,54314.96465860117,185019.22514093906,1515.6246518054313,32.863108264456535,-97.37225976448796,4973.0,0.4912,319.33,2135.0,196.97,95.86,65995.0
186.0,51352.64130678303,175314.57516905153,2189.577613932506,32.77597275738764,-97.40450325792112,7184.0,0.508,327.64,1996.0,196.97,92.51,65902.0
249.0,48312.617653844296,165351.29992289087,2819.6959515044505,32.68650650352783,-97.43752714180829,9251.0,0.5246,335.77,1871.0,196.95,89.29,65813.0
311.0,45198.23755275736,155135.32570794443,3410.42641668935,32.59476204922725,-97.47129067659903,11189.0,0.5436,345.46,1772.0,196.94,86.53,65726.0
373.0,41996.16416572712,144619.5258093872,3969.8621469212503,32.50031547545803,-97.50593347784275,13024.0,0.5634,355.61,1688.0,196.92,84.08,65642.0
435.0,38702.81649645225,133790.22441627693,4502.888303324794,32.40304318989662,-97.54148854101383,14773.0,0.5831,365.61,1607.0,196.89,81.72,65561.0
497.0,35319.8998235188,122652.03164284583,5010.115135931024,32.302985827586674,-97.5779314741732,16437.0,0.6027,375.49,1527.0,196.87,79.44,65481.0
559.0,31849.239760726872,111208.55930156673,5492.078815815443,32.20017505068084,-97.61523668160908,18019.0,0.6223,385.27,1448.0,196.84,77.23,65404.0
621.0,28293.02798179073,99462.60775176561,5949.264637455838,32.09463522621087,-97.65337475052793,19519.0,0.6417,394.98,1371.0,196.81,75.14,65329.0
684.0,24653.019018820305,87415.72332102939,6382.062953741157,31.98637947060955,-97.69232099704267,20939.0,0.6612,404.65,1295.0,196.78,73.13,65256.0
746.0,20930.423722252886,75069.0714452396,6790.828152747904,31.87541749854702,-97.73205653498988,22280.0,0.6807,414.32,1219.0,196.75,71.21,65184.0
808.0,17125.21722780332,62422.4903022164,7175.797946730993,31.761747114784363,-97.77257557907295,23543.0,0.7002,424.02,1145.0,196.72,69.42,65115.0
870.0,13236.775044710674,49475.34013261239,7537.15902164001,31.645361825217666,-97.81387861354351,24728.0,0.7271,438.2,1037.0,196.69,67.48,65048.0
932.0,9223.856566751529,36089.4579096065,7864.57556489731,31.52501866809514,-97.85639581659633,25802.0,0.7411,444.62,537.0,196.66,58.06,64989.0
994.0,5153.952554210217,22487.89172134457,8034.140662455386,31.402722059149017,-97.89940520948652,26359.0,0.6978,417.68,37.0,196.63,45.14,64944.0
