ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,59035.500093051334,200450.05096635144,30.48000010497494,33.00164000086248,-97.32075000100994,100.0,0.3,198.38,2414.0,197.06,101.66,66198.0
57.0,57337.426967441745,194917.15221684345,733.6745503188669,32.95197057132314,-97.33929659197888,2407.0,0.4665,306.03,2331.0,212.06,92.23,66106.0
115.0,52576.728081430745,187316.60777132984,1412.8966628341823,32.88385076938607,-97.39073830983052,4635.0,0.5406,351.88,1831.0,227.06,85.61,66021.0
172.0,45010.052688557276,180275.7386814157,1946.4471218997326,32.82085854971838,-97.47209694123103,6386.0,0.5976,386.53,1331.0,230.95,80.18,65940.0
229.0,36178.54918514251,173112.2540803787,2334.325927587909,32.75675334975424,-97.56687046924228,7659.0,0.5546,357.04,1712.0,215.95,81.89,65858.0
287.0,30018.97212605254,164619.8395636078,2833.1256555484615,32.68055977246312,-97.63300237033648,9295.0,0.6163,394.4,1212.0,200.95,76.29,65782.0
344.0,25868.468147576797,153781.12513030818,3186.2537313048265,32.583187652400255,-97.67764104291616,10454.0,0.6693,426.55,712.0,189.46,72.08,65710.0
401.0,23802.54262440227,141384.73084765463,3393.710154268639,32.471749885483185,-97.69999977598967,11134.0,0.6792,431.71,665.0,179.87,71.33,65639.0
459.0,23832.390183490443,128664.29174940672,3587.507967224029,32.357352183970626,-97.69999990934974,11770.0,0.6843,433.98,668.0,184.4,70.89,65568.0
516.0,22850.38651665617,115914.85100212418,3782.1823521354977,32.24271430402234,-97.71075832772772,12409.0,0.6896,436.24,671.0,199.4,70.43,65497.0
574.0,18579.88745746826,103791.09214664756,3977.7422768445,32.133760309899095,-97.75639767628404,13050.0,0.6948,438.51,674.0,214.4,69.97,65427.0
631.0,11279.410876876489,93130.7766366252,4174.197155640227,32.03798487187464,-97.8340508280838,13695.0,0.7001,440.77,677.0,229.4,69.5,65358.0
688.0,1418.1487163335544,84679.97044633115,4371.5568913307325,31.96203939689152,-97.93867774149207,14342.0,0.7054,443.02,681.0,222.91,69.04,65289.0
746.0,-7468.307869739167,75118.81906959783,4569.8319261323295,31.876030594521257,-98.03279995674836,14993.0,0.7108,445.26,684.0,212.69,68.56,65220.0
803.0,-14552.997274145204,64077.23495570333,4769.033293931594,31.77666380162619,-98.10766256885304,15646.0,0.7161,447.49,687.0,211.48,68.06,65152.0
860.0,-21438.105226927597,52833.23908674302,4969.172682935267,31.675437320513087,-98.18025215274935,16303.0,0.7215,449.7,690.0,212.3,67.56,65085.0
918.0,-28518.562092674805,41634.25278761403,5170.262504317183,31.574570409441588,-98.25474814250563,16963.0,0.7269,451.89,694.0,197.3,67.06,65018.0
975.0,-32478.39436932459,28922.84144775292,5372.315969863129,31.460150883757183,-98.29612937232172,17626.0,0.7322,454.06,697.0,182.3,66.54,64951.0
1032.0,-33015.90007626517,15556.095233094555,5575.3471805193885,31.339926781916358,-98.30135153880447,18292.0,0.7376,456.2,700.0,167.3,66.01,64885.0
1090.0,-30061.7284268495,2444.4721195311636,5779.371224980358,31.222091864333162,-98.26985037040312,18961.0,0.743,458.3,704.0,153.03,65.48,64820.0
1147.0,-23937.687740039903,-9588.843150673314,5984.404298275899,31.11401559797793,-98.20516020848831,19634.0,0.7483,460.36,707.0,156.6,64.93,64755.0
1204.0,-18551.06247440795,-22035.774950310253,6190.463829800859,31.002175653945145,-98.14834745671868,20310.0,0.7536,462.37,600.0,170.26,62.72,64692.0
1262.0,-16246.394934950462,-35464.38287932426,6365.211300721705,30.881443707420818,-98.12395074005346,20883.0,0.758,464.04,100.0,185.26,54.43,64638.0
1319.0,-17501.65214083816,-49095.06491692464,6394.287165402352,30.758842330080277,-98.13686904999656,20979.0,0.6434,393.68,-400.0,170.26,34.51,64603.0
1376.0,-15535.552883893792,-60550.93638262763,6277.691406215198,30.65584496446578,-98.11611852747353,20596.0,0.7562,463.44,-900.0,155.26,38.3,64565.0
1434.0,-9804.779029235035,-72988.5450603713,6015.424006698128,30.54405246812804,-98.05608918228216,19736.0,0.7498,461.11,-1400.0,140.26,30.68,64534.0
1491.0,-1088.3950206646284,-83473.15934352374,5607.484969410152,30.449802318439254,-97.96506159350167,18397.0,0.7395,457.21,-902.0,148.61,40.09,64494.0
1548.0,5948.361513633723,-95005.5555366956,5344.678843427041,30.346074507121557,-97.89172698061176,17535.0,0.5714,354.43,-402.0,163.61,31.55,64462.0
1606.0,8901.178618159673,-105044.56867371772,5227.544301402331,30.255773062147075,-97.86104320308417,17151.0,0.3714,230.71,98.0,178.61,42.5,64420.0
1663.0,9066.315341451675,-111848.14509624796,5256.081306932661,30.194585823112856,-97.85938343854158,17244.0,0.2949,183.13,87.0,193.61,55.47,64364.0
1721.0,7795.161801087169,-117098.61970198118,5281.489678854609,30.147376201755318,-97.87264842482496,17328.0,0.4949,307.24,-413.0,208.61,26.29,64338.0
1778.0,3451.6740038700773,-125061.9688330518,5161.226478630028,30.075780633695246,-97.9178444881691,16933.0,0.6949,432.07,-913.0,223.61,36.27,64302.0
1835.0,-5353.891824427239,-134305.62584663843,4895.291663776959,29.992643404763765,-98.00929544720553,16061.0,0.7215,450.14,-1413.0,238.61,33.26,64269.0
1893.0,-16714.729000627736,-141238.69045349743,4483.685217974485,29.93018814086627,-98.12714385182696,14710.0,0.7107,445.68,-1913.0,223.66,25.68,64243.0
1950.0,-25816.218284831608,-150776.32510250297,3926.4071498623775,29.844253103969443,-98.22135002035758,12882.0,0.6959,439.44,-2413.0,217.49,18.5,64224.0
2007.0,-33730.34777445587,-161092.76868331683,3223.4575249105146,29.751279761746265,-98.30306860397158,10576.0,0.6563,418.02,-2498.0,218.53,14.22,64210.0
2065.0,-41434.10483158463,-170766.5053350871,2495.5653224325947,29.66404239267416,-98.38248223588558,8188.0,0.5521,354.74,-2497.0,225.46,8.09,64202.0
2122.0,-48908.52902566063,-178121.9131903161,1768.071805847338,29.59761486958921,-98.45949187291093,5801.0,0.5638,365.4,-2481.0,217.11,8.29,64194.0
2179.0,-55426.733900708474,-186736.15157082843,1045.2623997768499,29.519865456664952,-98.52645170669162,3429.0,0.4634,302.87,-1989.0,208.13,8.76,64185.0
2237.0,-59645.49184412036,-194625.97106186778,465.85292818890366,29.448711932057936,-98.56960576920682,1528.0,0.2954,194.36,-1494.0,197.06,9.7,64175.0
2294.0,-61327.31234216471,-200105.91386794095,30.47999999999903,29.39934712674029,-98.5866590208111,100.0,0.1274,84.25,-1000.0,185.99,39.46,64136.0
