ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,121284.3664533697,295095.25037321664,30.480000304382184,32.85131999911143,-96.86345000108257,100.0,0.3,198.38,2414.0,203.63,154.19,66146.0
87.0,117773.50841014048,287069.44792619016,1097.076796726506,32.779515228992736,-96.90201782152154,3599.0,0.4777,312.09,2240.0,202.65,137.3,66009.0
174.0,112438.86732882814,274287.1897443055,2087.0199528767157,32.665106483227504,-96.96057101889734,6847.0,0.5014,323.78,2036.0,202.65,130.6,65878.0
261.0,106900.06592242539,261012.0284209421,2986.5571397152457,32.54625713802099,-97.02120712389006,9798.0,0.5243,334.96,1862.0,202.64,124.26,65754.0
348.0,101168.38739185457,247266.92992267085,3809.1794358272136,32.423169722108526,-97.08378681279476,12497.0,0.5517,348.88,1740.0,202.62,119.21,65634.0
435.0,95199.46698471783,232941.0515793307,4578.250339345774,32.29484821161778,-97.14877669976929,15021.0,0.5789,362.59,1627.0,202.6,114.48,65520.0
522.0,88998.9523203225,218043.2521309545,5297.210904203796,32.16136812543365,-97.21609516722992,17379.0,0.6057,375.96,1517.0,202.57,109.96,65410.0
609.0,82574.13648079417,202586.42922645126,5967.746036080085,32.02284122413453,-97.28564286230964,19579.0,0.6322,389.05,1411.0,202.54,105.69,65304.0
696.0,75931.50699160362,186581.94666390188,6591.421297329479,31.879365618293757,-97.35732943453813,21625.0,0.6585,401.9,1309.0,202.51,101.69,65203.0
783.0,69076.32570835347,170038.96328391362,7169.65542868726,31.731019749404908,-97.43107798443896,23522.0,0.6846,414.6,1208.0,202.48,97.92,65105.0
870.0,62012.03265041772,152963.3521391643,7703.659190979395,31.577852676990894,-97.50683130946275,25274.0,0.7105,427.18,1111.0,202.44,94.45,65010.0
957.0,54740.906673227844,135359.6720401656,8194.57141394093,31.419901731619262,-97.58454461085569,26885.0,0.7362,439.65,1016.0,202.41,91.25,64919.0
1044.0,47264.36575376261,117232.29464302557,8643.514068112963,31.25720261021713,-97.66418217463067,28358.0,0.7597,450.85,931.0,202.39,88.38,64831.0
