ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,121284.3665531046,295095.25047258864,30.480000000037514,32.851319999994494,-96.86345000000257,100.0,0.3,198.38,2414.0,203.63,136.51,66163.0
77.0,118173.89641821611,287984.7332987532,974.7678290833643,32.78770464485921,-96.89762258298597,3198.0,0.5,327.08,2134.0,200.92,120.21,66043.0
154.0,113578.16651610135,275963.9841428916,1809.7326622810867,32.68007326706291,-96.94820440904897,5937.0,0.5646,365.76,1634.0,201.22,111.21,65932.0
231.0,108358.71794752975,262519.02202762273,2449.090799915074,32.55967311639028,-97.00547967008141,8035.0,0.6166,396.45,1176.0,203.74,103.94,65828.0
308.0,102054.2578507545,248187.14057646156,2909.243209302394,32.43136721806118,-97.0742537848528,9545.0,0.6666,426.24,676.0,204.53,97.66,65730.0
385.0,95054.92638088748,232850.4555383555,3173.8008367630746,32.294045317482606,-97.15032296864817,10413.0,0.6734,429.18,662.0,211.36,96.46,65634.0
462.0,86220.34575710286,218355.24505547766,3432.790253311885,32.16438193882521,-97.24557883971131,11262.0,0.6803,432.23,666.0,213.61,95.67,65538.0
539.0,76756.50549167539,204118.22180391132,3693.3403145885136,32.03701147259483,-97.34721957089432,12117.0,0.6873,435.28,670.0,211.75,94.86,65443.0
616.0,67697.15163056178,189478.86629026578,3955.473191315433,31.905919990959788,-97.44432315685822,12977.0,0.6943,438.33,674.0,211.31,94.03,65349.0
693.0,58688.69632916173,174667.41210323252,4219.2117299349875,31.77320565235358,-97.54062412380605,13843.0,0.7014,441.36,678.0,200.95,93.18,65256.0
770.0,52446.00099430569,158366.33264776831,4484.579471623056,31.62690431060956,-97.6075171997947,14713.0,0.7086,444.38,683.0,190.9,92.34,65164.0
847.0,49122.10391248238,141108.84808064005,4751.600947651744,31.471850026733048,-97.64347084586784,15589.0,0.7158,447.38,687.0,205.9,91.45,65072.0
924.0,41393.32645754358,125193.28535014356,5020.302398140126,31.32901497127025,-97.725615769218,16471.0,0.723,450.35,691.0,220.9,90.54,64982.0
1001.0,29732.138535025984,111731.80288829097,5290.710835104224,31.208302529916732,-97.84877711929794,17358.0,0.7302,453.28,696.0,212.76,89.63,64892.0
1078.0,20032.31675066351,96657.46454303733,5562.842530047858,31.07293863472267,-97.9510619256,18251.0,0.7374,456.16,700.0,197.76,88.68,64804.0
1155.0,14529.842625101384,79478.19774043698,5836.719528093876,30.918521584989755,-98.00907976640026,19149.0,0.7446,458.98,589.0,205.79,85.38,64718.0
1232.0,6630.408134463789,63130.78928522957,6067.232193626828,30.771575552572585,-98.09199194098717,19906.0,0.7506,461.3,90.0,201.77,74.05,64644.0
1309.0,-147.19358176879933,46161.84791048028,6102.399868580736,30.618988462970425,-98.16292819930655,20021.0,0.7517,461.76,-409.0,202.83,63.03,64581.0
1386.0,-7251.5868372416835,29282.72878514474,5942.438547879644,30.467169173752517,-98.23705239145785,19496.0,0.7475,460.14,-43.0,187.92,71.62,64510.0
1463.0,-9764.549504652918,11224.20569597359,5925.610143588703,30.30474740137146,-98.26310349974288,19441.0,0.7477,460.34,-227.0,202.92,67.74,64442.0
1540.0,-16871.271203033917,-5583.8389658986525,5836.844247082053,30.15351126320792,-98.33686125048258,19150.0,0.7456,459.61,-173.0,202.89,69.27,64373.0
1617.0,-23956.378938357575,-22366.860738526582,5769.038323470535,30.002459733491044,-98.41016972788665,18927.0,0.7441,459.06,301.0,187.89,79.66,64293.0
1694.0,-26450.85793693131,-40368.4951032103,5886.755928573772,29.84051653451178,-98.43562604193563,19314.0,0.6444,396.94,799.0,172.89,79.26,64214.0
1771.0,-24508.756715263364,-55939.26449670101,6199.5164806454295,29.70052630062314,-98.41513382689571,20340.0,0.4445,272.67,1298.0,157.89,94.98,64119.0
1848.0,-20461.1840943137,-65903.45483190886,6707.269359523278,29.610990585018822,-98.37303850818894,22005.0,0.525,319.95,1469.0,154.48,93.03,64026.0
1925.0,-15026.415233111422,-77287.34971543636,7282.007382130962,29.50869135110271,-98.31666260104014,23891.0,0.7123,430.76,1007.0,169.48,82.34,63943.0
2002.0,-11919.037530575557,-94017.795785021,7675.833225496125,29.358264994382658,-98.28436843285445,25183.0,0.7903,475.34,732.0,184.48,80.67,63863.0
2079.0,-13386.246096529874,-112754.12509809903,7962.246066881396,29.18975034897513,-98.29927690689351,26123.0,0.7799,467.26,532.0,199.48,73.88,63789.0
