ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-451823.1189745261,-139453.51978910467,30.480000304148263,32.8512987894407,-96.86344089567936,100.0,0.3,198.38,2414.0,68.68,211.86,66088.0
120.0,-440636.34710216545,-135087.87415955003,1495.9799502834744,32.895148696432436,-96.74593404966363,4908.0,0.4888,317.83,2148.0,70.97,184.78,65903.0
239.0,-422343.78692810895,-128779.84736685286,2800.4231691757227,32.959158409275084,-96.55315066787921,9188.0,0.5215,333.87,1887.0,70.94,172.25,65731.0
359.0,-403105.2786665207,-122132.22092169012,3946.3909621701055,33.02627944487331,-96.35010357767635,12947.0,0.5588,352.79,1710.0,70.89,162.38,65569.0
478.0,-382764.20092259196,-115084.19482556457,4984.40471637026,33.097064449128766,-96.13509268848095,16353.0,0.5963,371.59,1555.0,70.87,153.55,65415.0
598.0,-361325.86691949953,-107648.06975284278,5928.522036944072,33.171339794052635,-95.90811307903999,19451.0,0.6333,389.87,1407.0,70.9,145.35,65270.0
717.0,-338814.35100682575,-99851.97524695033,6782.717321855268,33.2487802537282,-95.66935380751273,22253.0,0.6697,407.68,1265.0,70.97,137.81,65132.0
837.0,-315249.45438644325,-91724.31384151074,7550.746031788702,33.32905753251459,-95.41895884136581,24773.0,0.7055,425.1,1129.0,71.07,130.99,65001.0
956.0,-290648.2512728356,-83288.61426457114,8236.170923763864,33.41188579055234,-95.1570456801015,27022.0,0.7416,442.64,995.0,71.16,124.83,64876.0
1076.0,-265004.47233747004,-74537.51299005879,8840.564698980601,33.49726049753847,-94.88349053415968,29004.0,0.7692,455.27,895.0,71.19,119.7,64756.0
1195.0,-238613.02793439734,-65547.56563619229,9384.195329709222,33.5843505577198,-94.60139405907456,30788.0,0.7855,461.31,1007.0,71.18,121.07,64635.0
1315.0,-211889.49694602823,-56437.40403675078,9995.813740079702,33.671948373925794,-94.31517168923975,32795.0,0.7916,460.84,746.0,71.14,109.17,64526.0
1434.0,-185167.46863868422,-47307.243800787044,10448.769259645613,33.75906628394985,-94.02838906112598,34281.0,0.7844,453.64,246.0,71.08,89.04,64437.0
1554.0,-158809.69387588903,-38274.88482495374,10598.136247353656,33.84458698158087,-93.7449517192857,34771.0,0.7646,441.21,-57.0,71.03,76.15,64361.0
1673.0,-133146.59140527304,-29454.478439113715,10563.52030972461,33.927465615419315,-93.46844554635935,34657.0,0.7767,448.4,44.0,71.0,80.66,64280.0
1793.0,-107082.60508456589,-20477.923682766086,10590.1300985168,34.0111718697076,-93.18707379170073,34745.0,0.7737,446.52,15.0,70.99,79.22,64201.0
1912.0,-81125.45107064725,-11535.421408286944,10599.369129826246,34.093923308276395,-92.9063064950888,34775.0,0.7747,447.01,22.0,71.01,79.42,64122.0
2032.0,-55137.25781400412,-2593.409422708499,10612.963380759402,34.176033690690815,-92.62465506806396,34819.0,0.7746,446.88,21.0,71.06,79.24,64043.0
2151.0,-29149.010955049078,6325.263139323414,10625.583630688372,34.25729112538923,-92.3424564267836,34861.0,0.7748,446.89,21.0,71.13,79.12,63963.0
2271.0,-3148.784145053253,15210.3998254648,10638.466844372795,34.337600637906526,-92.05958420230195,34903.0,0.7749,446.85,21.0,71.24,78.99,63884.0
2390.0,22865.48300088623,24048.300638883033,10651.428326888763,34.416834533439804,-91.77602068844502,34946.0,0.7749,446.8,20.0,71.35,78.83,63806.0
2510.0,48895.37862516677,32831.739410847375,10663.758979527769,34.494923847482625,-91.49175487521804,34986.0,0.7752,446.85,22.0,71.48,78.78,63727.0
2630.0,74947.72974457269,41556.361957599096,10676.816186885386,34.57182472333031,-91.20671898608536,35029.0,0.7752,446.78,12.0,71.62,78.29,63649.0
2749.0,101018.27912705757,50217.50358739145,10684.334980088612,34.64749086610508,-90.92096691776433,35054.0,0.7766,447.51,52.0,71.76,79.69,63569.0
2869.0,127148.63820537711,58827.206439838825,10715.699824869602,34.722021030147424,-90.63404914633462,35156.0,0.7719,444.64,-8.0,71.9,77.05,63492.0
2988.0,153139.1272133181,67322.04406608401,10710.66843007397,34.794867093616695,-90.3481690663773,35140.0,0.7661,441.34,-508.0,72.01,58.8,63433.0
3108.0,179008.1003026684,75721.24987172229,10402.048503432972,34.86620668319465,-90.06313842571592,34127.0,0.726,420.11,-1008.0,72.1,38.8,63394.0
3227.0,203692.5350835469,83696.42148943577,9789.84004495938,34.93330564355605,-89.79071015431889,32119.0,0.6798,396.91,-1221.0,72.15,29.15,63365.0
3347.0,227036.96260225278,91212.3110038474,9048.330492375924,34.995966441804214,-89.53266994420773,29686.0,0.6396,377.46,-1278.0,72.19,25.33,63340.0
3466.0,249242.39262828772,98346.7559633158,8272.475462691886,35.054931448898834,-89.28685926916859,27141.0,0.6029,359.7,-1300.0,72.19,22.8,63317.0
3586.0,270400.7732246566,105145.35724965238,7483.272370701326,35.1106604665352,-89.05231038051896,24551.0,0.5702,343.87,-1306.0,72.13,20.98,63296.0
3705.0,290618.5779107757,111663.37610621707,6690.486502477135,35.16368507960516,-88.82788221961557,21950.0,0.5403,329.32,-1302.0,72.02,19.57,63276.0
3825.0,309964.8958818266,117941.5488895584,5900.225983097038,35.21440647381956,-88.61283985349893,19358.0,0.5128,315.82,-1291.0,71.89,18.46,63258.0
3944.0,328500.47262688284,124004.63143797741,5116.455844369201,35.263077383103585,-88.40653913074595,16786.0,0.4879,303.53,-1277.0,71.77,17.55,63240.0
4064.0,346299.7566498847,129865.64110079435,4340.953642313179,35.309834035445874,-88.2081847522262,14242.0,0.4651,292.22,-1262.0,71.71,16.78,63224.0
