ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-451823.1191118063,-139453.5198973739,30.480000110225145,32.85129878841097,-96.86344089709351,100.0,0.1573,104.01,914.0,68.68,242.78,66057.0
133.0,-445258.62201231375,-136891.72019349225,646.2921553578644,32.87704354264775,-96.79450088523593,2120.0,0.167,109.66,917.0,53.68,241.56,65816.0
265.0,-439270.5843070153,-132490.13233382098,1264.3903185106699,32.919029855860366,-96.7325783738463,4148.0,0.1982,129.23,1212.0,40.5,238.45,65577.0
398.0,-433594.7452948014,-125845.13057193854,2081.394835914616,32.98099981268595,-96.67501406506084,6829.0,0.2214,142.96,1282.0,55.5,234.0,65343.0
531.0,-425627.10261644056,-120369.60244388065,2945.3049414513625,33.03336225695185,-96.59225900635809,9663.0,0.2593,165.71,1440.0,70.5,226.31,65117.0
663.0,-415069.2519099867,-116631.35849345684,3915.9764272728194,33.071084740479584,-96.48083308690347,12848.0,0.331,209.09,1677.0,85.5,210.69,64906.0
796.0,-400988.9853991297,-115523.79808463043,5045.8435871599795,33.08641738394857,-96.33035885847613,16555.0,0.531,330.68,1726.0,84.61,175.19,64731.0
929.0,-378718.9861628853,-113422.67613601423,6208.675890465285,33.11343153219793,-96.09240170647738,20370.0,0.6786,416.27,1226.0,69.61,155.54,64575.0
1061.0,-352247.1803125662,-103583.30389161826,7034.563576505685,33.210895588995136,-95.81223572467424,23079.0,0.7741,469.69,726.0,69.54,143.57,64432.0
1194.0,-322318.19639704487,-92416.65983936502,7523.506654314675,33.320713378317016,-95.49474744847446,24683.0,0.7851,473.22,732.0,69.66,140.22,64292.0
1327.0,-292142.17447877023,-81231.26670134427,8016.7992338271515,33.42996190165751,-95.17380823048407,26302.0,0.795,475.97,734.0,69.76,136.59,64155.0
1459.0,-261774.11381935122,-70031.23074998158,8511.46691714243,33.53856460334393,-94.8499980297119,27925.0,0.8032,477.6,284.0,69.86,116.78,64038.0
1592.0,-231216.16170594378,-58821.94946425621,8702.911896038044,33.64645078234195,-94.52332966603618,28553.0,0.8062,478.09,33.0,69.95,106.11,63932.0
1725.0,-200571.92159002938,-47637.749088731216,8725.374712985327,33.75327029534078,-94.19490759157365,28627.0,0.8072,478.5,22.0,69.95,105.56,63827.0
1857.0,-169898.54815402004,-36445.56907411362,8740.025933463068,33.85929796969274,-93.8653572298448,28675.0,0.808,478.92,-29.0,69.94,103.61,63723.0
1990.0,-139193.4727172184,-25234.533304696546,8720.712031282283,33.96462377907537,-93.53465184104208,28611.0,0.8085,479.34,-44.0,69.68,103.27,63620.0
2122.0,-108510.63407082536,-13873.772175633161,8691.313991128618,34.07041054029509,-93.20339164324285,28515.0,0.8089,479.74,-1.0,69.63,105.11,63515.0
2255.0,-77818.69233453259,-2477.640526535632,8690.43670548063,34.17562873543474,-92.87121254362681,28512.0,0.8095,480.14,-13.0,69.6,104.72,63410.0
2388.0,-47105.76863160147,8946.57472591454,8681.81998356007,34.28020687644636,-92.53798240470515,28484.0,0.8101,480.54,-5.0,69.6,105.12,63305.0
2520.0,-16368.180934406266,20378.315344491944,8678.754234939357,34.38395251396428,-92.20365855030063,28474.0,0.8107,480.94,-192.0,69.62,98.43,63206.0
2653.0,14425.144176492882,31820.480392216832,8549.251410349802,34.48688301016489,-91.86790190730649,28049.0,0.8096,481.12,-692.0,69.73,81.41,63125.0
2786.0,45321.30950264488,43233.233050544186,8082.804190032833,34.58862740668023,-91.53019912321105,26518.0,0.8022,479.84,-1192.0,69.68,67.03,63058.0
2918.0,76189.84889849239,54664.24996910984,7279.412475405365,34.68960931180446,-91.19197426760373,23883.0,0.7856,475.08,-1567.0,68.89,59.18,62999.0
3051.0,106633.0045993096,66419.2025612978,6223.253119181507,34.792615368848914,-90.85754544388843,20417.0,0.6717,411.96,-1067.0,77.26,58.56,62940.0
3184.0,134174.27521993287,72648.34899767693,5504.0383187216075,34.845405089110685,-90.55498317578098,18058.0,0.4717,292.02,-567.0,92.26,48.13,62892.0
3316.0,154132.6932234697,71862.24282188136,5121.768085764462,34.83554016024345,-90.33645750127056,16804.0,0.2717,169.04,-67.0,107.26,121.75,62770.0
3449.0,165152.21364823054,68439.41975843522,5076.442421803309,34.80305648036812,-90.21641405537393,16655.0,0.2614,162.7,433.0,92.26,174.92,62595.0
3582.0,176222.52186132918,68003.3916781183,5368.061321225346,34.79730104451049,-90.09528328674668,17612.0,0.2706,167.81,933.0,77.26,205.25,62390.0
3714.0,187330.52810306335,70515.74515358281,5996.624701112656,34.81792626170712,-89.97310005255726,19674.0,0.2931,180.26,930.0,62.26,195.83,62194.0
3847.0,198159.18672619417,76211.63797962278,6623.609376666471,34.867102660041766,-89.85316442950004,21731.0,0.318,194.03,928.0,47.26,185.97,62008.0
3980.0,207831.99351031805,85151.3499216725,7248.877738749808,34.9455549286574,-89.74495258397938,23782.0,0.346,209.33,827.0,32.26,169.54,61839.0
4112.0,215421.68808294076,97177.7040233142,7806.131245266329,35.05209540348287,-89.6586031766178,25611.0,0.4057,243.58,327.0,47.26,115.11,61724.0
4245.0,227609.83012246536,108442.11872899492,8026.44014734485,35.1507099204559,-89.52166831698035,26333.0,0.6057,362.57,-173.0,62.26,73.51,61650.0
4378.0,249525.46020423603,119969.78146009104,7909.8044364050575,35.249200665438615,-89.27724305367076,25951.0,0.8057,483.06,-673.0,76.54,88.29,61562.0
4510.0,281681.90984912595,127669.01609688683,7456.224109608725,35.3100138915741,-88.92068384254671,24463.0,0.7956,479.97,-1173.0,72.1,73.91,61488.0
4643.0,313008.1701555578,137789.2227035757,6665.699165576809,35.39179451353326,-88.57182231554776,21869.0,0.7759,473.09,-1673.0,71.41,61.31,61427.0
4776.0,343818.7980999553,148151.62221649988,5538.22960411691,35.47492577615542,-88.22784648270792,18170.0,0.7457,461.4,-2173.0,77.63,49.75,61377.0
4908.0,374830.4946149262,154955.70883076615,4073.8154277277176,35.52505475824818,-87.88257858379042,13366.0,0.6841,431.2,-2500.0,92.63,35.6,61341.0
5041.0,404484.2758709589,153596.087576162,2389.0923407719506,35.501457198507566,-87.5559301148114,7838.0,0.4841,311.45,-2000.0,83.68,19.14,61322.0
5174.0,425736.49058329174,155949.20603459672,1041.3138620769,35.513887336207254,-87.32021328710626,3416.0,0.2841,185.68,-1500.0,68.68,22.12,61300.0
5306.0,437572.53502116015,160568.2307500303,30.479999859120802,35.55031000075544,-87.18712999920542,100.0,0.0841,55.59,-1000.0,53.68,237.04,61063.0
