ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-451823.1190744481,-139453.51989039613,30.480000000136403,32.85129878848936,-96.86344089669751,100.0,0.3,198.38,2414.0,68.68,187.65,66112.0
106.0,-441905.01635915926,-135582.97316470422,1328.5123517551035,32.890181258826054,-96.75926609039942,4359.0,0.3863,251.7,2372.0,83.68,175.51,65937.0
212.0,-428440.77627339185,-134092.16224834643,2604.3860882037757,32.90903962882154,-96.61592255271587,8545.0,0.5225,335.32,1895.0,82.58,153.54,65783.0
318.0,-410471.0663313609,-131753.19141010573,3623.4389611942947,32.93708624374242,-96.42467536212651,11888.0,0.6073,384.97,1395.0,67.58,139.47,65644.0
423.0,-391191.40028869786,-123800.37957499304,4373.595477477621,33.01573171900156,-96.22170323304954,14349.0,0.683,428.96,895.0,52.58,129.66,65514.0
529.0,-372696.5105482739,-109651.77820629266,4854.855835808198,33.14942297302261,-96.02935167245187,15928.0,0.7177,447.98,688.0,52.34,125.32,65389.0
635.0,-353429.1180878064,-94782.81460336356,5224.621037450265,33.28955435225892,-95.8284022089408,17141.0,0.7275,451.98,694.0,67.34,123.6,65265.0
741.0,-330770.24986603047,-85323.88630403887,5597.67823957956,33.38183290548391,-95.58828346266573,18365.0,0.7199,445.12,849.0,82.34,123.22,65142.0
847.0,-306819.9702797153,-82103.52975355713,6053.996666641371,33.41797303303981,-95.33158909086148,19862.0,0.5922,364.02,1349.0,67.34,124.48,65018.0
953.0,-288624.4438698346,-74507.84112072291,6779.211385497622,33.491343793887424,-95.13810387974624,22242.0,0.7485,455.71,849.0,53.8,117.1,64900.0
1059.0,-268661.23342644505,-59896.5562521397,7235.807753074175,33.62791591593866,-94.92735542588636,23740.0,0.7771,470.23,728.0,68.8,113.57,64787.0
1165.0,-244851.12032967294,-50660.83037034771,7627.527094719514,33.71672441630115,-94.67284659283656,25025.0,0.7855,472.76,733.0,78.92,111.41,64675.0
1270.0,-219654.93137500185,-45724.66427309875,8021.887518352549,33.766655319575214,-94.40173958594025,26319.0,0.793,474.73,701.0,71.33,108.15,64567.0
1376.0,-195226.81539070667,-37471.044871273385,8398.906831088929,33.845673702576995,-94.13937041537346,27555.0,0.7992,475.93,201.0,63.35,91.46,64476.0
1482.0,-172077.73436818388,-25855.14118352234,8507.035596868816,33.95415768240264,-93.89104228193544,27910.0,0.8011,476.35,137.0,78.35,88.91,64387.0
1588.0,-146682.53034620284,-20620.580286727534,8580.56776311951,34.005087312942905,-93.61662582769026,28151.0,0.8025,476.7,171.0,93.35,89.44,64297.0
1694.0,-120781.97213260453,-22138.074098473866,8672.279697025237,33.99475218388679,-93.33545786788717,28452.0,0.8041,477.02,-329.0,100.58,74.1,64223.0
1800.0,-95213.10506918888,-26913.3527277425,8495.10588278544,33.95444919388374,-93.05760135032023,27871.0,0.8025,477.29,117.0,85.58,88.45,64135.0
1906.0,-69308.00970737297,-24910.4173492013,8557.801179998205,33.974495635583594,-92.77690673098559,28077.0,0.8039,477.66,456.0,70.58,97.83,64037.0
2011.0,-44817.08926161118,-16275.612504501734,8802.791812602283,34.053483676403374,-92.51176339016043,28881.0,0.8071,477.96,-44.0,57.69,81.76,63955.0
2117.0,-22813.350738452824,-2360.0833526134916,8778.889688908483,34.17934043491649,-92.27328918689051,28802.0,0.8075,478.33,-544.0,72.69,67.23,63888.0
2223.0,2106.7370220819917,5406.40724168288,8486.09369349207,34.24943385141873,-92.00236904444826,27842.0,0.8045,478.51,-828.0,74.86,60.85,63827.0
2329.0,27337.21815965953,12232.365318326165,8040.844523922616,34.31046379003288,-91.72764932689613,26381.0,0.7978,477.48,-328.0,59.86,78.41,63749.0
2435.0,49852.671578160065,25304.402373636236,7864.488849750837,34.42718487135957,-91.48174928657153,25802.0,0.7949,476.92,172.0,47.81,94.04,63655.0
