ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,190808.48627956552,589759.5431101378,30.48000000002321,32.851320000006666,-96.86344999999862,100.0,0.2648,175.12,2191.0,199.86,247.35,66053.0
138.0,186652.12800123892,578250.5974277687,1567.2365755423846,32.7484940256503,-96.91008641402837,5142.0,0.2514,163.36,1691.0,189.83,242.77,65810.0
276.0,184695.82906561703,566956.0609363873,2753.296866988617,32.6472479784183,-96.93311185234799,9033.0,0.4217,270.13,1849.0,190.35,202.84,65607.0
414.0,181283.85268728825,548270.5268878086,4050.146623595046,32.479763927223445,-96.97295482841187,13288.0,0.6217,391.99,1349.0,192.84,178.39,65429.0
552.0,175137.61361997837,521296.78435682313,4996.267247256908,32.238140821291374,-97.04316551651047,16392.0,0.7044,438.88,849.0,195.2,164.59,65264.0
690.0,166996.81510353007,491330.99910637055,5591.658733102518,31.969846488065688,-97.13462110017518,18345.0,0.7372,455.84,700.0,195.26,158.93,65105.0
828.0,158504.63083293257,460193.95930587634,6082.600061767749,31.690999325811067,-97.22943167679536,19956.0,0.7499,460.74,200.0,194.75,136.86,64968.0
967.0,150178.58049533723,428573.2514204964,6222.812529557322,31.40771230030491,-97.32199005340335,20416.0,0.7537,462.25,-300.0,194.5,116.36,64852.0
1105.0,141945.60052574865,396739.5683637631,6012.296121751435,31.122432167499188,-97.4130367784583,19725.0,0.7489,460.56,-800.0,194.95,97.79,64754.0
1243.0,133473.96468687456,365020.22992564697,5451.051245896461,30.838140110835,-97.50601446792933,17884.0,0.735,455.29,-560.0,201.22,111.22,64643.0
1381.0,121741.72745891631,334796.6584639302,5057.9910795513215,30.56754584264236,-97.6322994969688,16594.0,0.725,451.4,-60.0,208.71,133.75,64509.0
1519.0,106333.24445094672,306666.16644217324,5015.657832819544,30.315962506868463,-97.79595100281904,16456.0,0.7242,451.15,440.0,209.27,153.06,64356.0
1657.0,90693.78404106305,278767.64310922305,5324.050815920197,30.06628280971508,-97.96115219194547,17467.0,0.7327,454.61,698.0,211.21,160.32,64196.0
1795.0,74015.42118728725,251236.9481749182,5813.47277575112,29.819769458567546,-98.13627109122517,19073.0,0.7458,459.82,706.0,209.44,157.25,64039.0
1933.0,58014.42047339222,222885.6933746329,6308.583718352801,29.56562239852518,-98.30357838736312,20697.0,0.7587,464.81,714.0,208.64,154.05,63884.0
2071.0,42242.23003603035,194006.85204062794,6809.611290770765,29.30651929098775,-98.46771506109718,22341.0,0.7714,469.47,723.0,206.31,150.75,63734.0
2209.0,27514.784833281785,164216.38456334625,7316.682010337183,29.039000975576304,-98.62030512163845,24005.0,0.7836,473.66,730.0,199.54,147.21,63586.0
2347.0,16301.812765382258,132621.12498276436,7828.69950721477,28.755045110356296,-98.73608439981604,25685.0,0.795,477.17,732.0,197.65,143.35,63443.0
2485.0,6061.272460433737,100438.20033071763,8342.169207209421,28.465703648208255,-98.84129571871841,27369.0,0.8049,479.72,610.0,197.66,134.92,63308.0
2624.0,-4245.435701400042,68066.50641038174,8769.823117793783,28.174585073695855,-98.94661124807516,28772.0,0.8117,480.87,110.0,197.54,113.0,63195.0
2762.0,-14535.96727082416,35513.66140835835,8846.781403903853,27.88175864234066,-99.05119274850135,29025.0,0.8133,481.32,35.0,197.38,109.58,63086.0
2900.0,-24744.694054724154,2888.787417814244,8871.399872219145,27.58820853190404,-99.15438296457337,29106.0,0.8143,481.75,27.0,197.35,109.1,62977.0
3038.0,-34947.04031560544,-29771.85546373242,8890.461168692607,27.29426218705144,-99.25696048648466,29168.0,0.8153,482.19,28.0,197.36,109.02,62868.0
3176.0,-45167.873448943516,-62459.08513771948,8909.774331925895,27.00000301536366,-99.35918626761307,29232.0,0.8162,482.63,25.0,197.37,108.78,62759.0
3314.0,-55402.07604712151,-95175.07548890865,8927.196335444909,26.705412538308526,-99.46101618387064,29289.0,0.8172,483.06,30.0,197.37,108.85,62650.0
3452.0,-65645.70311866545,-127919.62351712283,8948.52241204807,26.410493770412145,-99.56241827829022,29359.0,0.8182,483.5,28.0,197.38,108.64,62541.0
