ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1133834.0773171908,-430384.71176589833,30.480000302363543,32.915669114102485,-97.0259380175532,100.0,0.3,198.38,2414.0,57.85,488.92,65811.0
276.0,-1110634.5969142022,-415804.7586890521,3412.5519067802065,33.070883441411915,-96.79783455013917,11196.0,0.5,317.75,1923.0,65.43,395.74,65415.0
552.0,-1070385.8985423641,-397399.4194915014,6107.533780089341,33.277963617130226,-96.3917562738733,20038.0,0.6289,386.26,1423.0,65.41,334.05,65081.0
828.0,-1021233.1084637681,-374910.77542253747,8101.895878695609,33.529185557158776,-95.89326454812947,26581.0,0.7476,447.04,966.0,65.4,289.32,64792.0
1103.0,-964111.9163679427,-348754.55051235505,9455.495888366928,33.818842399248275,-95.31037605016763,31022.0,0.7879,462.26,657.0,65.39,252.09,64540.0
1379.0,-904877.1315112049,-321620.73358903866,10376.451329199543,34.11643254656928,-94.7017970894461,34043.0,0.7825,452.98,157.0,65.39,198.73,64341.0
1655.0,-846531.6198900566,-294896.5445024519,10596.78699535146,34.406624715761765,-94.09820348917913,34766.0,0.7692,443.84,4.0,65.39,181.33,64160.0
1931.0,-789272.2687944472,-268668.26812938217,10602.826660663392,34.6885702727663,-93.50181376741281,34786.0,0.7752,447.27,23.0,65.37,183.33,63976.0
2207.0,-731589.1945144874,-242225.3860760078,10634.91540360752,34.96987178717513,-92.89695869362936,34891.0,0.7749,446.87,21.0,65.35,182.38,63794.0
2483.0,-673967.6768355175,-215779.39133552968,10664.600861501473,35.248182754601224,-92.2886659402322,34989.0,0.7751,446.79,21.0,65.32,181.7,63612.0
2758.0,-616368.7048815424,-189309.18767088905,10694.189099589403,35.5236757183949,-91.6765028223569,35086.0,0.7753,446.71,21.0,65.29,181.02,63431.0
3034.0,-558790.2509454187,-162818.3723450302,10723.626605151965,35.79627180827934,-91.0604177376213,35183.0,0.7755,446.64,21.0,65.28,180.35,63251.0
3310.0,-501224.9103439998,-136318.8017719298,10753.28811452817,36.065819970380204,-90.44029620575407,35280.0,0.7756,446.53,21.0,65.28,179.67,63071.0
3586.0,-443672.81555751397,-109822.92725573962,10782.844595285002,36.33215794963203,-89.81611105725533,35377.0,0.7758,446.43,21.0,65.27,179.0,62892.0
3862.0,-386136.94394892256,-83319.1400757666,10812.348456873457,36.595337803486785,-89.1878845203059,35474.0,0.776,446.34,21.0,65.23,178.33,62714.0
4138.0,-328626.32923374104,-56783.15093101267,10841.938040147796,36.85552397128443,-88.55571166597035,35571.0,0.7762,446.24,21.0,65.18,177.66,62536.0
4413.0,-271146.7912479581,-30202.50975177731,10871.980645189924,37.112777639703786,-87.91964351886277,35669.0,0.7762,446.08,21.0,65.15,176.97,62359.0
4689.0,-213699.2696045568,-3591.1177015856438,10901.715167690112,37.366925481091194,-87.279667385188,35767.0,0.7764,445.99,22.0,65.13,176.39,62183.0
4965.0,-156263.73607552506,23034.543847133868,10932.164568743176,37.61777430293774,-86.63553816644571,35867.0,0.7765,445.82,22.0,65.13,175.71,62007.0
5241.0,-98841.97149231733,49655.12806872042,10962.631776364753,37.8650974782781,-85.987262734424,35967.0,0.7766,445.69,22.0,65.12,175.03,61832.0
5517.0,-41428.97507527143,76276.76014029168,10993.70541294062,38.10889775861211,-85.33478055410147,36069.0,0.7766,445.5,22.0,65.1,174.34,61658.0
5793.0,15963.896504105813,102912.55255574806,11024.772446191297,38.34923944740501,-84.67821865236944,36171.0,0.7768,445.53,23.0,65.07,173.75,61484.0
6068.0,73338.81122488836,129581.14949992606,11056.651676259276,38.586238695498366,-84.01754832380551,36275.0,0.7768,445.53,23.0,65.03,173.06,61311.0
6344.0,130686.88320833984,156281.39359884764,11088.367400941863,38.819834591067455,-83.35286786594445,36379.0,0.7769,445.61,23.0,65.01,172.39,61139.0
6620.0,188024.4285494786,183009.8444731784,11120.73369419539,39.04994235592965,-82.68398855014229,36485.0,0.7769,445.63,23.0,64.99,171.7,60967.0
6896.0,245352.27593683588,209749.47111268094,11153.030960442054,39.27635493776881,-82.0109078978511,36591.0,0.7771,445.7,23.0,64.99,171.03,60796.0
7172.0,302682.1043115487,236495.96406347252,11185.645516043132,39.498975735557,-81.33350009360065,36698.0,0.7772,445.75,23.0,64.98,170.35,60626.0
7448.0,360010.3335445581,263252.2265812658,11218.191155291743,39.71777608533079,-80.65181667454836,36805.0,0.7773,445.83,23.0,64.96,169.69,60456.0
7723.0,417338.3170612701,290028.1365195172,11250.943425095184,39.932788473777485,-79.96584964059927,36913.0,0.7774,445.88,23.0,64.95,169.02,60287.0
7999.0,474664.12525800173,316820.9735757007,11283.449469809979,40.14393364010029,-79.27563809177344,37019.0,0.7776,445.98,23.0,64.94,168.37,60119.0
8275.0,531997.239200909,343626.6421759821,11316.12945993403,40.35111365639189,-78.5810925257664,37126.0,0.7777,446.04,23.0,64.94,167.71,59951.0
8551.0,589333.8316053852,370442.01037266076,11348.558956813236,40.55424589483209,-77.88228343704228,37233.0,0.7778,446.13,44.0,64.93,168.67,59782.0
8827.0,646677.0548379521,397271.4821275392,11410.824303192292,40.75331120641481,-77.17919637053141,37437.0,0.7655,439.04,-456.0,64.92,127.7,59654.0
9103.0,703152.931526758,423708.5054848431,10772.469875009598,40.94533676786174,-76.48266827902016,35343.0,0.746,429.31,-500.0,64.9,125.48,59529.0
9378.0,758605.5557505903,449682.80643581715,10071.850100315836,41.12997198808475,-75.79485205933506,33044.0,0.6984,406.09,-500.0,64.89,121.94,59407.0
9654.0,811045.6449263337,474262.03053180425,9371.23032560985,41.300976687320194,-75.14086800968565,30746.0,0.6076,356.89,-1000.0,64.88,68.42,59339.0
9930.0,857339.1598929894,495965.7338267677,7969.990776200331,41.44892870007728,-74.56071793265262,26148.0,0.5696,341.21,-1500.0,64.89,36.03,59303.0
10206.0,901768.2582191486,516787.8910356222,5868.131452127642,41.58813209217178,-74.00148693249255,19252.0,0.5139,316.66,-1579.0,64.9,34.12,59268.0
10482.0,942992.7962925647,536095.0027214098,3655.3888725290894,41.71477000951798,-73.48048239168895,11993.0,0.4567,289.4,-1543.0,64.92,37.97,59231.0
10758.0,980624.963546993,553711.1112325432,1492.6245488779393,41.828256177274525,-73.00312223872334,4897.0,0.3,195.07,-1043.0,57.85,44.71,59186.0
11033.0,1004228.6710846907,568545.105027313,30.479999700507406,41.93200999923356,-72.69658000136164,100.0,0.1433,94.73,-543.0,50.79,228.92,58957.0
