ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1133834.0775149097,-430384.7119628476,30.479999946987803,32.91566911213243,-97.02593801940064,100.0,0.1573,104.01,914.0,57.85,610.03,65690.0
333.0,-1118923.1014283507,-421013.7550310513,1577.8200945616693,33.01547513129035,-96.87941920909562,5177.0,0.2373,154.14,1414.0,72.85,577.36,65113.0
667.0,-1094127.7718730588,-413363.0985593556,3971.794997779589,33.110580464748814,-96.62514618746194,13031.0,0.4373,276.0,1419.0,87.85,428.35,64684.0
1000.0,-1047607.3242581997,-411618.4634231631,6373.929710923115,33.17542237079312,-96.13145570877752,20912.0,0.6373,390.07,919.0,77.7,346.45,64338.0
1333.0,-982946.033544878,-397525.5343764732,7929.429615209548,33.36604672263132,-95.45720798768014,26015.0,0.7933,475.51,419.0,74.58,317.03,64021.0
1667.0,-904729.2991093749,-375957.3485090434,8638.294710354225,33.6319167233521,-94.64239714246206,28341.0,0.8056,478.16,-0.0,74.11,264.94,63756.0
2000.0,-825869.5299432939,-353509.00493881525,8638.294707187735,33.90069492685501,-93.81646361550408,28341.0,0.8073,479.18,-0.0,73.99,265.18,63491.0
2333.0,-746888.4273238668,-330847.83752339694,8638.294703987898,34.16581591604627,-92.98418802159524,28341.0,0.809,480.19,-0.0,73.9,265.41,63225.0
2667.0,-667777.123282672,-308016.05111625727,8638.294700797558,34.426795306916105,-92.1453995500863,28341.0,0.8107,481.18,-500.0,73.6,220.21,63005.0
3000.0,-588159.2934793968,-284589.7618461149,7791.659891666467,34.687540433276666,-91.29626927460335,25563.0,0.6107,366.74,-500.0,79.86,152.81,62852.0
3333.0,-525902.9468568183,-273455.3797937224,6945.0250827793225,34.82281401558173,-90.62394991777461,22786.0,0.4107,249.47,-500.0,94.86,135.68,62717.0
3667.0,-483046.0471076054,-277099.3815013256,6098.39027614474,34.812264839386444,-90.15315683292823,20008.0,0.2993,183.85,0.0,79.86,306.08,62410.0
4000.0,-452012.0960544632,-271549.041876063,6098.390278349429,34.87693077653425,-89.81684997544018,20008.0,0.3852,236.65,500.0,64.86,310.66,62100.0
4333.0,-415489.4897925907,-254409.5067792563,6945.02508634549,35.04703581747537,-89.42580501119835,22786.0,0.5852,355.5,82.0,55.57,221.72,61878.0
4666.0,-365254.974673173,-219975.8909466939,7083.41748447363,35.37644769987577,-88.89022521875785,23240.0,0.7852,476.11,-418.0,70.57,258.81,61619.0
5000.0,-287901.201204303,-192691.35258109326,6375.175075132927,35.64777460432468,-88.0475475186954,20916.0,0.7678,469.95,-215.0,64.26,289.19,61330.0
5333.0,-215137.1264003433,-157616.65517115605,6011.721306720103,35.982113545971316,-87.25223820287472,19723.0,0.5678,349.2,285.0,49.26,250.16,61080.0
5666.0,-169910.32259916858,-118666.53667488504,6494.902338374516,36.341420916306454,-86.75829275207545,21309.0,0.7678,469.21,15.0,34.26,304.69,60775.0
6000.0,-124619.16268285234,-52183.457547811544,6519.723917098704,36.94626106335665,-86.26362074052204,21390.0,0.7741,472.91,-485.0,19.26,263.79,60511.0
6333.0,-97721.25813057393,24778.208518668966,5697.9107228887215,37.6415183783823,-85.97114418503338,18694.0,0.5741,354.52,15.0,19.01,221.94,60290.0
6666.0,-77923.71348145446,82244.72095164709,5722.732330777105,38.16017822154951,-85.752523393859,18775.0,0.3741,230.94,279.0,34.01,259.33,60030.0
7000.0,-55843.56522037815,114968.6434649099,6195.583021411049,38.456081230807264,-85.50257240147397,20327.0,0.4602,282.36,-221.0,49.01,159.8,59870.0
7333.0,-19209.331306203294,146804.05439267048,5821.798902733934,38.74390061956718,-85.08274874467294,19100.0,0.4813,296.71,279.0,41.56,231.95,59638.0
7666.0,14437.543644895653,184756.3729533164,6294.64908898867,39.08530235200679,-84.69402355879907,20652.0,0.6813,417.43,0.0,56.27,256.57,59382.0
8000.0,73969.27312704654,224498.36405381796,6294.658470529846,39.43974233721789,-84.00008042806222,20652.0,0.6211,380.56,500.0,50.05,280.5,59101.0
8333.0,123709.30341329412,266164.64562876016,7141.2932705295125,39.808842501637194,-83.41335470681328,23429.0,0.4211,255.12,500.0,62.24,279.27,58822.0
8666.0,162193.08169548682,286420.62007908744,7987.928079565775,39.984696648865615,-82.9580810100218,26207.0,0.62,371.33,0.0,77.24,200.2,58622.0
9000.0,224294.98004127407,300484.3748264395,7987.928082629957,40.09740435971145,-82.22491920352581,26207.0,0.82,491.12,-500.0,72.54,240.42,58381.0
9333.0,305090.89182954514,325899.52311544685,7141.293278515235,40.30124536063321,-81.26422285673148,23429.0,0.62,375.63,-0.0,85.79,210.02,58171.0
9666.0,369328.74373253866,330630.7577291632,7141.293275543965,40.3188396387117,-80.50521317126618,23429.0,0.42,254.46,461.0,100.79,267.56,57904.0
10000.0,411959.0643131979,322508.09818947385,7921.204491715222,40.226809753150775,-80.008446863572,25988.0,0.62,371.67,-39.0,115.79,194.24,57710.0
10333.0,469371.1838191809,294769.2377973077,7854.480920109912,39.9490244706672,-79.35351630251586,25769.0,0.82,492.02,-22.0,108.65,282.51,57427.0
10666.0,549331.3656359492,267784.20573816437,7816.7076406290635,39.660837167777096,-78.44039409359478,25645.0,0.82,492.27,-22.0,93.65,283.34,57144.0
11000.0,633594.0854305557,262411.15115939884,7780.1468740690025,39.55632237619127,-77.46453165497559,25525.0,0.82,492.52,187.0,78.65,300.49,56843.0
11333.0,716216.598438401,278997.92155648046,8097.1649057728455,39.64155768835635,-76.48726566286976,26566.0,0.82,490.38,-288.0,63.65,252.28,56591.0
11666.0,791818.4976900052,316447.21069524356,7609.520431078476,39.911217912026935,-75.56448458329905,24966.0,0.8171,491.93,-788.0,48.65,227.11,56364.0
12000.0,855704.0509156086,372673.7591421928,6275.241147990962,40.35231165568446,-74.74680501226815,20588.0,0.7788,477.3,-1288.0,33.65,208.01,56156.0
12333.0,901681.8631941094,441748.8679222614,4094.327056380288,40.92059678822547,-74.11103798064542,13433.0,0.7,441.13,-1300.0,27.85,221.46,55934.0
12666.0,937486.2988341871,509508.12780114496,1893.0765639232418,41.484610555637246,-73.58683273167512,6211.0,0.5,323.6,-800.0,42.85,147.36,55787.0
13000.0,975513.6285503983,550498.8390306521,538.4608788947389,41.80568056538241,-73.06937174553994,1767.0,0.3,197.23,-300.0,57.85,119.23,55668.0
13333.0,1004228.6712806146,568545.1050279564,30.47999993454634,41.93200999900485,-72.69657999901632,100.0,0.1,66.13,200.0,72.85,612.91,55055.0
