ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1133834.0774179138,-430384.71186648915,30.480000000001937,32.91566911309657,-97.025938018494,100.0,0.2616,172.97,2130.0,57.85,528.37,65772.0
295.0,-1112147.5050797288,-416755.56118570094,3227.365329912483,33.06077348297053,-96.81273374233302,10588.0,0.4616,294.0,1630.0,48.66,401.66,65370.0
591.0,-1079155.6152982803,-387725.89595774404,5673.842047601756,33.35460482706125,-96.497361791102,18615.0,0.6616,408.66,1130.0,50.38,345.2,65025.0
886.0,-1031856.1649773642,-348573.9287254879,7369.904804528948,33.752648610631844,-96.03869922755929,24179.0,0.7794,470.73,630.0,55.62,307.23,64718.0
1182.0,-973194.7688634306,-308435.8749016515,8315.552501462189,34.16915034848415,-95.45441660514413,27282.0,0.7971,475.27,130.0,70.62,250.86,64467.0
1477.0,-905146.4649388663,-284497.3473137554,8510.785793851013,34.44726457492425,-94.74487044181363,27923.0,0.8011,476.36,0.0,60.26,236.79,64230.0
1773.0,-842279.7833584108,-248586.2371013086,8510.78911057864,34.82371204474147,-94.09934490203209,27923.0,0.8026,477.25,0.0,66.53,236.97,63993.0
2068.0,-775743.8506381558,-219698.7581004325,8510.790139968612,35.13702376352966,-93.40106340332335,27923.0,0.8041,478.13,0.0,62.66,237.15,63756.0
2364.0,-711193.7114899033,-186318.57376770678,8510.790798175201,35.485098121093884,-92.72332158454053,27923.0,0.8056,479.0,-500.0,60.59,196.54,63559.0
2659.0,-647444.8432363315,-150386.07034323667,7760.378707334711,35.851765841529385,-92.05076406214035,25461.0,0.7446,447.37,-500.0,65.26,185.94,63373.0
2954.0,-585380.586375465,-121782.25976848141,7009.965888020276,36.14807349574153,-91.3852816372629,22999.0,0.5446,330.55,-264.0,75.26,152.8,63220.0
3250.0,-536666.9408133508,-108965.21866054229,6613.520106925825,36.291737549877396,-90.85275665621488,21698.0,0.3446,210.28,236.0,90.26,278.79,62942.0
3545.0,-504785.08366424474,-109109.341821633,6967.468042803385,36.30796426056637,-90.49757761406754,22859.0,0.3395,206.19,500.0,85.25,335.75,62606.0
3841.0,-473721.74050766637,-106526.37030227062,7717.883308476688,36.3471796450763,-90.15305554622564,25321.0,0.5395,324.33,500.0,70.25,238.28,62368.0
4136.0,-427571.88172949053,-89953.87638562675,8468.298482512395,36.51789471924109,-89.64769122921902,27783.0,0.695,413.48,210.0,75.87,217.77,62150.0
4432.0,-366765.41560806165,-74645.011842285,8783.93847968335,36.680973794857884,-88.97529458719097,28819.0,0.8194,485.33,-290.0,90.87,210.93,61939.0
4727.0,-292786.84559916926,-75766.7055839503,8349.163298770201,36.696850947455765,-88.145784603956,27392.0,0.8133,484.65,-500.0,77.51,202.4,61737.0
5022.0,-220500.7353792659,-59747.98433113446,7598.75057128515,36.860576010782545,-87.33997701112997,24930.0,0.6732,405.35,-177.0,62.51,186.67,61550.0
5318.0,-165753.67760009028,-31254.640005777444,7333.020341884269,37.12803384172252,-86.73104773543659,24058.0,0.7926,478.98,-500.0,47.51,219.5,61330.0
5613.0,-111808.51539398446,18168.183968146855,6582.612055220799,37.58047980925016,-86.13010875796176,21596.0,0.6445,393.4,-204.0,32.51,189.4,61141.0
5909.0,-79613.50765274809,68694.30146541278,6276.798709936133,38.038179241163405,-85.7703394432871,20593.0,0.4445,272.42,257.0,39.4,210.82,60930.0
6204.0,-53403.23246190117,100607.45199698376,6662.758708987565,38.327079408517136,-85.47346227962707,21859.0,0.6262,381.84,-167.0,53.45,183.86,60746.0
6500.0,-6703.908913785013,135224.3279153167,6412.307673849656,38.63994168943128,-84.9384563621936,21038.0,0.5462,334.15,-22.0,47.62,177.89,60568.0
6795.0,30818.127267119864,169464.74303702588,6379.670647850794,38.9473682060392,-84.50495009477812,20931.0,0.737,451.05,-165.0,58.6,241.39,60327.0
7091.0,89424.97542715355,205243.91604114178,6131.722041790487,39.26517594278235,-83.8226915619284,20117.0,0.7095,435.64,335.0,58.04,274.15,60053.0
7386.0,145414.50396741414,240173.98527239772,6634.172366908573,39.5718439650954,-83.16502692224108,21766.0,0.5095,310.77,500.0,73.04,230.81,59822.0
7681.0,190362.6550928093,253880.612228879,7384.580429579254,39.6865229713231,-82.63699279318222,24228.0,0.6554,395.77,317.0,88.04,226.18,59596.0
7977.0,250282.5932342178,255929.84870232485,7860.953923373955,39.689974357920796,-81.93650952821497,25791.0,0.813,487.79,-183.0,80.5,237.41,59358.0
8272.0,323539.83801280556,268193.8895341769,7586.921732327943,39.77630229476469,-81.07534097983675,24891.0,0.807,485.99,313.0,69.16,278.15,59080.0
8568.0,392350.25750831433,294385.1478725013,8056.060423110695,39.98342815464967,-80.25586287779993,26431.0,0.8199,490.59,-24.0,84.16,246.27,58834.0
8863.0,466545.3872996861,301971.72120049206,8020.246509738049,40.01512985215341,-79.381498656562,26313.0,0.82,490.9,-26.0,98.13,246.86,58587.0
9159.0,540426.1587557415,291419.87996643607,7981.3916420348805,39.87812770294286,-78.5249521862021,26186.0,0.82,491.16,-25.0,99.42,247.69,58340.0
9454.0,614089.1998128005,279200.1967798368,7943.872888080952,39.720365607892994,-77.67588847506151,26063.0,0.82,491.42,-24.0,85.94,248.5,58091.0
9750.0,688609.2384557833,284490.23454402474,7907.593178524125,39.71262905200536,-76.80270374199192,25944.0,0.82,491.66,194.0,70.94,264.63,57826.0
10045.0,759096.2695011654,308844.160039788,8199.496757020272,39.87224871499455,-75.95493090761114,26901.0,0.7761,463.45,-238.0,55.94,204.86,57622.0
10340.0,817593.3019071331,348390.852237566,7842.884416947052,40.17246718468764,-75.22433643673682,25731.0,0.82,492.1,-738.0,40.94,199.63,57422.0
10636.0,866966.5250456549,405309.5353424965,6735.857344232934,40.63184205694563,-74.57092101222361,22099.0,0.7896,481.0,-1238.0,25.94,179.58,57242.0
10931.0,899326.3525264544,471835.22318605107,4878.415057180437,41.19078572885799,-74.09584106760019,16005.0,0.6949,433.62,-1243.0,38.34,168.95,57073.0
11227.0,940672.8501077794,524111.9049621309,3012.2940782913442,41.610869287515605,-73.52659343189438,9883.0,0.4949,316.03,-743.0,53.34,113.49,56960.0
11522.0,979453.399978488,552974.8297353726,1896.584205969841,41.82308503097355,-73.01831135644872,6222.0,0.2949,190.83,-1243.0,57.85,47.15,56913.0
11818.0,1004228.6711851995,568545.1051316619,30.48000000000504,41.93201000003893,-72.69657999998584,100.0,0.0949,62.73,-1743.0,62.36,265.54,56647.0
