ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-575960.7164207419,-324417.04318692465,30.48000030384006,32.91569355363537,-97.02594962878028,100.0,0.3,198.38,2414.0,54.82,284.13,66016.0
160.0,-562835.7642405297,-315165.72819645924,1995.90066251703,33.00584054689063,-96.89149283810043,6548.0,0.5,323.21,2050.0,58.17,241.65,65774.0
321.0,-540461.0494488248,-301275.68546730466,3665.5411028004155,33.14231990550191,-96.66050063145674,12026.0,0.5521,349.76,1736.0,58.18,220.38,65554.0
481.0,-516196.761608903,-286220.5286954386,5079.384525505981,33.2897734068017,-96.40918628377418,16665.0,0.6029,375.29,1527.0,58.2,204.42,65349.0
641.0,-490125.7722936473,-270054.62533381366,6322.6126437061785,33.44755173755888,-96.13820948633794,20743.0,0.6526,399.73,1330.0,58.22,189.96,65159.0
801.0,-462320.7672514307,-252827.53242819788,7405.6228363201035,33.61504986800786,-95.84811876813376,24297.0,0.7013,423.35,1144.0,58.25,177.16,64982.0
962.0,-432834.1333687114,-234577.61101882136,8337.31676174864,33.791768356995505,-95.53924543561047,27353.0,0.749,446.46,968.0,58.28,166.12,64816.0
1122.0,-401697.1963709668,-215330.54888224235,9125.216404492921,33.97732493874429,-95.2116933186179,29938.0,0.7773,458.22,864.0,58.32,157.49,64659.0
1282.0,-369708.69364540663,-195588.747242852,9828.439079001246,34.1667690663956,-94.87368426942369,32246.0,0.7906,461.34,722.0,58.37,146.51,64512.0
1443.0,-337459.26989736955,-175724.3741496387,10415.998303824043,34.356475657137764,-94.53137129333399,34173.0,0.7838,453.47,222.0,58.43,118.4,64394.0
1603.0,-305641.06696741685,-156173.94243184125,10596.406935882926,34.54227817376278,-94.19210351525268,34765.0,0.767,442.57,-21.0,58.48,104.04,64290.0
1763.0,-274525.12022770976,-137091.13069433617,10579.10847989966,34.72274830510536,-93.85885095372524,34708.0,0.7757,447.72,30.0,58.52,107.23,64183.0
1924.0,-243043.15989317538,-117814.23418271253,10603.414276758773,34.90414506571544,-93.52019279534846,34788.0,0.7743,446.72,20.0,58.6,106.34,64076.0
2084.0,-211603.03512496623,-98622.21946982027,10619.40302595996,35.08383088529352,-93.18048030287457,34841.0,0.7747,446.87,21.0,58.63,106.19,63970.0
2244.0,-180142.1566848153,-79441.92759059522,10636.713222112721,35.262467956882666,-92.83904418553601,34897.0,0.7748,446.82,21.0,58.67,105.96,63864.0
2404.0,-148673.02760686493,-60282.26239753195,10653.615074669417,35.43996184635282,-92.49601200951388,34953.0,0.775,446.82,21.0,58.73,105.74,63758.0
2565.0,-117183.15594062343,-41155.4896827712,10670.698256998854,35.616192325848864,-92.15123716646835,35009.0,0.7752,446.8,21.0,58.77,105.51,63653.0
2725.0,-85680.885037589,-22052.50262321663,10687.67488046376,35.791227861847055,-91.80480721986373,35065.0,0.7753,446.78,21.0,58.77,105.29,63547.0
2885.0,-54179.58653670032,-2949.3922553738976,10704.69083277924,35.965270774288186,-91.45686629851818,35120.0,0.7755,446.76,21.0,58.78,105.07,63442.0
3046.0,-22673.41860481029,16142.904237683537,10721.675310354574,36.138212116924414,-91.10734125580717,35176.0,0.7756,446.74,21.0,58.79,104.84,63338.0
3206.0,8831.998112772726,35234.042194427195,10738.691368308257,36.31012708412883,-90.75628784607454,35232.0,0.7758,446.71,21.0,58.78,104.62,63233.0
3366.0,40333.5164925886,54328.227097083,10755.800933996517,36.481042796590884,-90.40373431587369,35288.0,0.7759,446.67,21.0,58.76,104.39,63129.0
