ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-575960.7166204962,-324417.04338593176,30.48000017126701,32.915693551740496,-97.02594963078708,100.0,0.1573,104.01,914.0,54.82,365.34,65935.0
200.0,-567309.0550096505,-318318.7925854893,957.1533778783494,32.97513230646597,-96.93734947090556,3140.0,0.1722,112.65,919.0,69.55,362.27,65572.0
399.0,-556563.2853372477,-314312.7520802943,1889.1844287678787,33.01687712201385,-96.8249079482673,6198.0,0.1948,126.1,1009.0,84.55,356.53,65216.0
599.0,-543790.5100629338,-313095.12646459334,2912.285725264323,33.03458054728878,-96.6889501070599,9555.0,0.2584,165.24,1449.0,98.7,340.96,64875.0
798.0,-527229.9431242871,-315629.3676573684,4381.3098252044265,33.020415010674704,-96.51015445273616,14374.0,0.4584,287.87,1731.0,83.7,274.13,64601.0
998.0,-498223.8198165691,-312427.2665558206,6136.185508609824,33.063503320060796,-96.20141149278814,20132.0,0.6584,404.27,1231.0,68.7,231.7,64369.0
1198.0,-459878.9430960607,-297477.53142123984,7384.027255275503,33.215427753668315,-95.79836401275223,24226.0,0.7825,472.56,731.0,69.89,212.44,64157.0
1397.0,-414543.21331875684,-280879.48781620536,8124.83506519293,33.383662959931286,-95.31950784792164,26656.0,0.7976,476.77,586.0,70.34,196.49,63960.0
1597.0,-368628.62172146124,-264476.7541762985,8718.67932258903,33.548467936380256,-94.83246389924564,28605.0,0.8069,478.38,86.0,70.39,162.43,63798.0
1797.0,-322380.383958939,-247997.61715145982,8805.489643669776,33.71210975789831,-94.33997430905917,28889.0,0.8089,478.98,-13.0,70.47,156.0,63642.0
1996.0,-276018.188295231,-231552.51602323115,8792.35456348988,33.873473196162706,-93.84435141560357,28846.0,0.8098,479.63,-80.0,70.54,152.58,63489.0
2196.0,-229550.81954601215,-215135.2520450831,8711.479796495969,34.03257673885046,-93.34569487113559,28581.0,0.8099,480.24,85.0,70.47,162.67,63326.0
