ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-575960.7165405825,-324417.0433064497,30.47999999956896,32.91569355249737,-97.02594962998415,100.0,0.1573,104.01,900.0,54.82,359.12,65941.0
196.0,-567449.576805139,-318417.8415474377,928.503690129407,32.97416738383309,-96.93878947567019,3046.0,0.2545,166.61,1400.0,56.99,324.9,65616.0
393.0,-553501.6548145103,-309357.1971215027,2325.188424184305,33.06295286326168,-96.79522488047348,7629.0,0.4545,292.68,1524.0,41.99,262.7,65353.0
589.0,-533931.4522182706,-287616.20769836556,3845.4060293703874,33.268219210509194,-96.5987618198831,12616.0,0.6545,413.77,1024.0,48.48,246.56,65107.0
785.0,-502852.2783563756,-260096.6482501157,4866.9627115858375,33.5307337266132,-96.28086254091727,15968.0,0.7189,448.7,524.0,33.52,223.6,64883.0
982.0,-477909.0043250819,-222445.68144685478,5389.85793714954,33.880508820433334,-96.03297184317184,17683.0,0.5798,359.46,1024.0,45.63,212.83,64670.0
1178.0,-452139.10555500054,-197234.26886387178,6411.4144011383905,34.118552143505426,-95.76753297593956,21035.0,0.3798,232.36,1245.0,60.63,269.36,64401.0
1374.0,-431885.0083765949,-185834.5386544112,7652.998297012686,34.22971742375791,-95.55358855959076,25108.0,0.4085,245.78,896.0,75.63,234.24,64167.0
1571.0,-408001.3840098105,-179714.5437506798,8546.37666310452,34.29458538358088,-95.29704671680723,28039.0,0.6085,361.63,396.0,90.63,152.4,64014.0
1767.0,-371582.91088839446,-180113.4988139385,8941.09380794329,34.30506330435666,-94.90081642447505,29334.0,0.8085,477.83,-104.0,101.3,146.64,63868.0
1963.0,-324223.7759232215,-189576.51809950723,8837.151935933289,34.23637360821695,-94.38198830713779,28993.0,0.8087,478.67,-150.0,101.6,145.56,63722.0
2160.0,-276816.94470239204,-199308.42703417828,8687.540308184767,34.163014346460876,-93.8634310621173,28502.0,0.8082,479.35,91.0,116.6,160.5,63562.0
2356.0,-233556.46704222038,-220972.40903383007,8778.691634518349,33.97919650478408,-93.3875486403948,28801.0,0.8103,479.97,-409.0,101.76,132.52,63429.0
2552.0,-185964.07199893694,-230882.0098171574,8371.182307073532,33.89993327257005,-92.86946434078904,27465.0,0.8056,479.94,70.0,91.07,163.26,63266.0
2749.0,-137523.7959365308,-231787.7966273156,8441.161888943821,33.89948796065926,-92.34463978595667,27694.0,0.8076,480.67,-430.0,86.74,135.78,63130.0
2945.0,-88912.93534538205,-229017.70931618518,8012.480166381075,33.92980638613155,-91.81836799159288,26288.0,0.8009,479.5,-930.0,71.74,113.95,63016.0
3141.0,-42639.64243810399,-213748.79428767043,7085.137030374041,34.070113751959504,-91.31769181731774,23245.0,0.7812,473.67,-1430.0,56.74,96.75,62919.0
3337.0,-2274.3451878245555,-187272.58970181138,5659.132453018993,34.3091145238198,-90.87960810831731,18567.0,0.6235,385.2,-1425.0,52.9,54.16,62865.0
3534.0,29016.476957114923,-163605.41113270912,4237.920598225891,34.52154171698083,-90.5381717438399,13904.0,0.4235,266.4,-925.0,41.6,38.35,62827.0
3730.0,46969.97346795368,-143380.73211988702,3315.369616432147,34.70274359453805,-90.3410907387259,10877.0,0.2235,142.19,-425.0,26.6,140.42,62686.0
3926.0,53412.98802601693,-130511.83362777496,2891.4797570696264,34.81814999813446,-90.26978869384243,9486.0,0.1985,126.94,75.0,26.97,259.1,62427.0
4123.0,59224.743753867246,-119090.41107590747,2966.2507341875375,34.92053394930031,-90.20531135997588,9732.0,0.1991,127.19,573.0,22.83,319.5,62108.0
4319.0,64186.3308373323,-107303.8742556999,3538.0390613160116,35.02622121514878,-90.14997729595204,11608.0,0.2119,134.47,942.0,26.16,337.56,61770.0
4515.0,70125.72493308244,-95214.382714285,4478.014722576909,35.13453814358469,-90.08371959528218,14692.0,0.2369,148.55,939.0,33.85,322.4,61448.0
4712.0,78417.42227716262,-82851.79675361549,5414.988167763239,35.24509003527133,-89.99135543413057,17766.0,0.3083,191.07,1298.0,44.89,296.22,61152.0
4908.0,91891.88564852261,-69325.95785393675,6709.326959679663,35.36556157842384,-89.84145827409364,22012.0,0.5083,309.74,1049.0,59.81,198.86,60953.0
5104.0,118727.02863535628,-53713.29459418996,7755.255502887783,35.503088532661295,-89.54325136848715,25444.0,0.7083,425.57,549.0,54.01,171.96,60781.0
5301.0,153370.40516382555,-28551.996616075336,8302.522663053855,35.72452984226055,-89.15579118924077,27239.0,0.8182,487.91,49.0,69.01,163.92,60617.0
5497.0,199362.13546084167,-10905.987971099517,8351.128306395312,35.87488726679105,-88.64201771911455,27399.0,0.82,488.66,-451.0,80.89,138.32,60479.0
5693.0,248242.94310656172,-3067.7661225689917,7901.072571109564,35.93414364973782,-88.09726426059146,25922.0,0.8106,486.04,-392.0,65.89,146.34,60332.0
5890.0,293168.06247842364,17037.658907572524,7510.377875959795,36.102338089500584,-87.5910829730826,24640.0,0.6866,413.92,108.0,50.89,143.61,60189.0
6086.0,325581.82546517474,43389.04220008011,7618.344180160332,36.32874888337906,-87.21957366806338,24995.0,0.6442,387.77,608.0,35.89,165.04,60024.0
6282.0,348442.98724165687,74982.15307585012,8224.971275628177,36.60454624323222,-86.95035642135788,26985.0,0.82,489.51,147.0,20.89,169.84,59854.0
6479.0,366053.94353969645,121124.95153616174,8371.566988970915,37.01237836816183,-86.73110584233653,27466.0,0.82,488.52,-209.0,27.29,149.53,59704.0
6675.0,388711.5421090292,165033.92196257197,8163.420342546566,37.39764569660042,-86.45345402810521,26783.0,0.82,489.93,-709.0,22.13,128.4,59576.0
6871.0,407438.2186136506,211090.11102502682,7456.6122448731885,37.80319569718171,-86.2163028565625,24464.0,0.803,484.42,-1209.0,36.8,110.83,59465.0
7068.0,436971.85279135837,250575.14257106165,6251.1426084536315,38.14424270635683,-85.85691153090575,20509.0,0.7705,472.34,-1709.0,38.82,96.46,59369.0
7264.0,467189.3169986792,288133.4208281571,4547.011443047233,38.46650948259807,-85.48750445725544,14918.0,0.7,438.65,-2010.0,38.93,79.86,59289.0
7460.0,495348.57425202057,322991.18110551836,2542.839563541853,38.764458394622864,-85.14032693272453,8343.0,0.5,321.11,-1510.0,39.98,34.93,59254.0
7657.0,516351.2334293952,348038.3133639842,1037.3290949304971,38.97745626294512,-84.88016666463274,3403.0,0.3,196.11,-1010.0,54.82,32.43,59221.0
7853.0,532613.213085316,359500.80847220606,30.479999999785733,39.07087999969863,-84.68374000038537,100.0,0.1,66.13,-510.0,69.66,340.8,58880.0
