ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1003906.4416431536,-291746.1975760777,30.480000302929906,32.91567404711057,-97.02594753163952,100.0,0.3,198.38,2414.0,64.17,427.05,65873.0
241.0,-982308.9725630078,-281291.7900317908,2984.5960527478137,33.029499866822626,-96.80746079422306,9792.0,0.5,319.41,1962.0,70.46,350.84,65522.0
482.0,-945614.870365934,-268271.51468823414,5385.507048537013,33.1797674519642,-96.42990581610357,17669.0,0.6186,383.51,1462.0,70.47,301.21,65221.0
723.0,-901367.2432227533,-252572.6345930823,7174.452308497848,33.35944854457083,-95.97291980393888,23538.0,0.6957,421.34,1162.0,70.47,269.69,64951.0
964.0,-852641.4639315316,-235289.5724643934,8596.919671020734,33.55534920288442,-95.46751370872428,28205.0,0.7637,453.53,913.0,70.48,244.98,64706.0
1205.0,-800086.9236327027,-216657.1955690902,9714.741365952987,33.76427744218055,-94.91983787594212,31873.0,0.7876,460.38,612.0,70.49,213.71,64493.0
1446.0,-746598.1463273586,-197704.54422552552,10464.306918953569,33.97435299256288,-94.35969885832783,34332.0,0.7811,451.58,112.0,70.5,169.25,64323.0
1687.0,-693890.4608725412,-179038.14702451075,10601.906736078614,34.17880815145637,-93.8050483584726,34783.0,0.7685,443.39,2.0,70.5,158.07,64165.0
1927.0,-642084.2218464499,-160696.84897225336,10604.661904594508,34.37729674425209,-93.25728347617068,34792.0,0.7744,446.83,23.0,70.51,160.04,64005.0
2168.0,-589885.4250413391,-142220.45975747006,10633.355854379872,34.57480053561914,-92.70276282686196,34886.0,0.774,446.37,21.0,70.51,159.26,63846.0
2409.0,-537737.4243406145,-123765.34082004016,10658.849930350263,34.76959289217658,-92.14617275815252,34970.0,0.7743,446.35,21.0,70.51,158.76,63687.0
2650.0,-485589.6275459836,-105313.28802939625,10684.642057974375,34.96183898248023,-91.58698008885347,35055.0,0.7744,446.29,21.0,70.51,158.24,63529.0
2891.0,-433448.847215906,-86864.1252321551,10710.383839591192,35.15150730473225,-91.02526376009509,35139.0,0.7746,446.22,21.0,70.51,157.73,63371.0
3132.0,-381315.3993866673,-68417.01773968793,10736.099911950309,35.338576189575484,-90.46103345230732,35223.0,0.7748,446.14,21.0,70.51,157.22,63214.0
3373.0,-329189.17646286386,-49972.79589655107,10761.796168034783,35.523009275516124,-89.89429457617918,35308.0,0.7749,446.06,21.0,70.52,156.7,63057.0
