ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1003906.4418191783,-291746.19770663977,30.47999999412695,32.91567404577741,-97.02594753336706,100.0,0.1573,104.01,500.0,64.17,498.85,65801.0
283.0,-990359.9796075993,-285188.93676600355,748.6372029459346,32.98711140493639,-96.8889720521171,2456.0,0.168,110.19,918.0,79.17,514.37,65287.0
565.0,-974791.3531695317,-282210.71701893175,2067.6617004157697,33.0284186853898,-96.72628432634353,6784.0,0.1967,127.03,1000.0,94.17,503.48,64783.0
848.0,-956576.6608566446,-283538.8499756702,3503.9030011728496,33.03357525516704,-96.53057363842659,11496.0,0.3847,244.21,1500.0,87.47,390.74,64393.0
1131.0,-921627.7679925461,-281995.50623422686,5658.301449731859,33.07906142126161,-96.15923927213503,18564.0,0.5847,361.25,1231.0,72.47,321.99,64071.0
1414.0,-872128.5907791283,-266361.36384747026,7426.356804736847,33.261578775908234,-95.64591641960675,24365.0,0.7847,473.6,731.0,72.98,300.04,63771.0
1696.0,-806738.5594764968,-246339.95693183804,8476.2550135498,33.49379839280425,-94.96394296999985,27809.0,0.8051,478.95,231.0,73.23,245.52,63525.0
1979.0,-740192.8084523141,-226282.4733294901,8807.996079742987,33.72342410284688,-94.26590947946431,28898.0,0.8108,480.08,0.0,73.26,222.13,63303.0
2262.0,-673322.7860459449,-206170.82011599652,8807.99608724436,33.94979984954786,-93.56069981904064,28898.0,0.8123,480.97,0.0,73.1,222.3,63081.0
2545.0,-606386.8341159417,-185828.9276246793,8807.996092548881,34.174233379125006,-92.8512105063239,28898.0,0.8138,481.85,-500.0,73.28,184.06,62897.0
2827.0,-538927.3281263028,-165569.5206710218,8089.838976183731,34.394102087861796,-92.13222363270921,26541.0,0.8035,480.56,-500.0,73.58,196.51,62700.0
3110.0,-471553.1537657638,-145709.94281224173,7371.681831616963,34.60611302976087,-91.41019007898231,24185.0,0.7282,439.83,-440.0,73.28,183.0,62517.0
3393.0,-410023.6205123634,-127231.04780303704,6739.62901814984,34.79906646335225,-90.74776247432357,22112.0,0.5282,321.75,60.0,58.28,179.62,62337.0
3676.0,-370235.80960025504,-102641.89955201752,6825.733156625557,35.03543400756907,-90.32345519789052,22394.0,0.3282,199.7,500.0,73.28,326.47,62011.0
3958.0,-342558.9200021667,-94329.8208845851,7543.890234318951,35.120019663767735,-90.02318054716176,24750.0,0.3611,217.62,500.0,88.28,303.74,61707.0
4241.0,-311082.89628945343,-93386.63977038387,8262.047312761153,35.13886049921412,-89.67768832795363,27106.0,0.5611,334.82,186.0,73.28,188.71,61518.0
4524.0,-264527.87901234505,-79404.97684692623,8528.94878752105,35.278018561514756,-89.17048746216817,27982.0,0.7611,452.47,-0.0,67.26,206.99,61311.0
4807.0,-203831.41568659426,-53964.04557862199,8528.948678043613,35.52108732376766,-88.50844547897202,27982.0,0.82,487.45,-500.0,70.19,191.71,61120.0
5089.0,-136797.92436076372,-29811.23808539418,7810.791571189592,35.74985737453626,-87.77197720814733,25626.0,0.6351,381.31,-0.0,72.44,180.1,60940.0
5372.0,-83920.96013839019,-13073.751462181375,7810.791535972551,35.90632766272348,-87.18783211583367,25626.0,0.4351,261.23,500.0,57.44,247.55,60692.0
5655.0,-52061.154886520315,7273.624042270339,8528.948459710971,36.091529592711844,-86.83544019633645,27982.0,0.42,249.67,167.0,42.44,218.2,60474.0
5938.0,-27598.608930794868,34030.19752024187,8768.374125800483,36.333157310553545,-86.56413846309108,28768.0,0.62,367.33,-333.0,27.44,136.07,60338.0
6220.0,-2899.6514301592965,81607.10034705725,8289.642898812615,36.761415902321914,-86.28858946393302,27197.0,0.82,489.08,-33.0,18.42,230.65,60107.0
6503.0,19588.876724760445,149121.74566093448,8241.545728101675,37.36839149199473,-86.03439631327977,27039.0,0.82,489.4,-32.0,26.45,231.63,59876.0
6786.0,51311.443302934604,212873.10476384423,8195.696063945898,37.94051687481153,-85.67102415666334,26889.0,0.82,489.71,-31.0,31.99,232.57,59643.0
7068.0,89057.39963636178,273305.68834956,8151.850391835201,38.481119479222656,-85.23321123155874,26745.0,0.82,490.01,-29.0,45.35,233.55,59409.0
7351.0,139777.45430358988,323409.18636089,8109.806970599133,38.92533433800522,-84.64083237449155,26607.0,0.82,490.29,-28.0,50.94,234.41,59175.0
