ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1003906.4417420095,-291746.19767850917,30.47999999998262,32.91567404610263,-97.02594753257704,100.0,0.2673,176.78,1451.0,64.17,377.6,65922.0
234.0,-984985.296228799,-282587.2832557081,1756.4735529852876,33.01541473836463,-96.83456539705058,5763.0,0.4673,302.95,1536.0,79.17,318.35,65604.0
468.0,-949565.630956451,-275811.6330123636,3584.4344846378135,33.1089204721807,-96.46404091735876,11760.0,0.5125,325.03,1322.0,84.23,289.11,65315.0
703.0,-911010.868822043,-271917.0646000824,5157.588320515341,33.17838180857362,-96.0562350301893,16921.0,0.7118,442.6,822.0,69.23,276.78,65038.0
937.0,-861467.5086611868,-253128.88065151137,6135.841069654951,33.388693571709034,-95.54474815342179,20131.0,0.6214,381.56,1194.0,81.26,265.17,64773.0
1171.0,-816474.6603949007,-246208.03310116098,7556.152533017693,33.48727277024925,-95.06862165184488,24791.0,0.7841,472.42,694.0,66.26,245.01,64528.0
1405.0,-764670.126469019,-223419.19808951212,8381.560464378403,33.7309881813829,-94.53213105840456,27499.0,0.7991,476.01,194.0,69.0,202.15,64326.0
1640.0,-711210.7548805523,-202898.70861874582,8612.063588154608,33.95327616181025,-93.97285672697505,28255.0,0.8032,476.89,0.0,83.98,186.34,64139.0
1874.0,-654067.4299445053,-196870.17643844214,8612.07462797079,34.045664811108345,-93.35962622789464,28255.0,0.8044,477.62,0.0,93.98,186.46,63953.0
2108.0,-596658.0696171003,-200863.56898708924,8612.389398176823,34.0452878252242,-92.7351716403124,28256.0,0.6714,398.63,-0.0,78.98,154.39,63799.0
2342.0,-549512.683125613,-191681.5716572697,8612.386862936552,34.15426075736694,-92.23041361662354,28256.0,0.8066,478.92,-500.0,74.91,154.28,63644.0
2576.0,-493568.5444655069,-176598.34275839568,8017.480693906432,34.31841556703846,-91.63221134309424,26304.0,0.7983,477.9,-494.0,59.91,163.19,63481.0
2811.0,-443546.3811829681,-147614.5969520529,7429.833577325309,34.60179811178779,-91.1035636016708,24376.0,0.7872,475.06,-9.0,54.73,202.34,63279.0
3045.0,-396807.27317706874,-114563.622082235,7419.469170442392,34.91814217904094,-90.60925202325937,24342.0,0.7605,459.04,476.0,55.01,224.17,63055.0
3279.0,-351671.72044715873,-82970.52000279461,7985.937076524943,35.21885873853634,-90.12818769966229,26201.0,0.7326,438.8,498.0,64.96,208.46,62846.0
3513.0,-303967.1688626852,-60689.60120633426,8578.794349045194,35.43483687697005,-89.61172058210444,28146.0,0.812,482.34,-2.0,59.48,187.59,62659.0
3747.0,-253899.02582877022,-31178.261621231348,8576.770865043945,35.714225937631866,-89.06865656585498,28139.0,0.813,482.99,-500.0,72.46,156.34,62502.0
3982.0,-198179.8570808685,-13571.556008935011,7981.868811476668,35.885350334202656,-88.45604235588587,26187.0,0.8031,481.06,-500.0,76.79,164.66,62338.0
4216.0,-141521.68294136284,-276.35134863101905,7386.970438035295,36.01474393968822,-87.82958969598616,24235.0,0.7261,438.46,-308.0,77.87,159.39,62178.0
4450.0,-89744.53033873261,10852.734697381436,7020.494162162403,36.12096759849035,-87.25521264785397,23033.0,0.55,333.76,192.0,76.13,160.92,62017.0
4684.0,-50763.0829202188,20477.848259881706,7248.895758118509,36.210343480983056,-86.82184935678568,23782.0,0.5602,338.92,494.0,66.19,187.19,61830.0
4919.0,-13552.531213012075,36894.03985962355,7836.3874508225135,36.359211104744624,-86.40738469110218,25710.0,0.7602,456.26,222.0,53.08,197.83,61632.0
5153.0,30317.48134251426,69859.18273670404,8100.894395379256,36.65529062343758,-85.91618360879585,26578.0,0.8097,484.18,-278.0,40.63,177.84,61454.0
5387.0,68393.52524129201,114233.72018454516,7770.532024162059,37.05238524059788,-85.48538018417719,25494.0,0.7211,433.18,222.0,55.63,186.91,61268.0
5621.0,111396.83419235004,143643.88758228076,8035.058270783636,37.31278640665137,-84.99649877683851,26362.0,0.8099,484.78,126.0,70.63,203.55,61064.0
5855.0,166445.23240149507,162995.3828108719,8185.147100259369,37.47870048821546,-84.36988299090925,26854.0,0.8141,486.26,-338.0,67.84,173.55,60890.0
6090.0,220858.58114929247,185152.35548172935,7782.632671508997,37.666703596237355,-83.74689286898908,25534.0,0.6141,368.84,162.0,53.82,158.33,60732.0
6324.0,256684.61094629954,211350.21889307376,7975.010838711998,37.89304299566901,-83.33092934970365,26165.0,0.8107,485.66,308.0,68.82,215.16,60517.0
6558.0,311112.00300114043,232435.2305265897,8341.277685451958,38.065962006907704,-82.70217824424223,27366.0,0.82,488.73,-35.0,83.82,190.14,60327.0
6792.0,369674.2325971104,238772.5350261541,8299.096227967975,38.10150969581888,-82.03078596522492,27228.0,0.82,489.01,-34.0,88.9,190.85,60136.0
7026.0,428601.33869340824,239900.60893867505,8258.698679887357,38.08641776243464,-81.35770987938997,27095.0,0.82,489.29,-33.0,73.9,191.56,59944.0
7261.0,485259.67226853163,256250.67283848173,8219.912931552512,38.20531480916993,-80.70056442719138,26968.0,0.82,489.55,-31.0,67.64,192.28,59752.0
7495.0,539825.7777257678,278693.89681379613,8182.5872874302595,38.37642467284024,-80.06064046920615,26846.0,0.82,489.8,-30.0,63.03,192.92,59559.0
7729.0,592434.8958682298,305470.2157425716,8146.592728190231,38.584131458747024,-79.4365355374603,26728.0,0.82,490.05,-19.0,58.42,194.13,59365.0
7963.0,642746.1346537123,336394.2426743748,8123.952879130203,38.827236725163694,-78.83145554260643,26653.0,0.82,490.2,-500.0,73.42,166.28,59199.0
8198.0,699584.680208051,353313.87286296923,7529.051890390283,38.93698694926144,-78.16104727129823,24702.0,0.806,485.78,-1000.0,81.58,144.39,59054.0
8432.0,757939.0408148259,361951.45078142785,6339.244099166654,38.96773101282528,-77.48018167472053,20798.0,0.7739,473.89,-1500.0,80.99,127.63,58927.0
8666.0,814964.3255797117,370993.75050445553,4554.529489613284,38.999438399598134,-76.81359070099313,14943.0,0.7,438.6,-1767.0,79.3,110.93,58816.0
8900.0,867533.5044468483,380924.81457677635,2451.6066305129143,39.03962825922595,-76.19660219276521,8043.0,0.5,321.46,-1267.0,79.03,58.4,58757.0
9134.0,905871.223293892,388354.4498352306,943.5901282869675,39.0686092923851,-75.74597687626017,3096.0,0.3,196.32,-767.0,64.17,38.83,58719.0
9369.0,927258.6133132762,398707.16736360086,30.479999999932758,39.1393000000317,-75.48611000024933,100.0,0.1,66.13,-267.0,49.31,424.39,58294.0
