ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-477931.8555350466,-84781.52583218402,30.48000014978907,32.915697436359615,-97.02596385697028,100.0,0.1633,107.95,1015.0,75.65,222.04,66078.0
121.0,-471450.5492431176,-83122.86615012756,656.8010417094364,32.93343817439684,-96.95747234528804,2155.0,0.1928,126.58,1294.0,60.65,219.92,65858.0
243.0,-464625.791967878,-79284.41352803636,1454.919878446795,32.970853725179694,-96.88638999697771,4773.0,0.2138,139.06,1349.0,75.65,216.73,65641.0
364.0,-456289.96120011876,-77151.15428630242,2287.1738312863404,32.99356704295331,-96.79820526309558,7504.0,0.2413,155.44,1431.0,90.65,211.68,65430.0
486.0,-446672.28791051824,-77259.47329689868,3169.7647820249545,32.99663062641824,-96.69513996768161,10399.0,0.2811,179.16,1550.0,102.41,203.57,65226.0
607.0,-435846.2871718458,-79641.85477000811,4125.615639453707,32.97968389548262,-96.57803346092818,13535.0,0.3338,210.29,1629.0,87.41,191.02,65035.0
729.0,-422844.56648395775,-79053.89594725525,5130.41852148376,32.99014974906008,-96.43905601478326,16832.0,0.4778,297.18,1724.0,72.41,164.39,64871.0
850.0,-405298.5976921454,-73491.61179758234,6193.821075918157,33.04684801547772,-96.25358201875021,20321.0,0.6778,415.83,1224.0,66.88,142.5,64728.0
971.0,-381538.91793446674,-63346.6402254974,6948.810324025544,33.14665695427376,-96.0031495835551,22798.0,0.7716,468.71,724.0,69.11,131.95,64596.0
1093.0,-354269.98543381394,-52940.18919312846,7395.386265803521,33.249487709903825,-95.7145458394443,24263.0,0.7818,472.04,731.0,69.7,129.21,64467.0
1214.0,-326702.4710352419,-42744.686370732044,7846.073494783159,33.34985542002124,-95.42197913922675,25742.0,0.7911,474.76,734.0,69.74,126.25,64341.0
1336.0,-298970.42187415686,-32510.555381688755,8298.992498772954,33.44993742024571,-95.12698399418706,27228.0,0.7992,476.63,564.0,69.76,117.61,64223.0
1457.0,-271104.75418111304,-22237.9386125748,8647.123428601935,33.549707957675956,-94.82988430020364,28370.0,0.8044,477.39,64.0,69.92,98.54,64125.0
1578.0,-243105.9857543467,-12000.587132122177,8686.84106531027,33.6484896265355,-94.53065718779061,28500.0,0.8055,477.76,25.0,69.99,96.95,64028.0
1700.0,-215066.91433515522,-1790.0096177286691,8702.010345415132,33.74632515883139,-94.23030686193425,28550.0,0.8063,478.14,22.0,70.04,96.77,63931.0
1821.0,-186996.3565357053,8404.403277130883,8715.859614847739,33.84330083031978,-93.92893282939424,28595.0,0.8071,478.53,1.0,70.05,95.99,63835.0
1943.0,-158898.53365335867,18601.470587895896,8716.75815039449,33.93957837826024,-93.62658557507844,28598.0,0.8078,478.91,-58.0,69.97,94.05,63741.0
2064.0,-130785.11756728243,28847.86233650649,8681.208416745329,34.03556953569746,-93.3233985944795,28482.0,0.808,479.28,-3.0,69.91,96.18,63645.0
2186.0,-102668.14589811771,39131.22106624285,8679.66589918337,34.13115653222252,-93.01949712345906,28477.0,0.8086,479.65,-4.0,69.93,96.19,63548.0
2307.0,-74525.46167506084,49412.56573268655,8677.1949365615,34.22598581428197,-92.71463439658463,28468.0,0.8092,480.02,-22.0,69.93,95.65,63453.0
2428.0,-46358.716859655404,59702.06834379643,8663.560764414975,34.3201423422702,-92.40882952780802,28424.0,0.8096,480.38,-56.0,69.9,94.66,63358.0
2550.0,-18173.548309849386,70018.73850074741,8628.861928845226,34.41379062715151,-92.10214415709618,28310.0,0.8098,480.7,-134.0,69.83,92.37,63266.0
2671.0,10027.834896634493,80378.35618945617,8546.468490139669,34.50706672248085,-91.79460050591592,28040.0,0.8092,480.91,-372.0,69.89,85.13,63181.0
2793.0,38280.67150933378,90723.51249429726,8316.773765007425,34.59944740060917,-91.48581306464034,27286.0,0.8061,480.6,-767.0,70.07,73.73,63107.0
2914.0,66593.26239792253,100986.57369263629,7843.897056787171,34.690315407130804,-91.17569776936743,25735.0,0.7977,478.68,-267.0,70.94,93.68,63013.0
3036.0,94886.9250425693,110760.2049313781,7679.433653792183,34.77600587186923,-90.86516994091063,25195.0,0.7947,477.96,233.0,75.33,111.17,62902.0
3157.0,123740.73052059527,118313.06465464992,7823.383556717165,34.84087986714679,-90.54819108141356,25667.0,0.6898,414.08,733.0,90.0,112.95,62789.0
3278.0,149521.91544015208,118313.06465209766,8275.746765495469,34.83748010937772,-90.26574794880433,27151.0,0.4898,292.19,1225.0,95.89,139.94,62649.0
3400.0,167566.41666530477,116450.63947878029,9031.133189135468,34.81797464209918,-90.06844814741802,29630.0,0.4624,272.95,908.0,92.08,133.57,62516.0
3521.0,184527.72586424992,115833.22147731142,9591.292497497827,34.809543406818435,-89.8828292558443,31467.0,0.5331,312.15,500.0,82.68,101.5,62414.0
3643.0,203821.8409912758,118313.06465236042,9899.705803446552,34.82822250130732,-89.6709587384089,32479.0,0.7331,427.36,-0.0,90.0,77.97,62336.0
3764.0,230516.6399678682,118313.0646561887,9899.705803251922,34.82262896901609,-89.37860344191506,32479.0,0.82,478.03,-500.0,90.0,70.13,62266.0
3886.0,260441.83951232187,118313.06465749859,9591.29249682049,34.81554211027893,-89.05091943641507,31467.0,0.82,480.16,-1000.0,90.0,56.36,62210.0
4007.0,290561.7315871835,118313.06465772325,8974.46588411146,34.8075380551163,-88.72116339535346,29444.0,0.82,484.41,-1500.0,90.0,46.27,62163.0
4128.0,321003.3549181781,118313.06465796515,8049.225965096318,34.79856097857381,-88.38795304845313,26408.0,0.8063,482.51,-2000.0,90.0,37.69,62126.0
4250.0,351373.1917318161,118313.06465863077,6815.572739757157,34.78871647793904,-88.05560368286459,22361.0,0.7777,473.26,-2500.0,90.0,29.76,62096.0
4371.0,381197.34972271865,118313.06465865146,5273.506208094482,34.77818561754962,-87.72930582928576,17302.0,0.7368,457.49,-2500.0,100.71,35.48,62060.0
4493.0,409511.63611888955,112958.45953173836,3731.4396763887707,34.719321974420495,-87.42219787639567,12242.0,0.6945,439.67,-2500.0,105.65,40.48,62020.0
4614.0,436166.2770275164,105493.64396002701,2189.3731446895026,34.64146667577782,-87.13473187033595,7183.0,0.5,322.47,-2000.0,90.65,17.58,62002.0
4735.0,456417.36081336794,105265.56561201242,955.7199193242568,34.63073353356347,-86.91376312496304,3136.0,0.3,196.29,-1500.0,75.65,20.12,61982.0
4857.0,468325.6365808046,108313.06465888332,30.480000298160785,34.6527900009423,-86.78210000103654,100.0,0.1,66.13,-1000.0,60.65,167.36,61815.0
