ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-77863.27107215379,163079.36495012336,30.48000030452413,32.915716223078505,-97.02597923506761,100.0,0.3,198.38,2414.0,153.64,98.21,66202.0
55.0,-75380.0866185433,158068.39289161502,709.8752485720197,32.8708230570072,-96.9989752817984,2329.0,0.4751,311.76,2295.0,153.52,88.7,66113.0
111.0,-71442.33540372815,150164.76046917486,1355.7501148085114,32.80000419923094,-96.95621254970096,4448.0,0.4905,319.48,2153.0,153.53,85.97,66027.0
166.0,-67406.1032069262,142059.5521321421,1961.80560229136,32.72736399345616,-96.91245067802535,6436.0,0.5057,327.03,2025.0,153.55,83.28,65944.0
222.0,-63275.45668582752,133757.0532385859,2531.85495171679,32.65293970423189,-96.86773836379822,8307.0,0.5207,334.46,1909.0,153.58,80.69,65863.0
277.0,-59053.916596192976,125260.01892474308,3069.112916600372,32.576754908996826,-96.8221182420167,10069.0,0.5366,342.42,1799.0,153.62,78.17,65785.0
332.0,-54736.53793570459,116554.115328829,3575.3633133859694,32.498679953244086,-96.77554159092296,11730.0,0.5545,351.69,1722.0,153.67,76.2,65709.0
388.0,-50309.01435433107,107606.30021542728,4060.118703717433,32.41841725902019,-96.7278595033785,13321.0,0.5724,360.87,1647.0,153.73,74.3,65634.0
443.0,-45774.032190137,98417.7813293074,4523.728421163708,32.33597632513873,-96.6791068526563,14842.0,0.5902,369.96,1573.0,153.8,72.44,65562.0
499.0,-41134.4455835097,88990.35931737597,4966.582782040633,32.25137200102711,-96.6293203009541,16295.0,0.608,378.96,1501.0,153.87,70.66,65491.0
554.0,-36392.76271617527,79325.95166399928,5389.062323053748,32.16462022830921,-96.57853278934348,17681.0,0.6258,387.96,1429.0,153.94,68.94,65422.0
610.0,-31549.96090812434,69423.81086624827,5791.307389815311,32.07571305162875,-96.5267608746902,19000.0,0.6436,396.97,1358.0,154.01,67.29,65355.0
665.0,-26606.667055377635,59283.34146256988,6173.453900166573,31.984643894007544,-96.47401746253611,20254.0,0.6615,405.96,1287.0,154.08,65.69,65289.0
720.0,-21563.466028222316,48904.80047922518,6535.688548259648,31.89141384395751,-96.42031509878147,21443.0,0.6831,417.22,1199.0,154.15,64.05,65225.0
776.0,-16392.037329808743,38229.888195154876,6873.101428070438,31.795497788736423,-96.3653595402375,22550.0,0.7098,431.6,699.0,154.22,56.22,65169.0
831.0,-11048.192395328979,27167.847502656954,7069.772845578145,31.69607833536726,-96.30869107163586,23195.0,0.6673,404.7,199.0,154.27,44.32,65125.0
887.0,-6042.251154709894,16779.35077215195,7125.702800777758,31.602689502171682,-96.25571575770603,23378.0,0.6203,375.89,-301.0,154.32,31.81,65093.0
942.0,-1396.4948822243055,7117.663286912115,7040.891293669139,31.515814838740663,-96.20664702150923,23100.0,0.5745,348.54,-801.0,154.36,19.25,65074.0
997.0,2908.212776389732,-1850.5710605257502,6815.338324253744,31.435158717491902,-96.16126192009969,22360.0,0.5583,339.71,-1078.0,154.39,13.39,65060.0
1053.0,7100.254656429077,-10596.036508493764,6511.812090659694,31.356490695379527,-96.11713992091481,21364.0,0.5455,333.3,-1095.0,154.41,12.72,65048.0
1108.0,11209.826086940478,-19177.921162644747,6203.560113512122,31.27927953094031,-96.07395762670396,20353.0,0.5334,327.19,-1107.0,154.43,12.15,65036.0
1164.0,15241.969922916716,-27603.17791081629,5891.91772394415,31.20346356311257,-96.03165764537455,19330.0,0.5216,321.26,-1115.0,154.43,11.66,65024.0
