ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-77863.27127207366,163079.36515004674,30.480000289361744,32.91571622486251,-97.02597923722577,100.0,0.1573,104.01,914.0,153.64,118.67,66181.0
65.0,-76331.15113614089,159987.60482209196,331.4841516685179,32.888017910921256,-97.00931461691633,1088.0,0.162,106.73,915.0,138.64,118.4,66063.0
130.0,-73991.02597092261,157329.57986925627,633.0152256402235,32.86427128626152,-96.98404518709455,2077.0,0.1668,109.54,917.0,123.64,118.09,65945.0
195.0,-70964.66995892493,155315.8795721224,935.1103075007425,32.846357393959835,-96.95149374138494,3068.0,0.188,123.05,1159.0,108.64,117.27,65828.0
259.0,-67100.57171722724,154012.51492541347,1316.9680236114064,32.8348733944929,-96.91004152926429,4321.0,0.2211,144.08,1471.0,93.64,115.67,65712.0
324.0,-62342.05270074132,153709.85665517265,1801.54039117927,32.8324251415026,-96.85909586856401,5911.0,0.2643,171.23,1756.0,79.46,112.92,65599.0
389.0,-56774.48446775844,154745.9190147989,2380.0575855315296,32.84203688444963,-96.79957639738566,7809.0,0.2468,158.84,1461.0,94.46,112.56,65486.0
454.0,-51529.138885473265,154336.92649521213,2861.446522003833,32.83861111976258,-96.74341355488431,9388.0,0.2418,154.68,1293.0,109.46,111.81,65375.0
519.0,-46693.250008867595,152628.39192164238,3287.2230297694914,32.8234571461747,-96.69157210387813,10785.0,0.2506,159.48,1261.0,124.46,110.14,65264.0
584.0,-42331.39250493287,149635.22265047158,3702.549145847013,32.79671176099716,-96.6447616334826,12147.0,0.2705,171.27,1317.0,139.46,107.52,65157.0
648.0,-38638.62466156781,145317.8870641504,4136.44237364113,32.75801822734691,-96.60507992491509,13571.0,0.3006,189.35,1425.0,154.46,104.02,65053.0
713.0,-35930.8480396738,139651.487778699,4605.8507694235395,32.70714919262512,-96.57590873003392,15111.0,0.3448,215.9,1565.0,169.46,99.39,64954.0
778.0,-34620.97329989868,132612.51048745483,5121.2793368434905,32.64388776416568,-96.56165099369515,16802.0,0.3983,247.76,1662.0,184.46,94.03,64859.0
843.0,-35259.766680903114,124419.96591482301,5668.839651455741,32.570191518888855,-96.56816657991477,18599.0,0.4537,280.26,1681.0,192.37,88.68,64771.0
908.0,-37251.66819462339,115337.09675139833,6222.6592879723175,32.48844453682148,-96.58906394113004,20416.0,0.5366,329.07,1636.0,177.37,82.38,64688.0
973.0,-36750.24967126963,104423.92855115561,6761.401014628417,32.39031760240511,-96.58329576426351,22183.0,0.7024,427.71,1136.0,162.37,73.56,64615.0
1037.0,-32441.330966608984,90865.68395140697,7135.4468264126635,32.2685177202802,-96.53694594153795,23410.0,0.7762,470.31,727.0,154.12,69.85,64545.0
1102.0,-25606.487109087382,76774.8154953536,7374.9408561129185,32.14197039416937,-96.46387757159204,24196.0,0.7816,472.05,730.0,154.57,69.05,64476.0
1167.0,-18856.66022639243,62579.13785818262,7615.531568891522,32.01443740702291,-96.39191101440287,24985.0,0.7868,473.62,733.0,154.52,68.23,64408.0
1232.0,-12071.096970544599,48342.84084080653,7856.9287131253295,31.88649913145164,-96.3197651289142,25777.0,0.7916,474.99,734.0,154.7,67.37,64340.0
1297.0,-5312.291435296763,34043.66114465105,8098.75483840691,31.757954735590573,-96.24810172282898,26571.0,0.7962,476.12,734.0,154.71,66.47,64274.0
1362.0,1460.6441952331631,19709.82995920871,8340.585480962136,31.629058834173968,-96.17648754311675,27364.0,0.8002,476.96,543.0,154.67,62.28,64212.0
1427.0,8257.45004971061,5347.856718204985,8519.489734012412,31.499869904528662,-96.10481967922715,27951.0,0.803,477.42,43.0,155.3,52.76,64159.0
1491.0,14911.488412675835,-9118.812271806311,8533.6980722325,31.369701481627473,-96.03485482646396,27998.0,0.8035,477.62,-208.0,156.09,48.19,64111.0
1556.0,21370.913131092206,-23690.91788780749,8465.255716255355,31.238550750678836,-95.96713253537793,27773.0,0.8029,477.74,-205.0,156.09,48.53,64062.0
1621.0,27833.282494545125,-38265.682789488026,8397.73628368592,31.10734079958314,-95.89956681629212,27552.0,0.8023,477.81,-705.0,156.11,39.76,64022.0
1686.0,34298.62566017904,-52860.015607035944,8165.520936634743,30.975919790117683,-95.83215667460655,26790.0,0.799,477.36,-1205.0,155.71,31.67,63991.0
1751.0,40864.126392099795,-67409.24943683491,7768.609674754803,30.84486612207313,-95.76388061929372,25488.0,0.792,475.78,-1705.0,155.33,24.33,63966.0
1816.0,47508.6044675541,-81878.19075287912,7207.002498019148,30.71449576739569,-95.69496061436935,23645.0,0.7804,472.38,-2205.0,154.99,17.82,63949.0
1880.0,54195.495382374545,-96212.43403697765,6480.69940646398,30.585298635265808,-95.62577617910655,21262.0,0.7633,466.57,-2500.0,154.53,15.1,63933.0
1945.0,60915.45581973592,-110319.68027303006,5657.219831887063,30.458104802946675,-95.55641717541054,18560.0,0.7104,438.89,-2500.0,152.71,12.05,63921.0
2010.0,67652.32434810085,-123379.03548289408,4833.74025736869,30.340297077532885,-95.48699398414546,15859.0,0.5104,318.66,-2500.0,167.71,8.36,63913.0
2075.0,69919.52569043932,-133788.14810258424,4010.260682865711,30.246557794972702,-95.46407417648975,13157.0,0.3104,195.79,-2500.0,182.71,9.26,63904.0
2140.0,69611.30354860709,-140294.15248646293,3186.7811083549122,30.188068388300294,-95.46771893918587,10455.0,0.2106,134.18,-2500.0,185.28,10.14,63894.0
2205.0,69204.25971491504,-144700.15896364217,2363.3015339010444,30.148469592923753,-95.4722466892105,7754.0,0.1923,123.75,-2356.0,170.28,10.72,63883.0
2269.0,69892.57246078855,-148717.75892454473,1587.1089072364284,30.112299642356945,-95.465358551967,5207.0,0.177,114.98,-1856.0,155.28,11.29,63872.0
2334.0,71482.34347086248,-152170.71113270955,975.6121951710749,30.081153336141192,-95.44906939992828,3201.0,0.166,108.57,-1356.0,140.28,11.74,63860.0
2399.0,73785.30926443636,-154942.5023564866,528.8113978138695,30.056086599077556,-95.42533341621662,1735.0,0.1584,104.14,-856.0,125.28,30.79,63829.0
2464.0,76616.48609385747,-156945.47198547845,246.70651516090513,30.03789553864925,-95.39606697433801,809.0,0.1537,101.4,-356.0,138.64,72.95,63756.0
2529.0,78851.79021789558,-159484.43623944023,129.29754708814153,30.01491739430842,-95.3730400180384,424.0,0.1517,100.18,-300.0,153.64,77.79,63678.0
2594.0,80335.68811836767,-162478.88592667782,30.479999854314496,29.987889999096442,-95.3578599989756,100.0,0.1496,98.92,-244.0,168.64,82.71,63596.0
