ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-77863.27122677465,163079.365116995,30.480000004488677,32.91571622456843,-97.02597923673778,100.0,0.1573,104.01,914.0,153.64,102.55,66197.0
56.0,-76539.00150528832,160407.0389950561,290.5888434387727,32.891775647100104,-97.01157476065968,953.0,0.1613,106.36,915.0,138.64,102.35,66095.0
112.0,-74523.4498407441,158117.67992241634,551.0991405685097,32.87132334846184,-96.98980793840855,1808.0,0.1744,114.65,1059.0,123.64,101.96,65993.0
168.0,-71788.15528796357,156297.6482698384,852.5366733547357,32.85513402504018,-96.9603832132577,2797.0,0.2052,134.43,1404.0,108.64,100.99,65892.0
224.0,-68144.40471761633,155068.60698942258,1252.070645735326,32.844307968812316,-96.92128959806317,4108.0,0.2214,144.39,1488.0,105.76,100.03,65792.0
280.0,-64169.51774870604,153946.5302677788,1675.7381300736693,32.834450859279485,-96.87866902150277,5498.0,0.2094,135.9,1242.0,120.76,99.86,65692.0
336.0,-60824.13698053153,151955.13719197136,2029.1894534087637,32.8167281157124,-96.84273742153987,6657.0,0.2085,134.71,1139.0,135.76,99.4,65593.0
392.0,-58129.83010260113,149188.00902456924,2353.4814514381387,32.79198576501943,-96.81373683115355,7721.0,0.2177,140.16,1167.0,150.76,98.56,65494.0
448.0,-56167.16902326445,145681.42726169986,2685.533297259702,32.76055074609534,-96.79253211322681,8811.0,0.2377,152.43,1299.0,165.76,97.13,65397.0
504.0,-55092.90045866104,141447.17264724927,3055.164792627504,32.72252522002961,-96.780796001261,10024.0,0.2735,174.54,1526.0,180.76,94.65,65303.0
560.0,-55159.551226829906,136448.516409,3489.5231022157723,32.67756920392955,-96.78121486156144,11449.0,0.3526,223.84,1875.0,195.76,89.12,65213.0
616.0,-56900.715186276975,130280.55119372114,4023.1613448920234,32.622014613547385,-96.79944340175383,13199.0,0.3785,238.71,1847.0,180.76,86.05,65127.0
672.0,-56991.88584689555,123442.9498487679,4548.804646097485,32.56051979244213,-96.80000376429794,14924.0,0.3772,236.34,1720.0,165.76,84.38,65043.0
728.0,-55326.06028970071,116877.06001866637,5038.474728984847,32.5015555691527,-96.78184609776082,16530.0,0.4429,275.84,1787.0,150.76,79.35,64964.0
784.0,-51463.17924561652,109975.4568657726,5547.00877787379,32.43967137300053,-96.7402830544073,18199.0,0.6423,397.4,1373.0,140.78,68.63,64895.0
840.0,-44242.64838411856,101128.59608150093,5937.8043164216515,32.36041543919615,-96.66293378702981,19481.0,0.7265,447.21,873.0,155.78,64.38,64831.0
897.0,-38963.8262512136,89393.7786472133,6186.2801925479835,32.255076285300575,-96.60625557159311,20296.0,0.7533,462.21,711.0,157.15,62.93,64768.0
953.0,-33796.6168798707,77134.20164106032,6388.5652070913175,32.14498936942732,-96.55087576287923,20960.0,0.7584,464.12,714.0,156.16,62.39,64705.0
1009.0,-28397.526540887095,64915.13639495454,6591.868594619617,32.03524849139555,-96.49317087021757,21627.0,0.7635,465.96,718.0,157.37,61.85,64643.0
1065.0,-23237.712926514025,52535.781464250926,6796.20720388133,31.924035209052967,-96.43813563784919,22297.0,0.7685,467.74,722.0,157.79,61.3,64582.0
1121.0,-18148.93654307998,40072.124143648936,7001.579633626452,31.812038978216716,-96.38398361915192,22971.0,0.7734,469.43,725.0,151.51,60.73,64521.0
1177.0,-11704.403607682667,28197.22111420094,7207.948100068606,31.705329223624485,-96.31563933796454,23648.0,0.7781,471.02,728.0,153.23,60.14,64461.0
1233.0,-5597.902568681893,16093.805998473727,7415.224640812551,31.59652649289311,-96.25101992864153,24328.0,0.7828,472.5,731.0,156.4,59.55,64402.0
1289.0,-153.76241893628927,3631.982486606721,7623.263331207151,31.48446819296257,-96.19353653999096,25011.0,0.7872,473.86,733.0,152.24,58.93,64343.0
1345.0,6198.222722726598,-8436.315504994747,7831.860233135932,31.375918714487252,-96.12662598550341,25695.0,0.7915,475.06,585.0,147.3,56.09,64287.0
1401.0,13586.042756108009,-19946.204015064694,7998.254308780573,31.27234482112722,-96.04896389364974,26241.0,0.7947,475.92,85.0,145.42,47.97,64239.0
1457.0,21371.189651449866,-31238.81059066853,8022.328740664562,31.170671162412738,-95.96729146206813,26320.0,0.7954,476.16,-415.0,143.26,40.1,64199.0
1513.0,29588.08739455416,-42246.04996683318,7904.083517126414,31.07150153233821,-95.88125274245377,25932.0,0.7935,475.81,-915.0,158.09,32.62,64166.0
1569.0,34714.249646462486,-54990.886755604406,7643.518634271822,30.95674432811591,-95.82787067991978,25077.0,0.7887,474.62,-1415.0,156.96,25.64,64140.0
1625.0,40081.19256825986,-67609.32161799808,7240.63409106546,30.843093893342456,-95.77208939926,23755.0,0.7804,472.18,-1915.0,146.42,19.24,64121.0
1681.0,47631.31210115751,-78980.55041968256,6695.429888497007,30.74054940703756,-95.69354131925316,21967.0,0.7679,468.05,-2415.0,139.12,13.6,64108.0
1737.0,56490.293033243106,-89214.28003443028,6007.906034463694,30.648125058095783,-95.60141745638961,19711.0,0.751,461.88,-2500.0,145.31,13.73,64094.0
1793.0,64091.62326202949,-100196.86525920515,5296.3076978121935,30.548970252668028,-95.52265026377194,17376.0,0.7326,454.74,-2500.0,160.31,14.89,64079.0
1849.0,68521.25481643739,-112576.44284084809,4584.70935789553,30.437393331981458,-95.47722206503424,15042.0,0.7138,447.07,-2500.0,163.82,15.97,64063.0
1905.0,72123.56738809688,-124989.03412300997,3873.1110178053673,30.325554723137195,-95.44051824097431,12707.0,0.6948,439.05,-2500.0,162.03,16.98,64046.0
1961.0,76038.57177376996,-137061.39741995852,3161.512677836319,30.216745728954777,-95.40061843772212,10372.0,0.5084,324.05,-2500.0,175.16,7.77,64038.0
2017.0,76828.08960578727,-146382.19336859795,2449.914337936184,30.132875086862935,-95.39309127466026,8038.0,0.3089,198.62,-2500.0,183.17,8.65,64030.0
2073.0,76512.97211802675,-152079.33351385142,1738.3159980511437,30.08166229474074,-95.39678574105042,5703.0,0.1851,120.04,-2500.0,170.02,9.63,64020.0
2129.0,77102.80483400445,-155431.6374763636,1026.71767603015,30.051477727044496,-95.39090384338418,3368.0,0.1967,128.59,-2000.0,157.26,9.9,64010.0
2185.0,78523.52331231802,-158822.00592974017,457.43900633643636,30.02089614261977,-95.37639924914922,1501.0,0.2158,142.01,-1500.0,153.64,10.01,64000.0
2241.0,80335.6880189526,-162478.88582696326,30.48000000420722,29.987889999999854,-95.35786000000007,100.0,0.2349,155.33,-1000.0,150.01,10.02,63990.0
