ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-499691.8012708865,-364086.58058714744,30.48000030358774,32.91569714343443,-97.02594785431208,100.0,0.3,198.38,2414.0,48.71,267.36,66033.0
151.0,-488331.27062112204,-354108.3706937567,1879.9112422139985,33.01066316393715,-96.90995161429761,6168.0,0.5,323.65,2060.0,51.92,228.31,65804.0
302.0,-468786.89747006557,-338794.6822377795,3458.6321672019726,33.15716635740619,-96.7088293169215,11347.0,0.5454,346.42,1764.0,51.9,209.47,65595.0
453.0,-447836.6581406486,-322366.7418215892,4810.440236081112,33.313963343458056,-96.49250141393341,15782.0,0.5934,370.63,1565.0,51.89,195.17,65400.0
603.0,-425400.17888050945,-304768.0142701544,6009.685318573864,33.481516588221034,-96.25996798189844,19717.0,0.6405,393.92,1377.0,51.85,182.1,65218.0
754.0,-401542.6220436527,-286028.2330907993,7064.8267118160775,33.65944319715671,-96.01173337409068,23179.0,0.6867,416.44,1199.0,51.81,170.4,65047.0
905.0,-376312.09592980373,-266180.8078786747,7983.566097323497,33.847331875433206,-95.74811079191858,26193.0,0.7325,438.75,1027.0,51.77,160.08,64887.0
1056.0,-349721.23364169576,-245231.9880407387,8770.794987106736,34.04502476903721,-95.46903446998444,28776.0,0.7697,456.0,893.0,51.73,151.62,64735.0
1207.0,-322079.3301379885,-223427.3496854603,9454.918807485605,34.2501129653129,-95.17756065674583,31020.0,0.7888,462.77,985.0,51.71,151.59,64584.0
1358.0,-294055.70121595974,-201299.64829977538,10209.292441781958,34.45752637596573,-94.8806214441852,33495.0,0.788,457.33,485.0,51.69,124.75,64459.0
1508.0,-266287.6722737779,-179361.08460457518,10580.543500451606,34.662453813496256,-94.58494202218596,34713.0,0.7684,443.52,-15.0,51.69,98.46,64361.0
1659.0,-239281.323015148,-158021.77125277446,10568.671985013765,34.861098082801504,-94.29597344296698,34674.0,0.7754,447.62,28.0,51.7,100.93,64260.0
1810.0,-212028.86612208313,-136495.61370207072,10590.394203871389,35.0607911318933,-94.00295697443875,34745.0,0.7743,446.84,20.0,51.72,100.23,64160.0
1961.0,-184814.29906902942,-115015.43459210188,10605.428878207735,35.25935900191255,-93.70891623163743,34795.0,0.7747,446.98,21.0,51.75,100.1,64059.0
2112.0,-157580.42981770178,-93542.57037133702,10621.72579684503,35.457152733236974,-93.41322251731992,34848.0,0.7748,446.94,21.0,51.78,99.9,63960.0
2263.0,-130335.86161306282,-72088.13365246146,10637.773011422745,35.654060904209544,-93.11595588283515,34901.0,0.775,446.93,21.0,51.82,99.7,63860.0
2413.0,-103078.13815790767,-50651.412444424444,10653.7315410998,35.850080403407006,-92.81707768867707,34953.0,0.7752,446.92,21.0,51.85,99.51,63760.0
2564.0,-75807.49509897272,-29231.028538929528,10669.753584181306,36.04521354091031,-92.51657900833467,35006.0,0.7753,446.91,22.0,51.88,99.35,63661.0
2715.0,-48527.74038060916,-7823.844679044657,10686.236990222451,36.239478203824675,-92.21449076429167,35060.0,0.7754,446.82,20.0,51.89,99.05,63562.0
2866.0,-21247.67806672844,13573.015257712503,10701.892324903218,36.4328901440538,-91.91089968544031,35111.0,0.7756,446.86,21.0,51.92,98.91,63463.0
3017.0,6043.339336142757,34960.34925747178,10717.991966179814,36.62544689955386,-91.60567503495136,35164.0,0.7757,446.82,21.0,51.9,98.71,63364.0
3168.0,33326.68678749004,56353.71957769069,10733.977083086895,36.81727886642246,-91.29901373145451,35216.0,0.7759,446.8,21.0,51.89,98.51,63266.0
3318.0,60604.07761129019,77752.83458542955,10749.991627266503,37.00837480881987,-90.99088447778924,35269.0,0.776,446.77,21.0,51.87,98.31,63167.0
3469.0,87872.74809640743,99160.57250294676,10766.061667888289,37.19875192040196,-90.68130594224395,35322.0,0.7761,446.73,21.0,51.83,98.11,63069.0
3620.0,115127.6921411671,120582.41153675549,10781.781706172178,37.38845125014912,-90.3703216878887,35373.0,0.7764,446.75,22.0,51.8,97.97,62971.0
3771.0,142371.38926930205,142021.420389983,10798.681089372265,37.57749153068285,-90.05789057161648,35429.0,0.7763,446.58,16.0,51.78,97.48,62874.0
3922.0,169600.90313815034,163461.11224335743,10810.898955754452,37.76571627374074,-89.74403684397072,35469.0,0.7774,447.14,55.0,51.77,99.11,62775.0
4073.0,196854.37377880327,184930.8485209019,10852.766991947565,37.9533727768941,-89.42830694910896,35606.0,0.7702,442.76,-142.0,51.76,89.46,62685.0
4223.0,223866.1815836441,206216.70250395226,10743.628716014877,38.138590186628385,-89.11378565135743,35248.0,0.7581,436.52,-642.0,51.77,66.57,62619.0
4374.0,250569.2375395392,227252.45399459475,10251.367864426558,38.32080418067375,-88.80129509544147,33633.0,0.6977,404.64,-1142.0,51.79,40.27,62579.0
4525.0,275389.7156793112,246789.0600919106,9375.984437299792,38.48928307316481,-88.50943550872653,30761.0,0.6458,379.31,-1257.0,51.83,32.4,62546.0
4676.0,298674.5896796915,265095.2019783109,8412.580862890656,38.646484111717854,-88.23440363952811,27600.0,0.5996,357.01,-1288.0,51.87,28.34,62518.0
4827.0,320601.09790326416,282306.263941439,7425.564584721672,38.79368172865009,-87.97432756981314,24362.0,0.5588,337.27,-1292.0,51.92,25.64,62492.0
4978.0,341324.21742891177,298543.64868573856,6435.554183860057,38.93200959870905,-87.7275540281889,21114.0,0.5226,319.6,-1283.0,51.97,23.65,62468.0
5128.0,360969.24940361857,313908.8634898548,5452.777635530254,39.06241511061618,-87.49274581355363,17890.0,0.4903,303.75,-1266.0,52.02,22.17,62446.0
5279.0,379647.03856698266,328492.0286807925,4482.551172295786,39.18573432613503,-87.2687098681924,14707.0,0.4616,289.46,-1246.0,52.06,20.98,62425.0
5430.0,397451.40067226504,342371.55586650094,3527.656485013899,39.30269295998724,-87.05443271742472,11574.0,0.4358,276.57,-1225.0,52.09,21.02,62404.0
5581.0,414465.22186151805,355619.1217282259,2589.1883471939545,39.413950929582555,-86.84901162799233,8495.0,0.4126,264.86,-1203.0,52.12,22.11,62382.0
