ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-499691.8014705963,-364086.58078621776,30.479999759707876,32.91569714155179,-97.02594785633576,100.0,0.1573,104.01,500.0,48.71,331.84,65968.0
188.0,-492159.5188856673,-357470.80710952776,508.20401380531644,32.97867353998028,-96.94906747607675,1667.0,0.1643,108.08,541.0,51.69,330.13,65638.0
376.0,-483988.0838257209,-351015.7350503828,1024.7815250608714,33.04046191791108,-96.8651463012179,3362.0,0.1724,112.74,833.0,66.69,338.84,65299.0
564.0,-474043.09927177435,-346731.2718712623,1820.4961995332328,33.083534608360175,-96.76093998391052,5973.0,0.1864,120.75,926.0,81.69,337.13,64962.0
752.0,-462575.38282375166,-345056.8466938539,2705.0738060407352,33.10378044514337,-96.63894234541175,8875.0,0.2037,130.55,933.0,96.69,330.9,64631.0
940.0,-450129.046007318,-346517.3756731019,3596.541383753262,33.09619265142739,-96.50480181642507,11800.0,0.2692,170.68,1374.0,99.02,313.23,64318.0
1128.0,-434002.3481239058,-349076.57549697964,4908.898210259335,33.08014816506618,-96.33070549962537,16105.0,0.4692,292.67,1733.0,84.02,254.5,64063.0
1317.0,-406185.49136555276,-346161.3804933937,6564.290124496108,33.11767837801281,-96.03392410995264,21536.0,0.6692,408.56,1233.0,69.02,214.48,63849.0
1505.0,-369581.3371059623,-332123.01557626796,7741.958015363991,33.25756862176037,-95.64727625725823,25400.0,0.7922,476.05,733.0,69.27,196.32,63653.0
1693.0,-326715.2928418404,-315895.8358483427,8441.90188283874,33.4179049085551,-95.19281106248398,27697.0,0.8054,479.33,433.0,69.78,173.92,63479.0
1881.0,-283323.427554234,-299911.11532489344,8855.575521283652,33.57449405523167,-94.73089745827038,29054.0,0.8116,480.26,17.0,70.11,148.1,63331.0
2069.0,-239632.3338834035,-284102.01841269206,8872.117986806012,33.727799461319584,-94.26400615322453,29108.0,0.8128,480.86,7.0,70.06,147.47,63183.0
2257.0,-195897.67116509352,-268234.1335216109,8878.623646625032,33.87982342558013,-93.79496946513284,29129.0,0.8139,481.46,-80.0,70.07,143.04,63040.0
