ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-499691.80137088796,-364086.5806872311,30.48000000000943,32.91569714248813,-97.02594785532519,100.0,0.2774,183.4,2280.0,48.71,254.86,66045.0
143.0,-489741.7598632037,-355347.23499421275,1683.8184411368672,32.9988782298133,-96.9243668379188,5524.0,0.4036,261.86,1839.0,55.32,213.0,65832.0
286.0,-474086.8096099186,-344517.22872844234,3017.4070677396303,33.10338269470454,-96.76259347407351,9900.0,0.6036,385.45,1339.0,40.32,190.7,65641.0
428.0,-455885.1372542011,-323073.4653681499,3988.3521955621213,33.30407068532061,-96.57860638008032,13085.0,0.6791,428.53,839.0,49.98,176.44,65465.0
571.0,-431875.3313945083,-302914.83220877516,4596.6532491588705,33.49543413417007,-96.33059999557094,15081.0,0.7111,445.31,684.0,53.03,170.56,65294.0
714.0,-405827.49210115126,-283309.33497630403,5092.527447894166,33.68215521232458,-96.05924392784277,16708.0,0.7243,450.77,692.0,42.44,167.48,65127.0
857.0,-383557.79098765645,-258958.07886263056,5594.274530447876,33.90947707763467,-95.82970582731582,18354.0,0.7376,456.08,700.0,47.79,164.26,64963.0
999.0,-358831.7371790121,-236526.51272603398,6102.115522608656,34.12001776461539,-95.5714844401846,20020.0,0.6834,419.81,1182.0,62.79,167.54,64795.0
1142.0,-331575.24745687976,-222509.89394103386,6959.055326545461,34.25526814385073,-95.28114481013343,22832.0,0.7715,468.57,724.0,77.79,155.1,64640.0
1285.0,-298060.28200633277,-215254.85289001,7484.196090015632,34.33095230847075,-94.91931802721271,24554.0,0.7833,472.38,732.0,63.97,151.31,64489.0
1428.0,-266999.73672599706,-200086.21600171056,8014.8794643353995,34.476012298590845,-94.58609104203731,26296.0,0.7938,475.27,698.0,48.97,145.75,64343.0
1571.0,-240760.36196133494,-177253.43522708764,8521.38814754235,34.68788826813702,-94.30658037105181,27957.0,0.7912,470.35,198.0,33.97,120.33,64223.0
1713.0,-221475.94503643003,-148631.9943516732,8665.273759684667,34.94963071471886,-94.10343145438202,28429.0,0.8044,477.28,-302.0,18.97,101.13,64122.0
1856.0,-210062.42543240573,-115430.36893290303,8446.520639910863,35.250568757021114,-93.98679169039272,27712.0,0.8025,477.57,-802.0,31.94,83.17,64038.0
1999.0,-191434.80120218068,-85546.81815970362,7865.131684578873,35.52301124525562,-93.78880373588251,25804.0,0.7935,476.04,-312.0,46.94,107.7,63931.0
2142.0,-165850.3708675233,-61636.26194111307,7639.124011530036,35.74264724079815,-93.5111246375225,25063.0,0.5935,357.16,188.0,61.94,101.15,63830.0
2284.0,-142723.63041267343,-49306.89265887441,7775.752075394346,35.85716270744276,-93.2571321708911,25511.0,0.3935,236.36,688.0,76.94,161.35,63668.0
2427.0,-125877.61583711425,-45398.15234454426,8275.004749543195,35.894634209041385,-93.07084934025795,27149.0,0.5935,354.05,680.0,91.94,125.22,63543.0
