ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-714745.341042641,159959.34650996877,30.480000303660482,32.915685502845456,-97.02597615079277,100.0,0.3,198.38,2414.0,96.4,317.37,65983.0
179.0,-696944.7677840991,157961.23033864543,2225.8712639828,32.90902702080996,-96.83425790223453,7303.0,0.5,322.33,2030.0,99.98,267.77,65715.0
358.0,-668083.6434153466,152883.05003469018,4072.6818675426925,32.88115093500053,-96.52215557493675,13362.0,0.5679,357.99,1669.0,99.99,240.81,65474.0
537.0,-635951.2057743401,147224.22589425402,5590.773209958525,32.849163867057214,-96.17490767603594,18342.0,0.6244,386.13,1440.0,100.0,221.5,65253.0
716.0,-601246.5864310986,141101.8113336579,6900.46404984798,32.81345086369945,-95.80014064951038,22639.0,0.6797,413.13,1225.0,100.03,204.38,65048.0
895.0,-564071.1739751952,134523.71509868008,8014.765214379388,32.77378731105066,-95.39901865125631,26295.0,0.734,439.45,1022.0,100.06,189.66,64859.0
1074.0,-524481.8379904829,127500.80789713236,8944.111989949448,32.729993565038804,-94.97223892843796,29344.0,0.7738,457.3,878.0,100.09,178.0,64681.0
1253.0,-483253.3449058312,120160.82532691666,9742.384015723694,32.68262375344424,-94.52822699388118,31963.0,0.7901,461.63,719.0,100.14,164.23,64516.0
1432.0,-441599.033586769,112714.58949019913,10396.755203700086,32.632913713865925,-94.0800995139668,34110.0,0.7836,453.5,219.0,100.16,132.22,64384.0
1611.0,-400542.2276872687,105356.85093722286,10596.335785500485,32.5822049040409,-93.6388856594846,34765.0,0.7674,442.8,-14.0,100.18,116.62,64267.0
1791.0,-360392.48573646194,98148.51778706694,10583.65026024997,32.531017103963336,-93.20790274557065,34723.0,0.7755,447.55,27.0,100.22,119.53,64148.0
1970.0,-319828.45806817594,90834.34357532818,10608.448533641045,32.47753566123968,-92.77296637604587,34805.0,0.7744,446.75,20.0,100.23,118.71,64029.0
2149.0,-279335.31332444435,83529.14289723818,10626.934780376407,32.42263163591148,-92.33930979968584,34865.0,0.7747,446.82,21.0,100.24,118.5,63911.0
2328.0,-238837.1847692126,76215.99191728506,10646.34251515372,32.36618160448351,-91.90613138010502,34929.0,0.7748,446.75,21.0,100.28,118.21,63792.0
2507.0,-198350.64821313176,68872.25207185456,10665.671722408237,32.307983626636386,-91.47361609772217,34992.0,0.7749,446.69,21.0,100.29,117.92,63675.0
2686.0,-157870.98936986603,61521.301776226384,10684.939499495535,32.24825487689666,-91.04173347402357,35056.0,0.775,446.63,21.0,100.32,117.63,63557.0
2865.0,-117400.21216584023,54149.83568798059,10703.891179515811,32.1868815329514,-90.61051578919674,35118.0,0.7752,446.61,21.0,100.39,117.36,63440.0
3044.0,-76938.91970468739,46733.1509299413,10722.747379708964,32.12364773880933,-90.17998151821023,35180.0,0.7754,446.6,20.0,100.44,117.03,63323.0
3223.0,-36484.285255622,39280.334490488,10741.180447453387,32.05864179359037,-89.75011792031884,35240.0,0.7757,446.65,20.0,100.51,116.77,63206.0
3402.0,3966.7830309576298,31777.343284967417,10759.71627661743,31.991743609659945,-89.32090775330578,35301.0,0.776,446.69,20.0,100.6,116.5,63089.0
3581.0,44410.125487524405,24209.433752529254,10778.324530468866,31.922826597269154,-88.89241315032946,35362.0,0.7763,446.71,21.0,100.69,116.29,62973.0
3760.0,84844.20732648355,16573.36693371871,10797.006540860672,31.85186898561852,-88.46466936056622,35423.0,0.7765,446.73,21.0,100.79,116.02,62857.0
3939.0,125268.4574352848,8871.238346063996,10816.30438652641,31.77889704554916,-88.03770061568298,35487.0,0.7766,446.65,21.0,100.88,115.73,62741.0
4118.0,165674.49814191397,1102.6962793940997,10835.559812158623,31.703916293435164,-87.61161349763834,35550.0,0.7767,446.59,22.0,100.99,115.5,62626.0
4297.0,206062.07002277148,-6738.0584562069735,10855.528998571672,31.626883165928668,-87.1864294347451,35615.0,0.7766,446.41,22.0,101.06,115.2,62511.0
4476.0,246425.5865541676,-14630.52224876126,10875.381671037443,31.54799190675592,-86.76222002211186,35680.0,0.7766,446.26,22.0,101.13,114.9,62396.0
4655.0,286769.43757156015,-22565.274493141194,10894.999165904961,31.467335494049646,-86.33895103370217,35745.0,0.7766,446.15,22.0,101.19,114.61,62281.0
