ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-714745.3412425122,159959.3465100939,30.479999726597722,32.91568550271889,-97.02597615292844,100.0,0.1573,104.01,500.0,96.4,385.68,65914.0
219.0,-703171.4024523499,158660.17069525016,585.7162637963709,32.91138900590415,-96.90131761664237,1922.0,0.1655,108.75,751.0,111.4,393.65,65521.0
437.0,-691866.0581055075,154228.59673256965,1419.6959685313163,32.87875755190778,-96.77721036712825,4658.0,0.1794,116.75,923.0,126.4,394.36,65126.0
656.0,-681394.7385982438,146507.1627972663,2444.3852629587795,32.81603363160362,-96.65969706823545,8020.0,0.2675,172.01,1423.0,141.4,361.32,64765.0
874.0,-669483.1208530861,131583.25358719475,4024.3108322777935,32.6895449764792,-96.52183744735011,13203.0,0.4675,294.88,1730.0,156.4,298.44,64467.0
1093.0,-656391.5383580058,101611.17573165905,5945.10582162425,32.4287736511581,-96.36137123531498,19505.0,0.6675,410.87,1230.0,171.4,257.24,64209.0
1312.0,-649550.7767416198,56353.90540164195,7310.664536077185,32.02725761142148,-96.25785856687854,23985.0,0.7816,472.48,730.0,166.46,233.36,63976.0
1530.0,-637183.1983105249,4986.1015991638715,8120.986975595027,31.573938921578797,-96.09323867760949,26644.0,0.7984,477.33,230.0,151.46,194.33,63782.0
1749.0,-611584.817128011,-42087.37982163192,8376.073140202612,31.16588106180011,-95.79437830866382,27481.0,0.8036,478.71,-270.0,136.46,161.13,63620.0
1967.0,-574426.3297568937,-81193.40016567805,8075.923030295326,30.83420398491646,-95.38204583874456,26496.0,0.6047,361.73,230.0,121.46,156.46,63464.0
2186.0,-539790.4062155538,-102387.41651442286,8331.009195040726,30.660613845819203,-95.0084860003426,27333.0,0.8047,479.67,560.0,106.46,210.87,63253.0
2405.0,-488287.38759895356,-117606.95714082051,8952.349371021824,30.54663138978272,-94.46334581769318,29371.0,0.8141,481.06,60.0,91.46,173.48,63080.0
2623.0,-434232.7889292026,-118987.32387574133,9018.453274738082,30.55548458492891,-93.89880493435587,29588.0,0.8159,481.7,-20.0,90.0,167.93,62912.0
2842.0,-380054.35742715764,-118987.32387492785,8996.738227868276,30.574284946282845,-93.33339579781335,29517.0,0.8169,482.45,-176.0,90.0,159.13,62753.0
3060.0,-325725.88723236124,-118987.32387504628,8801.443819954677,30.590631043309326,-92.766213153565,28876.0,0.8158,483.11,-318.0,90.0,153.58,62599.0
3279.0,-271263.40106349124,-118987.32387533302,8447.866575957689,30.604495905287333,-92.19745224497122,27716.0,0.8115,482.93,-818.0,90.0,128.96,62470.0
3498.0,-216620.66649994042,-118987.32387541761,7539.053058851668,30.615867337328144,-91.62665867894025,24734.0,0.7939,478.4,-318.0,90.0,169.84,62300.0
3716.0,-162693.89273373003,-118987.32387538966,7185.475814427886,30.624594351315483,-91.06322582992223,23574.0,0.7863,476.08,182.0,90.0,203.19,62097.0
3935.0,-109229.35756927347,-118987.32387507986,7387.134844639086,30.63079811683759,-90.50453538820136,24236.0,0.7918,478.15,682.0,90.0,228.73,61868.0
4153.0,-55740.26662943622,-118987.32387555376,8144.030149431287,30.634564301035024,-89.94553003369651,26719.0,0.8096,483.82,450.0,77.58,206.7,61662.0
4372.0,-2791.277878105165,-107324.3462952591,8643.642653688263,30.74077556816707,-89.39217205661338,28358.0,0.82,486.67,-50.0,62.58,172.14,61489.0
4591.0,45806.92650161642,-82109.67053065561,8588.018884086607,30.96663771528043,-88.88255525145289,28176.0,0.82,487.05,-47.0,52.82,173.13,61316.0
4809.0,89463.29706122483,-49000.743468572684,8536.077723687265,31.26183562238399,-88.4217446977741,28006.0,0.82,487.4,-44.0,52.34,174.07,61142.0
5028.0,132866.87692029463,-15497.9289921848,8487.238872006717,31.558917173186007,-87.96063643293672,27845.0,0.82,487.73,-42.0,52.22,174.91,60967.0
5246.0,176230.0711893765,18116.50823372818,8441.060419087296,31.855309764792263,-87.49696831784028,27694.0,0.82,488.05,-40.0,52.12,175.7,60792.0
5465.0,219564.65453649987,51823.9221458718,8397.196618081829,32.15081733319592,-87.0305717300292,27550.0,0.82,488.35,-38.0,51.68,176.46,60615.0
5684.0,262665.4299786229,85882.6241603006,8355.370908719013,32.44778127022052,-86.56351421191646,27413.0,0.82,488.63,-36.0,50.42,177.19,60438.0
5902.0,305027.247424499,120905.23086316064,8315.357955100904,32.751838090308205,-86.10092987159108,27281.0,0.82,488.9,-536.0,59.22,149.85,60288.0
6121.0,352452.9852723537,149157.57912269636,7720.108726875649,32.99174309064406,-85.5834369692457,25328.0,0.8069,485.05,-276.0,74.22,171.74,60116.0
6339.0,405052.4745310587,164024.88157369065,7413.665807375642,33.10741580686201,-85.01344807274788,24323.0,0.6069,366.35,224.0,89.22,152.31,59964.0
6558.0,446176.7734746834,164586.9193862043,7662.459162231301,33.09675816112278,-84.57214049004543,25139.0,0.62,372.99,470.0,104.22,169.97,59794.0
6777.0,486689.27223918715,154322.8910548351,8184.015376388762,32.98770364332577,-84.14320470159836,26850.0,0.82,489.79,-30.0,119.22,180.04,59614.0
6995.0,534773.0693602276,127431.03956520114,8150.335316112224,32.72451497409745,-83.64388333426768,26740.0,0.82,490.02,-29.0,134.22,180.59,59434.0
7214.0,574276.4174331338,88992.90033463456,8117.728067716167,32.360365963507725,-83.24570303385295,26633.0,0.82,490.24,-28.0,144.32,181.12,59252.0
7432.0,606435.9132126612,44199.29582885794,8086.114236648293,31.942077112382798,-82.93227160781747,26529.0,0.82,490.46,-528.0,146.21,154.37,59098.0
7651.0,637231.8495139206,-1821.402226517424,7499.2641306843525,31.512908636420324,-82.63660612570096,24604.0,0.8057,485.79,-1028.0,156.4,133.75,58964.0
7869.0,659262.7087817932,-52259.202957661946,6357.177749842057,31.0486213150395,-82.43817109927987,20857.0,0.6057,370.82,-1528.0,141.4,42.22,58922.0
8088.0,685543.7004545772,-85186.31177392144,4659.855094563815,30.738491427962458,-82.18527832238784,15288.0,0.4057,253.87,-1890.0,126.4,29.24,58893.0
8307.0,708761.3494827364,-102306.74659391088,2561.493788603643,30.571342224291076,-81.9548257080416,8404.0,0.2057,132.08,-1390.0,111.4,35.47,58857.0
8525.0,722643.431158483,-107748.37400608824,1018.3687568850778,30.51415361168721,-81.81401789775154,3341.0,0.1508,98.59,-890.0,96.4,94.67,58763.0
8744.0,733680.8346257712,-108987.32367597119,30.479999862131937,30.496220000831386,-81.69996999888895,100.0,0.0959,63.4,-390.0,81.4,396.58,58366.0
