ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-714745.3411410362,159959.34660896964,30.480000000078203,32.91568550366876,-97.02597615192028,100.0,0.3,198.38,2414.0,96.4,317.25,65983.0
179.0,-696951.3126774014,157961.9653854183,2225.053087098051,32.90902952549512,-96.83432838795133,7300.0,0.5,322.33,1946.0,111.4,263.67,65719.0
358.0,-669660.7309659324,147264.37744889822,3994.707891410016,32.82988616158751,-96.53496453282457,13106.0,0.6062,382.47,1446.0,119.76,234.27,65485.0
537.0,-639361.6779710964,129938.0479471698,5309.74187625561,32.692344198467616,-96.19951175818592,17420.0,0.7001,434.49,946.0,118.65,212.48,65272.0
716.0,-604456.8202220566,110864.54576813104,6170.155450864779,32.54069793187213,-95.81494170472233,20243.0,0.7515,461.19,710.0,111.32,201.33,65071.0
895.0,-565070.5396115677,95491.11907893736,6815.315539851731,32.423272332229125,-95.38624963764727,22360.0,0.7673,466.88,721.0,109.96,195.78,64875.0
1074.0,-524844.7075916858,80883.0346432854,7471.0922210591025,32.311624784226574,-94.95019165486123,24511.0,0.782,471.67,732.0,108.29,189.91,64685.0
1253.0,-483800.370545989,67315.27972624103,8136.291300742103,32.208140475964406,-94.50706160126762,26694.0,0.7947,475.0,451.0,108.5,169.68,64516.0
1432.0,-442442.98689591093,53478.18484080275,8545.954375726727,32.10079456676435,-94.06150957078951,28038.0,0.8012,476.15,-10.0,93.5,142.54,64373.0
1611.0,-398678.9494003838,50802.30692636845,8537.107294596792,32.0929457930864,-93.59614325289692,28009.0,0.802,476.7,-79.0,84.67,139.27,64234.0
1790.0,-354953.2692265867,54879.10431480242,8465.689819174515,32.14405158060569,-93.13376992660741,27775.0,0.802,477.18,42.0,99.67,146.14,64088.0
1969.0,-311652.2030797991,47498.27506008243,8503.986609144877,32.09043126169232,-92.67167512942181,27900.0,0.8034,477.75,-124.0,111.04,137.56,63950.0
2148.0,-270562.23548179254,31692.476334697138,8390.797235597238,31.95889261548187,-92.23121539109957,27529.0,0.8027,478.09,-293.0,109.52,130.49,63820.0
2327.0,-228994.57893927398,16957.694624989443,8124.163608359484,31.835542691261562,-91.78722829973793,26654.0,0.7992,477.78,-323.0,94.52,131.94,63688.0
2506.0,-185050.63246401612,13485.133548300499,7830.707684938053,31.812277676795716,-91.32146490331287,25691.0,0.7945,476.89,-823.0,107.03,110.2,63577.0
2685.0,-142856.6498440723,562.0084864103264,7082.712150706199,31.702124387291125,-90.87307161413668,23237.0,0.779,472.31,-1323.0,92.79,92.48,63485.0
2864.0,-99086.67631829887,-1574.7698283814416,5880.14584634255,31.687527166402834,-90.41020806402024,19292.0,0.6948,428.04,-839.0,89.3,105.2,63380.0
3043.0,-59489.15788140917,-1090.9195714540465,5117.321545116263,31.694615720376174,-89.99174734644328,16789.0,0.6578,409.24,-479.0,74.3,123.14,63257.0
3222.0,-23114.66330066699,9133.534026274207,4681.3945605569525,31.787876294633634,-89.60752803116475,15359.0,0.4706,294.39,12.0,63.9,112.63,63144.0
3401.0,1226.484426970761,21058.51364781698,4692.05549708588,31.895353104188867,-89.34997843373958,15394.0,0.4142,259.05,489.0,78.9,154.1,62990.0
3580.0,24563.466306547067,25637.35071863875,5136.640362381871,31.936267790652494,-89.10266515864639,16852.0,0.6142,381.99,604.0,93.9,172.8,62817.0
3759.0,59527.494688745865,23254.188797539005,5685.750271543155,31.91354787181029,-88.73229586557234,18654.0,0.6578,406.27,1095.0,108.9,201.93,62615.0
3938.0,94677.7227582493,11220.101251897946,6681.679908617956,31.802957602697543,-88.36108327533954,21922.0,0.4578,279.08,1276.0,122.29,211.42,62404.0
4117.0,116211.55521595081,-2385.810267634126,7841.8485591703675,31.6786270423124,-88.13485135417028,25728.0,0.6578,394.78,779.0,107.29,164.45,62239.0
4296.0,150744.05797602664,-13132.45820426748,8550.43119083134,31.57798189481226,-87.7716146339802,28053.0,0.8151,484.4,279.0,92.29,157.13,62082.0
4475.0,195231.1115020363,-14908.663567328425,8804.526595244515,31.55531987289794,-87.30243161363441,28886.0,0.82,485.57,-63.0,77.74,138.37,61944.0
4654.0,238938.46152841233,-5407.878341060638,8747.489023836346,31.632471160365792,-86.83896147018403,28699.0,0.82,485.96,-58.0,62.74,139.3,61805.0
4833.0,278728.36914688954,15096.897675981822,8694.898115493246,31.807781743309544,-86.41297245880374,28527.0,0.82,486.32,-555.0,73.43,116.48,61688.0
5012.0,321795.61710901634,27915.242700058418,8190.351768063864,31.911655423046582,-85.95318250877028,26871.0,0.8113,484.58,-510.0,84.47,124.0,61564.0
5191.0,366347.23829387577,32224.934527959533,7726.206888849972,31.936945782201146,-85.47985248944369,25348.0,0.651,391.32,-11.0,99.47,117.15,61447.0
5370.0,401889.8521542987,26293.282090340326,7716.629517491613,31.871717483413622,-85.10594810690095,25317.0,0.451,271.14,485.0,114.47,152.31,61295.0
5549.0,424540.38992035907,15982.925973705447,8157.42586945838,31.770953258413353,-84.87079513503684,26763.0,0.651,389.01,370.0,129.47,135.94,61159.0
5728.0,452123.6460972506,-6734.470885513999,8493.725745513382,31.55646182801389,-84.5898011801248,27867.0,0.82,487.69,-42.0,138.3,143.13,61016.0
5906.0,482002.8830371191,-40272.38114280248,8455.438210280583,31.243327802559918,-84.29116411462783,27741.0,0.82,487.95,-153.0,123.3,138.48,60877.0
6085.0,519590.574600742,-64964.63771686447,8316.021362674335,31.005523395357788,-83.90912571094368,27284.0,0.7958,474.48,-653.0,115.46,110.22,60767.0
6264.0,559194.8676076985,-83822.29901776089,7722.089201834871,30.818023470519,-83.50464628927939,25335.0,0.805,483.9,-1153.0,100.46,99.43,60667.0
6443.0,603310.4118470041,-91968.0243652979,6673.540403549061,30.72303477771609,-83.04829770077387,21895.0,0.7777,474.13,-1653.0,92.51,84.72,60583.0
6622.0,647332.2918925929,-93899.2912646571,5170.3845601867915,30.682198383167982,-82.58987783895977,16963.0,0.6952,432.23,-2153.0,99.94,51.16,60532.0
6801.0,686973.4305273322,-100844.51878582331,3212.6418839226467,30.597401884039527,-82.18092569089113,10540.0,0.4972,316.77,-2000.0,102.02,24.83,60507.0
6980.0,715759.6434714729,-106975.66854938703,1394.294899640392,30.52528787862313,-81.88516839641242,4574.0,0.2993,194.87,-1500.0,96.4,29.14,60478.0
7159.0,733680.834525926,-108987.32377580472,30.480000000000437,30.49622000000002,-81.69996999999998,100.0,0.1014,67.08,-1000.0,90.79,221.0,60257.0
