ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-234873.8127285612,153959.33248395225,30.480000304436132,32.91570862353793,-97.02597843440847,100.0,0.3,198.38,2414.0,121.05,138.4,66162.0
78.0,-228133.2255343616,149901.14944438566,987.8411744030435,32.880620689454254,-96.9527976186198,3241.0,0.4734,309.62,2272.0,122.79,124.04,66038.0
156.0,-217759.8383190757,143218.81875879233,1888.9463678120478,32.8226108670256,-96.84018759012247,6197.0,0.4946,320.1,2085.0,122.79,118.64,65919.0
234.0,-207025.87571346902,136304.32461556196,2715.7621201268144,32.76247971116756,-96.72381813194957,8910.0,0.5151,330.14,1923.0,122.79,113.45,65805.0
312.0,-195947.02875374295,129168.18661586774,3478.4124996669684,32.700308620896045,-96.60387464494781,11412.0,0.5385,341.94,1797.0,122.78,108.98,65697.0
390.0,-184465.522420893,121774.18367409872,4191.087293632062,32.635771170691314,-96.47974844398212,13750.0,0.563,354.35,1693.0,122.77,105.06,65591.0
468.0,-172560.86780912042,114110.84740455361,4862.729732467261,32.568755012107374,-96.35123726992812,15954.0,0.5872,366.47,1593.0,122.75,101.31,65490.0
547.0,-160242.04465289204,106186.1659312098,5494.642894312846,32.499317288108784,-96.21845817976194,18027.0,0.6111,378.35,1496.0,122.73,97.72,65392.0
625.0,-147516.12518561218,98007.01355013186,6087.971676962419,32.427505417811155,-96.08150762348664,19974.0,0.6348,390.01,1401.0,122.7,94.3,65298.0
703.0,-134389.36671462908,89579.57646977906,6643.799393146822,32.35336071970476,-95.94047323230873,21797.0,0.6583,401.51,1309.0,122.67,91.08,65207.0
781.0,-120866.5710737715,80908.93644498398,7163.110772465365,32.27691471671301,-95.79542698752927,23501.0,0.6817,412.88,1219.0,122.63,88.04,65119.0
859.0,-106950.97954616576,71999.13409639946,7646.797197334982,32.19818965162061,-95.64642421321824,25088.0,0.7049,424.16,1132.0,122.59,85.22,65034.0
937.0,-92645.15019189808,62853.36230721125,8095.709146810293,32.11720007745936,-95.49351302419652,26561.0,0.728,435.37,1046.0,122.55,82.57,64951.0
1015.0,-77950.63162222497,53473.74717823717,8510.622699500742,32.033950882581244,-95.33673091669425,27922.0,0.7507,446.37,963.0,122.51,80.14,64871.0
1093.0,-62874.29810819074,43865.71516950646,8892.687468341554,31.94847616363162,-95.17617230313867,29175.0,0.7674,453.83,902.0,122.47,78.02,64793.0
1171.0,-47536.14068744741,34106.38212475731,9250.660631886765,31.86145016212722,-95.01313264610191,30350.0,0.7813,459.75,1041.0,122.43,80.18,64713.0
1249.0,-31998.070991910925,24235.755259340953,9663.674601613864,31.7732213962286,-94.84828234585932,31705.0,0.7926,463.63,926.0,122.38,76.54,64636.0
1327.0,-16316.375413464642,14289.761082996802,10031.092449319573,31.684105107057647,-94.68222732105049,32910.0,0.7848,456.64,426.0,122.35,63.72,64573.0
1405.0,-839.7458350089483,4488.683069640278,10200.186255240413,31.596077389576077,-94.51865634327028,33465.0,0.7736,448.98,-74.0,122.31,50.99,64522.0
1484.0,14405.747882300275,-5152.9152808445,10170.95601937583,31.509278641336028,-94.35783045037094,33369.0,0.7517,436.46,-574.0,122.28,37.94,64484.0
