ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-234873.81292242577,153959.33267790123,30.479999695145207,32.91570862524069,-97.02597843653353,100.0,0.2058,136.11,1620.0,121.05,150.77,66149.0
83.0,-229947.14999248757,150993.22638765216,713.6396261072412,32.89006720756822,-96.97248523248547,2341.0,0.2317,152.05,1727.0,106.05,148.79,66000.0
166.0,-223771.66897682333,149216.5881618012,1442.0241026852634,32.875344838676284,-96.9059422794507,4731.0,0.2572,167.34,1776.0,96.72,145.95,65855.0
249.0,-216744.04294952794,148388.1317996693,2190.863055375529,32.869276039628026,-96.8305213850205,7188.0,0.2603,167.88,1616.0,111.72,143.77,65711.0
332.0,-210140.36787908655,145757.09621811687,2872.2726368561666,32.846879188115466,-96.7592422048321,9423.0,0.2718,173.85,1542.0,126.72,140.93,65570.0
415.0,-204235.33322861703,141351.87887618583,3522.7304774620716,32.808366087215354,-96.695085511925,11558.0,0.2975,188.82,1558.0,141.72,136.36,65433.0
498.0,-199276.83807115347,135068.07784725563,4179.875503255308,32.75276460698292,-96.64070537010709,13714.0,0.3337,210.06,1602.0,156.72,130.34,65303.0
581.0,-195756.65052999364,126885.12643396476,4855.577805796689,32.67981678269998,-96.60136449791442,15930.0,0.3828,238.93,1655.0,171.72,122.99,65180.0
664.0,-194297.70586777836,116855.84487831015,5553.595643051824,32.589904463189114,-96.58370900465114,18220.0,0.4546,281.22,1691.0,186.11,114.1,65066.0
747.0,-195568.24044816085,104989.98001066103,6266.762090764393,32.48300968936534,-96.59481060451147,20560.0,0.6546,401.21,1333.0,171.11,98.48,64968.0
830.0,-192931.9749509447,88132.72526291445,6828.8808280239155,32.33191181366783,-96.56328631034475,22404.0,0.7523,457.71,833.0,156.11,91.5,64876.0
913.0,-185035.82674096822,70304.27230509596,7180.136529624967,32.172939977042184,-96.47580924172082,23557.0,0.7761,469.97,728.0,155.9,89.3,64787.0
996.0,-176856.87304878578,52022.98636813688,7486.968848598945,32.009877330176984,-96.38556348927442,24564.0,0.7828,472.07,732.0,155.74,87.99,64699.0
1079.0,-168592.1430584086,33682.85857450339,7795.57731574054,31.846231068970333,-96.29472897215955,25576.0,0.7891,473.86,735.0,155.49,86.62,64612.0
1162.0,-160215.27990396818,15310.563358142346,8105.34212118531,31.68224333187645,-96.20303493966398,26592.0,0.7948,475.25,647.0,155.61,83.21,64529.0
1245.0,-151849.19649723967,-3137.833279051714,8378.2727931431,31.51750096649289,-96.11177518480014,27488.0,0.7992,476.11,147.0,156.16,70.59,64458.0
1328.0,-143635.64154298863,-21728.81961006434,8440.340431672183,31.351389435590683,-96.0224311116474,27691.0,0.8005,476.43,-353.0,157.02,58.69,64400.0
