ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-234873.812824272,153959.33258174008,30.48000000050388,32.91570862439687,-97.02597843545813,100.0,0.3,198.38,2414.0,121.05,125.16,66175.0
71.0,-228774.57997532774,150287.27829289445,896.290573323322,32.883961074386214,-96.95975814519728,2941.0,0.4743,310.58,2278.0,117.46,112.43,66062.0
141.0,-218837.06714991338,145122.69996343314,1713.349982568891,32.83951622249883,-96.85215849822744,5621.0,0.4861,315.25,2139.0,117.63,108.59,65954.0
212.0,-208759.29317791128,139848.0829004888,2480.5664844711346,32.794016689736274,-96.74314167700501,8138.0,0.5019,322.6,1999.0,122.14,104.51,65849.0
282.0,-198896.85238517734,133652.9218190032,3197.7280985293987,32.74010957537854,-96.63634262431307,10491.0,0.5375,342.46,1797.0,137.14,99.26,65750.0
353.0,-190478.49905345347,124582.53895047927,3842.3796865374898,32.66002004993524,-96.5445165232421,12606.0,0.563,355.91,1687.0,152.14,95.87,65654.0
424.0,-184464.96630185453,113208.08415300983,4447.562184012949,32.55875815137439,-96.47806559050083,14592.0,0.6451,404.72,1227.0,167.14,88.87,65565.0
494.0,-181202.01101356006,98921.09896937423,4887.742457673098,32.430838036568424,-96.44052078563408,16036.0,0.7143,445.71,727.0,165.18,83.73,65482.0
565.0,-177068.20383047665,83296.27494021498,5148.565867103118,32.291013598581024,-96.39357551016828,16892.0,0.7253,451.07,692.0,160.06,82.68,65399.0
636.0,-171489.92904135233,67918.88037809214,5396.893032475866,32.153613152535804,-96.331484679359,17706.0,0.7319,453.7,696.0,156.32,81.9,65317.0
706.0,-164883.21983838166,52850.60468453526,5646.714038523092,32.01910869150573,-96.25873307633252,18526.0,0.7384,456.28,701.0,155.34,81.11,65236.0
777.0,-157980.29693697198,37812.96205356454,5898.0586074443845,31.884876973970574,-96.18306842508139,19351.0,0.7449,458.8,705.0,154.3,80.29,65156.0
