ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-223454.5733423195,-97875.52439826049,30.480000022754055,32.91570944674032,-97.0259641471403,100.0,0.1573,104.01,500.0,64.25,137.14,66163.0
78.0,-219716.9138309309,-96072.85985527604,227.90727087748738,32.93268293864899,-96.98636943354524,748.0,0.1602,105.67,475.0,49.25,135.84,66027.0
155.0,-216522.39927299498,-93320.49339924625,415.63387784630214,32.95807195199904,-96.95280479402506,1364.0,0.1629,107.27,570.0,34.25,137.39,65890.0
233.0,-214114.72988827608,-89784.63495196954,640.5261514107649,32.99033884641544,-96.92783918594888,2101.0,0.1664,109.26,670.0,19.25,138.61,65751.0
311.0,-212678.9700854828,-85673.73267438845,905.0352323943304,33.027578344104505,-96.91341225381976,2969.0,0.1706,111.71,772.0,4.27,139.5,65612.0
389.0,-212347.42415860514,-81237.26548005162,1209.8693172057453,33.06752515287555,-96.91089620951506,3969.0,0.1758,114.66,921.0,19.27,140.63,65471.0
466.0,-210841.95508887063,-76932.03038844684,1573.3838452523764,33.106523601614214,-96.89574774567978,5162.0,0.1822,118.35,924.0,34.27,139.89,65331.0
544.0,-208190.48713112262,-73041.3152382394,1938.151679095293,33.142017219093276,-96.8681848956294,6359.0,0.1889,122.19,927.0,49.27,139.02,65192.0
622.0,-204506.0299546868,-69869.25899182819,2303.9850853712123,33.17124218490267,-96.82934059578199,7559.0,0.1959,126.19,929.0,64.27,137.99,65054.0
700.0,-199982.1464896242,-67689.52070859897,2670.9610041783967,33.191691629652446,-96.78123059673096,8763.0,0.2033,130.36,932.0,79.27,136.84,64917.0
777.0,-194884.6657013709,-66723.93511083961,3039.159504974319,33.20131199211587,-96.72667116966049,9971.0,0.211,134.71,936.0,94.27,135.56,64782.0
855.0,-189537.87991078716,-67123.51123278374,3408.6638900636794,33.19867956056062,-96.6691332493724,11183.0,0.2202,139.98,935.0,109.27,133.65,64648.0
933.0,-184277.8990447913,-68962.8393392292,3777.7188813353714,33.18306151851345,-96.612237147734,12394.0,0.23,145.53,933.0,124.27,131.46,64516.0
1010.0,-179489.6807677919,-72225.94350678116,4146.277367501763,33.15453768705155,-96.56014577287473,13603.0,0.2659,167.46,1181.0,132.8,127.2,64389.0
1088.0,-174602.6615741976,-76751.39649835437,4612.728540462477,33.11465828601098,-96.50678413536441,15134.0,0.2731,171.02,1104.0,117.8,124.33,64265.0
1166.0,-168582.54750162349,-79925.46251628439,5048.680003808458,33.0870839318802,-96.4415650233698,16564.0,0.3191,198.67,1327.0,102.8,118.65,64146.0
1244.0,-160878.4543262329,-81675.8104657019,5572.670905327475,33.07252904996755,-96.35857347839612,18283.0,0.4494,277.97,1732.0,87.8,107.05,64039.0
1321.0,-149841.9463895638,-81251.85904475415,6256.567990866073,33.07793818742243,-96.24021719316441,20527.0,0.6494,398.11,1397.0,72.8,92.5,63947.0
1399.0,-134699.29693942456,-76564.46858944374,6808.218960882189,33.12209284726071,-96.07841438868101,22337.0,0.7471,454.69,897.0,57.8,85.96,63861.0
1477.0,-119353.65950415062,-66900.86033510549,7162.442664190422,33.21080585858826,-95.91492719634277,23499.0,0.7798,472.3,728.0,61.85,83.49,63777.0
1555.0,-102736.63876846302,-58008.34948005576,7449.935395325297,33.29249398635197,-95.73734166566511,24442.0,0.7864,474.49,731.0,63.4,82.33,63695.0
1632.0,-85807.24275590332,-49529.87983775462,7738.620426632048,33.37023083750356,-95.5560201879696,25389.0,0.7928,476.45,732.0,64.09,81.1,63614.0
1710.0,-68706.48385148314,-41223.36410566565,8027.764277818724,33.446168065653325,-95.3725145680138,26338.0,0.7987,478.11,731.0,64.38,79.81,63534.0
