ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-223454.57314881572,-97875.52420841054,30.480000298188745,32.91570944848704,-97.02596414511449,100.0,0.3,198.38,2414.0,64.25,103.94,66196.0
59.0,-218124.97361377964,-95305.0706645658,749.4711495133702,32.93990848647967,-96.96950068306995,2459.0,0.4639,304.26,2341.0,49.41,94.43,66102.0
117.0,-211203.32051438873,-89374.06145870614,1446.6962917901883,32.994605457623074,-96.8967269659501,4746.0,0.4748,308.91,2214.0,48.51,91.7,66010.0
176.0,-204267.6751396127,-83239.0628888376,2106.1125589058515,33.05109725951035,-96.82375957956557,6910.0,0.4876,314.79,2092.0,46.82,88.87,65921.0
235.0,-197383.37507043828,-76779.11466129913,2729.4176716547386,33.110459034243554,-96.7513213585145,8955.0,0.5213,334.05,1893.0,40.43,84.75,65836.0
293.0,-190879.90689213152,-69146.9135754141,3293.1776202679234,33.18025052140402,-96.68312495882753,10804.0,0.6017,382.94,1393.0,35.87,78.07,65758.0
352.0,-184132.2211580672,-59815.64953272126,3707.99353967172,33.265322934133046,-96.61254361140128,12165.0,0.6664,421.95,893.0,47.59,73.51,65685.0
410.0,-174751.02023893053,-51247.546248013205,3973.86542984574,33.34392974001833,-96.51333013999356,13038.0,0.6567,414.47,1048.0,62.59,73.79,65611.0
469.0,-163676.17424863632,-45505.348175007624,4286.15811809183,33.39731278643244,-96.39517485499941,14062.0,0.6044,379.95,1486.0,77.59,76.36,65535.0
528.0,-152521.26303806182,-43051.49767060658,4728.724223034357,33.42102959688318,-96.27544994287757,15514.0,0.6448,403.15,1269.0,92.59,73.35,65461.0
586.0,-140406.78804032013,-43600.27980627955,5106.672547233397,33.41775976598528,-96.14484646701271,16754.0,0.6984,434.52,923.0,93.02,70.03,65391.0
645.0,-127342.68804667839,-44289.30083372811,5381.53631910374,33.41320485907944,-96.00400273977876,17656.0,0.7315,453.56,696.0,94.75,68.05,65323.0
704.0,-113727.16282075667,-45421.6031807921,5588.925285205088,33.4045624635883,-95.85717744407788,18336.0,0.7369,455.71,700.0,93.03,67.51,65256.0
762.0,-100019.16262709344,-46147.37759944144,5797.362057477567,33.39941000078114,-95.70943122393517,19020.0,0.7424,457.83,703.0,90.65,66.94,65189.0
821.0,-86229.35353645295,-46303.5182557817,6006.864702028972,33.39921014392654,-95.56087669569243,19708.0,0.7478,459.89,707.0,89.77,66.38,65122.0
880.0,-72376.66474578221,-46247.73454005981,6217.452710522169,33.4007420129338,-95.41166299712046,20398.0,0.7531,461.91,711.0,74.77,65.81,65057.0
