ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-732476.5499401954,274584.9341656771,30.47999978771149,32.91568427341338,-97.02598253177653,100.0,0.1573,104.01,914.0,104.16,407.85,65892.0
223.0,-721026.152188112,271695.2098548731,1064.9984309711415,32.89711449353599,-96.90143483681382,3494.0,0.1803,117.82,1015.0,119.16,403.3,65489.0
446.0,-709352.1938059243,265180.4999314197,2214.404009837821,32.84611026701912,-96.77181557767003,7265.0,0.2786,179.6,1515.0,134.16,366.57,65122.0
669.0,-694784.6617401461,251032.03282407467,3929.851482561011,32.72837865649759,-96.60584918561834,12893.0,0.4786,302.2,1694.0,149.16,301.49,64821.0
891.0,-677265.7250196028,221685.77755232865,5847.745612439774,32.476044843669335,-96.39808981706621,19186.0,0.6786,418.2,1194.0,164.16,264.36,64556.0
1114.0,-664303.1011178442,175986.7003821761,7199.5978484586385,32.07422899581118,-96.22867476884511,23621.0,0.7778,470.87,694.0,170.66,237.34,64319.0
1337.0,-655588.1053129962,123008.02615396703,7985.408190600877,31.604530338542713,-96.10092408022577,26199.0,0.7943,475.75,194.0,163.84,197.62,64121.0
1560.0,-640429.3030109135,70701.3955276663,8205.176638879844,31.144174899467206,-95.9076075457223,26920.0,0.799,477.11,-0.0,160.07,182.92,63939.0
1783.0,-621788.0571977363,19277.83745847373,8205.176636761838,30.693180902901535,-95.68062434808877,26920.0,0.8,477.71,-0.0,145.07,183.01,63756.0
2006.0,-590433.0961148443,-25625.3685242063,8205.176634852904,30.30646325645665,-95.32756196238766,26920.0,0.801,478.31,72.0,130.07,187.49,63568.0
2229.0,-548496.0390046461,-60907.40646291175,8286.221878284707,30.009813687403362,-94.87281390655322,27186.0,0.8034,479.18,572.0,115.07,216.29,63352.0
2451.0,-498965.80181570724,-84081.88901126533,8933.309011002608,29.82326868261864,-94.3480410305864,29309.0,0.8132,480.64,72.0,100.07,177.79,63174.0
2674.0,-444743.2937224055,-93715.21379597808,9014.354257071604,29.757842374595345,-93.78242126764115,29575.0,0.8152,481.28,-212.0,86.72,159.54,63014.0
2897.0,-389564.6580149004,-90553.40287072095,8774.852443444934,29.805170263322143,-93.21234942439352,28789.0,0.8137,482.06,-500.0,87.12,145.61,62869.0
3120.0,-334152.47349803307,-87761.22108983599,8208.810549608954,29.846762136576203,-92.63921196536712,26932.0,0.8058,481.15,-500.0,87.13,153.38,62715.0
3343.0,-278848.7954599861,-84985.53483650785,7642.768655723013,29.885671872644085,-92.0667290212781,25075.0,0.7951,478.47,-500.0,88.08,160.65,62555.0
3566.0,-223817.38209911608,-83137.84672397278,7076.726761829477,29.913684084394056,-91.49643890948515,23218.0,0.6907,418.85,-500.0,81.38,131.51,62423.0
3788.0,-176164.45496207976,-75915.17160018036,6510.68486795755,29.986483433922874,-91.00329869181611,21361.0,0.4907,299.82,-500.0,66.38,87.18,62336.0
4011.0,-144557.52849213875,-62094.2058425532,5944.6429741007905,30.11494368419584,-90.67705579488226,19503.0,0.2907,178.95,-396.0,70.51,144.97,62191.0
4234.0,-125165.44024727309,-55231.39690410299,5496.666954867218,30.17882024850072,-90.47628065187091,18034.0,0.273,169.02,104.0,85.51,234.75,61956.0
4457.0,-105863.05355473074,-53716.08407864638,5614.732829376341,30.19429545733002,-90.27563789418964,18421.0,0.2759,170.58,500.0,100.51,289.37,61667.0
4680.0,-86713.75875052136,-57269.0901519457,6180.774723232661,30.16387397766785,-90.07610583696325,20278.0,0.2959,181.59,500.0,115.51,274.63,61392.0
4903.0,-68002.0973920872,-66198.61091370278,6746.816617119732,30.084771944137106,-89.88090077104388,22135.0,0.4076,248.29,500.0,130.51,198.89,61193.0
5126.0,-46447.07604264292,-84615.66894792338,7312.858510999797,29.920167365784533,-89.65606639351472,23992.0,0.6076,367.3,500.0,115.51,179.61,61014.0
5348.0,-8592.704293964627,-102680.4143476281,7878.900404871418,29.758567298893073,-89.26314833212977,25849.0,0.8076,484.45,462.0,103.56,214.59,60799.0
5571.0,45201.254672090385,-115656.78464042577,8402.096776776185,29.641059662164356,-88.70645855666604,27566.0,0.82,488.31,-38.0,104.2,179.82,60619.0
5794.0,99489.86443728274,-129391.21035435682,8359.251255176494,29.514330651459957,-88.1460451664424,27425.0,0.82,488.6,-36.0,104.47,180.58,60439.0
6017.0,153743.935707538,-143392.56131910006,8318.310143381235,29.38281677510108,-87.587454687447,27291.0,0.82,488.88,-35.0,104.54,181.25,60258.0
6240.0,208010.58649364964,-157469.84016669908,8279.07271464397,29.248251163536615,-87.03021818624211,27162.0,0.82,489.15,-33.0,104.53,181.95,60076.0
6463.0,262309.7218324266,-171541.0461762181,8241.371349949475,29.11138428046562,-86.47413689555778,27039.0,0.82,489.4,-32.0,104.66,182.57,59893.0
6686.0,316604.1701275946,-185744.41781309896,8205.064361130399,28.970998355538757,-85.91964637566313,26920.0,0.82,489.65,-31.0,104.48,183.17,59710.0
6908.0,370970.0350988592,-199783.19227717802,8170.030698571992,28.829757551221036,-85.36589756135548,26805.0,0.82,489.89,-30.0,103.96,183.75,59526.0
7131.0,425487.7650295874,-213331.49984304345,8136.165971778162,28.69056970191101,-84.8119336528936,26693.0,0.82,490.12,-29.0,102.55,184.32,59342.0
7354.0,480347.8079543072,-225538.9664973998,8103.379405267933,28.5609901038195,-84.25539157397418,26586.0,0.82,490.34,-529.0,96.67,157.0,59185.0
7577.0,536408.8820310449,-232094.4846218211,7504.550945065944,28.479292342160715,-83.68528035484648,24621.0,0.8055,485.63,-1029.0,90.0,136.08,59049.0
7800.0,592509.8546459271,-232094.48462146544,6339.680591275892,28.453915546494805,-83.11221550383651,20799.0,0.774,473.95,-1529.0,90.0,119.84,58929.0
8023.0,647432.1376322214,-232094.48462134058,4608.768344650007,28.42664296832113,-82.55147646860176,15121.0,0.7026,439.91,-1748.0,87.64,107.07,58822.0
8245.0,698406.7922229244,-229990.70130246668,2629.838718087449,28.418030728500018,-82.03001046638576,8628.0,0.5026,322.42,-1248.0,74.16,56.11,58766.0
8468.0,734241.7942772554,-219826.03598910593,1216.950982565829,28.488507644650607,-81.65779942415227,3993.0,0.3026,197.37,-748.0,89.16,37.4,58728.0
8691.0,756962.1282138325,-219494.46685133502,370.1051302327192,28.477896662399438,-81.42567152245263,1214.0,0.1405,92.55,-300.0,104.16,267.81,58461.0
8914.0,767264.5788950698,-222094.48462170886,30.479999940533055,28.44832999904955,-81.32230999905747,100.0,-0.0216,-14.26,148.0,119.16,410.65,58050.0
