ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-732476.5498406604,274584.93426509434,30.48000000000849,32.915684274367024,-97.02598253079093,100.0,0.2039,134.82,1596.0,104.16,354.1,65946.0
195.0,-719576.1382581629,271329.27178657823,1610.9568371127789,32.89475424321342,-96.88566652218827,5285.0,0.3031,196.84,2054.0,119.16,334.9,65611.0
390.0,-702639.5896295741,261877.7508916458,3644.7671813255897,32.8206892715992,-96.69768263933518,11958.0,0.464,294.04,1716.0,134.16,268.96,65342.0
585.0,-681747.536846254,241586.71417851184,5344.321658517315,32.651626757013005,-96.46001427086212,17534.0,0.664,411.9,1216.0,149.16,236.81,65105.0
780.0,-660750.756920708,206414.71812381284,6548.808818119805,32.34884323939851,-96.21188623150957,21486.0,0.7611,464.76,716.0,143.95,215.67,64890.0
975.0,-633460.8388289959,168917.33534242105,7258.228586062348,32.02812380583267,-95.89737206322913,23813.0,0.7777,470.41,729.0,128.95,208.91,64681.0
1169.0,-596963.804845777,139411.5362116128,7979.759932791941,31.78293336199079,-95.49286115014162,26180.0,0.7923,474.58,353.0,119.81,181.35,64499.0
1364.0,-555776.0566967474,115809.64093382061,8328.85038138738,31.591584506256584,-95.04444317043678,27326.0,0.7986,476.08,0.0,104.81,158.37,64341.0
1559.0,-509626.15768288146,103604.14994607461,8328.858357421956,31.50304354803758,-94.55151783373975,27326.0,0.7996,476.64,0.0,96.37,158.44,64182.0
1754.0,-462128.47459155606,98302.42721723151,8328.904652743677,31.47510958987726,-94.04855362157839,27326.0,0.8002,477.04,437.0,98.45,181.73,64001.0
1949.0,-414959.7419849991,91294.81769445377,8761.62979960786,31.42979169388111,-93.54865280680222,28746.0,0.807,478.15,0.0,83.45,153.43,63847.0
2144.0,-367328.9134150725,96763.39237768648,8761.648590894152,31.49475930996618,-93.04898110341374,28746.0,0.808,478.77,0.0,79.96,153.51,63694.0
2339.0,-320058.0114441842,105134.97654987771,8761.66140831252,31.583815506410815,-92.55336772219023,28746.0,0.8091,479.39,-87.0,94.96,148.94,63545.0
2534.0,-272140.41774170974,100978.85249360577,8675.860298122487,31.558567080674507,-92.04655031815196,28464.0,0.8091,479.97,103.0,109.96,160.18,63385.0
2729.0,-226936.14104972698,84564.13783864913,8777.521466436654,31.420630075562304,-91.5658389457296,28798.0,0.8113,480.62,-397.0,124.96,132.4,63252.0
2924.0,-187331.5187651131,56876.83562254593,8384.693137823144,31.178682392737297,-91.14336009636581,27509.0,0.8067,480.52,-500.0,131.58,131.72,63121.0
3119.0,-151169.33936070572,24790.529734742664,7889.707444627297,30.895357940570943,-90.75849000699708,25885.0,0.7985,478.86,-500.0,145.91,137.45,62983.0
3313.0,-124168.12776756323,-15106.707880277561,7394.677008958055,30.539727105435468,-90.47069629623168,24261.0,0.6878,415.29,-252.0,160.91,125.75,62857.0
3508.0,-110526.36820617106,-54523.51016497753,7145.239765595539,30.186616324249297,-90.32407091959705,23442.0,0.4878,295.53,197.0,150.52,136.17,62721.0
3703.0,-95960.92837376,-80283.8003751427,7340.591356162677,29.956213215848695,-90.17018887161404,24083.0,0.3667,221.55,165.0,135.83,170.06,62551.0
3898.0,-80498.32303962935,-96199.3076654387,7503.631336650935,29.81421552059399,-90.00848842478163,24618.0,0.5667,341.64,165.0,120.94,132.14,62419.0
4093.0,-51150.66799686479,-113794.15485842261,7667.047741269919,29.657575135537268,-89.70346656571482,25154.0,0.7667,461.19,294.0,106.3,173.46,62246.0
4288.0,-6854.965723826805,-126748.1163636184,7958.072877692696,29.54213241174892,-89.24499244044456,26109.0,0.8039,481.68,-205.0,101.15,152.94,62093.0
4483.0,40596.650353241275,-136102.5363880386,7754.844494309871,29.457351167587017,-88.75487355249403,25442.0,0.6754,405.81,143.0,86.16,142.35,61950.0
4678.0,81156.53904916202,-133379.08564186227,7896.811551875424,29.479823873286435,-88.3357892795313,25908.0,0.7206,432.1,202.0,73.18,153.4,61797.0
4873.0,122572.52967429251,-120859.60280905473,8097.045635139262,29.588950691543328,-87.90656025110505,26565.0,0.7846,469.19,154.0,82.14,163.37,61634.0
5068.0,169126.83088815524,-114435.87632900855,8249.735595907161,29.641143284735676,-87.42417075025087,27066.0,0.8056,480.74,105.0,90.35,163.87,61470.0
5263.0,217294.5242360071,-114729.72879473686,8354.021644718356,29.630868028725846,-86.92594940002911,27408.0,0.8114,483.54,58.0,95.62,161.19,61308.0
5457.0,265526.1876009888,-119476.30701605164,8411.49812127117,29.57865730323931,-86.4282811715561,27597.0,0.8146,485.03,32.0,99.35,159.62,61149.0
5652.0,313503.7280062408,-127371.88619556368,8443.141586090202,29.49632911181333,-85.93468376162161,27701.0,0.8181,486.9,25.0,102.68,159.55,60989.0
5847.0,361125.83087807,-138088.88077081976,8468.149914698992,29.386914106541116,-85.44651252902247,27783.0,0.8195,487.56,278.0,106.35,171.93,60817.0
6042.0,407944.7633150387,-151825.26058701013,8743.711069193509,29.248855353971546,-84.96881183660051,28687.0,0.8198,485.86,-14.0,109.13,152.78,60665.0
6237.0,453977.2970143087,-167788.63935541932,8729.397214315437,29.08938837408956,-84.50142140082352,28640.0,0.8198,485.99,-500.0,111.75,128.35,60536.0
6432.0,499393.0306226855,-185907.06604321685,8234.37943623034,28.909210553003685,-84.04279201089857,27016.0,0.8177,488.07,-1000.0,112.24,111.07,60425.0
6627.0,544989.1278185545,-204556.2401089187,7244.343717010471,28.722647547078616,-83.58417077421129,23768.0,0.7944,480.6,-1500.0,112.21,95.9,60329.0
6822.0,590024.7477082824,-222948.52694203894,5759.292743278011,28.53711783114108,-83.13277993199134,18895.0,0.7544,465.47,-2000.0,101.17,82.86,60246.0
7017.0,636355.5519337623,-232094.44537818333,3779.2393533429013,28.432336858097162,-82.66454086227215,12399.0,0.6929,438.39,-1619.0,87.33,112.87,60134.0
7212.0,680667.4177477971,-230028.13104264642,2176.1794786154887,28.427489145902182,-82.21105196763881,7140.0,0.6515,420.26,-1119.0,74.16,153.03,59981.0
7407.0,721458.6585058719,-218457.8930281385,1068.0964256066586,28.50822075307624,-81.78742122968818,3504.0,0.4515,295.05,-619.0,89.16,85.97,59895.0
7601.0,751138.6784807399,-218024.80907631162,454.93965201663224,28.494574415795768,-81.48412216484975,1493.0,0.2515,165.52,-429.0,104.16,66.41,59828.0
7796.0,767264.578796106,-222094.48452240258,30.480000000000075,28.448329999999302,-81.32230999999926,100.0,0.0515,34.07,-238.0,119.16,359.16,59469.0
