ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328987.01054821664,-113310.64207818724,30.48000030434695,32.91570449896858,-97.02596292950852,100.0,0.3,198.38,2414.0,67.95,164.38,66136.0
93.0,-320334.174097766,-109806.71146132618,1167.5829359177187,32.94980194612295,-96.93455577136933,3831.0,0.4787,312.46,2228.0,69.61,145.95,65990.0
185.0,-306480.7759987521,-104658.07487420527,2217.3406015154983,33.000110105069105,-96.78790832851327,7275.0,0.5039,324.86,2013.0,69.58,138.33,65851.0
278.0,-292065.179949122,-99291.5139117626,3165.8648729890674,33.05235862188452,-96.63513532355765,10387.0,0.5303,338.05,1831.0,69.52,131.2,65720.0
371.0,-277057.6582164878,-93686.42212928887,4028.4967362442667,33.1067180613905,-96.47590256046571,13217.0,0.5597,353.01,1706.0,69.44,125.62,65595.0
464.0,-261385.60009879482,-87808.08988404645,4832.4214302318005,33.1634935960271,-96.30941633740518,15854.0,0.5885,367.44,1587.0,69.36,120.32,65474.0
556.0,-245073.86008442548,-81662.95021635645,5580.240943151427,33.22259285980978,-96.135913518935,18308.0,0.617,381.59,1472.0,69.28,115.3,65359.0
649.0,-228134.5705030257,-75255.34866391074,6273.645583367785,33.28394511100528,-95.95549471030982,20583.0,0.6454,395.54,1360.0,69.22,110.57,65248.0
742.0,-210575.74033472373,-68592.9765716331,6914.180387225095,33.34744979762034,-95.76821492343355,22684.0,0.6732,409.11,1252.0,69.19,106.16,65142.0
835.0,-192410.6454624678,-61690.17858945916,7503.901423137831,33.41294482034386,-95.57418423550789,24619.0,0.7009,422.6,1147.0,69.19,102.08,65040.0
927.0,-173640.21856625925,-54556.22711804721,8044.038745382717,33.48031530286274,-95.37338123567837,26391.0,0.7287,436.1,1043.0,69.21,98.29,64942.0
1020.0,-154260.22140514915,-47198.47026105216,8535.515748613207,33.5494632099807,-95.16572891415728,28004.0,0.7549,448.73,948.0,69.25,94.93,64847.0
1113.0,-134307.68553152579,-39638.07274556901,8981.945605147235,33.62015943049603,-94.95159339902241,29468.0,0.7722,456.12,884.0,69.29,92.04,64755.0
1206.0,-114017.156424712,-31965.33754070224,9398.533608781443,33.69153337289319,-94.73346905309324,30835.0,0.7851,460.99,1007.0,69.33,93.85,64661.0
1298.0,-93514.42707107199,-24229.60157921541,9872.830571793977,33.763109440646325,-94.51269470020546,32391.0,0.7899,460.68,913.0,69.38,89.5,64571.0
1391.0,-73012.76152389996,-16513.45118832746,10303.08275178836,33.83411629030774,-94.29156250891288,33803.0,0.7896,457.6,538.0,69.42,77.82,64494.0
1484.0,-52613.648679738624,-8853.22595177664,10556.709616694554,33.90422038540705,-94.07117179482245,34635.0,0.7734,446.53,38.0,69.48,62.37,64431.0
1577.0,-32664.321779372196,-1385.9681324478654,10574.77768082509,33.972182764708165,-93.85529005650396,34694.0,0.7715,445.34,-11.0,69.56,60.8,64370.0
1669.0,-12754.2830066384,6035.343440170012,10569.66679214787,34.039354553616484,-93.63948988469177,34677.0,0.7752,447.46,10.0,69.65,61.54,64309.0
1762.0,7261.413826517127,13458.79669526884,10574.285067607661,34.10616768928337,-93.42220107054513,34693.0,0.7764,448.18,85.0,69.77,63.63,64245.0
1855.0,27319.16758527515,20850.16363290403,10614.530854069699,34.17230836904523,-93.20411394068572,34825.0,0.7692,443.73,-102.0,69.91,57.86,64187.0
1948.0,47208.140760196366,28126.28050353036,10566.60167397798,34.23703449738403,-92.98752835662276,34667.0,0.7615,439.59,-602.0,70.04,43.55,64144.0
2040.0,66960.71433324025,35298.94047792793,10283.113693123103,34.30045825389286,-92.77210368864958,33737.0,0.7223,418.71,-1074.0,70.18,28.62,64115.0
2133.0,85817.7235758155,42093.56510251731,9777.258332089474,34.3601795989083,-92.56614883825412,32078.0,0.6855,400.34,-1194.0,70.31,23.9,64091.0
2226.0,103866.11736673891,48552.55403945905,9214.860103507102,34.416618950921915,-92.36875689179102,30232.0,0.6532,384.53,-1249.0,70.41,21.18,64070.0
2318.0,121213.60631168175,54725.25134629535,8626.328832573914,34.47024893482083,-92.1787852714393,28302.0,0.6231,369.9,-1276.0,70.5,19.29,64051.0
2411.0,137909.38051938722,60637.82517408252,8025.024890481203,34.52133293528142,-91.99572523617714,26329.0,0.5953,356.36,-1288.0,70.56,17.85,64033.0
2504.0,153998.79157048956,66315.76781098332,7418.416768590311,34.57012451969677,-91.81910542267417,24339.0,0.5698,343.92,-1290.0,70.61,16.75,64016.0
2597.0,169528.87670134232,71782.53240684209,6810.792281338195,34.61685482350009,-91.64843227464183,22345.0,0.5458,332.17,-1285.0,70.65,15.86,64000.0
2689.0,184530.48123696996,77051.68840635549,6205.245974360176,34.661665309808015,-91.48338760895025,20358.0,0.5235,321.16,-1277.0,70.69,15.1,63985.0
2782.0,199036.71953565002,82134.98673798137,5603.771588032887,34.70467810940752,-91.32362637824698,18385.0,0.503,310.99,-1266.0,70.74,14.47,63971.0
2875.0,213085.74352505093,87044.57464741528,5007.417618444263,34.74601534022242,-91.16874607307965,16429.0,0.4839,301.46,-1253.0,70.8,13.94,63957.0
2968.0,226707.50069466038,91788.48157149988,4417.023032500814,34.785761233018725,-91.0184328754461,14492.0,0.4658,292.35,-1239.0,70.88,13.45,63943.0
3060.0,239922.6673511117,96369.33685824357,3833.533203962347,34.823951542698346,-90.87247437275576,12577.0,0.4491,283.92,-1224.0,70.98,13.05,63930.0
3153.0,252762.60825762583,100795.87687130523,3257.0128242800256,34.86067278694254,-90.73053816001187,10686.0,0.4335,276.01,-1209.0,71.08,13.09,63917.0
3246.0,265250.8292730096,105077.36945702737,2687.5413759103635,34.89601630502791,-90.59237623832193,8817.0,0.4189,268.59,-1194.0,71.17,13.5,63904.0
3339.0,277408.55023259745,109222.66715518026,2125.1509798452557,34.93006881798793,-90.45776444450777,6972.0,0.4052,261.52,-1178.0,71.26,13.91,63890.0
3431.0,289251.06603214977,113240.1487929436,1570.046834331276,34.962913129739064,-90.32654253548604,5151.0,0.3925,254.96,-1164.0,71.32,14.31,63876.0
3524.0,300799.70104475296,117143.92970916092,1021.7964668599585,34.99468083074183,-90.19848100883213,3352.0,0.3804,248.72,-1149.0,71.35,14.69,63861.0
3617.0,312066.41501975694,120945.5473470455,480.3764886329665,35.02548195424033,-90.07345270781246,1576.0,0.3,197.37,-955.0,67.95,15.63,63845.0
3710.0,320806.59330028604,124484.8466794177,30.47999969613177,35.05458999913318,-89.97617000113617,100.0,0.2196,145.2,-761.0,64.55,17.84,63827.0
