ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328987.0107481369,-113310.64227773774,30.479999709010343,32.91570449711454,-97.02596293157677,100.0,0.1573,104.01,500.0,67.95,193.28,66107.0
110.0,-323568.5559718678,-111116.46109945395,308.7343506018096,32.93706427419849,-96.96873149014158,1013.0,0.1614,106.36,433.0,52.95,189.39,65917.0
219.0,-318794.82519914804,-107513.27773558977,549.8460721775522,32.97086604874506,-96.91887318595484,1804.0,0.1649,108.4,543.0,37.95,192.15,65725.0
329.0,-315048.72673747316,-102710.67076009543,852.1546188313948,33.01512351738239,-96.88040767632428,2796.0,0.1696,111.11,692.0,47.66,195.05,65530.0
438.0,-310439.41350836924,-98510.4986730462,1237.276448402575,33.054207479455926,-96.83244035014609,4059.0,0.176,114.78,904.0,62.66,197.88,65332.0
548.0,-304727.48556755064,-95557.1863068052,1740.2980258171958,33.08238473724219,-96.77218091794846,5710.0,0.185,119.92,925.0,77.66,196.63,65136.0
657.0,-298164.53346998553,-94121.32208047573,2255.1888456066076,33.0971355400552,-96.7022496242553,7399.0,0.1947,125.47,929.0,92.66,194.71,64941.0
767.0,-291141.87194454996,-94447.47752668653,2772.303882957799,33.09613875996614,-96.62679338819247,9095.0,0.2051,131.34,934.0,107.66,192.43,64748.0
876.0,-284128.03917049995,-96680.36082224298,3291.8667922643153,33.07795880628143,-96.55083416194788,10800.0,0.2169,138.06,935.0,122.66,189.28,64559.0
986.0,-277612.85082344397,-100856.47188695113,3812.368120540933,33.0421390721486,-96.47965898265514,12508.0,0.2306,145.84,934.0,107.66,185.05,64374.0
1095.0,-269821.8349362936,-103336.77470993345,4331.886432389927,33.02183944807606,-96.39537189966236,14212.0,0.2874,180.59,1312.0,92.66,175.79,64198.0
1205.0,-259727.7737695228,-103805.57603423992,5061.765280413189,33.02012037504794,-96.2870143397556,16607.0,0.4343,270.36,1812.0,77.66,155.82,64043.0
1315.0,-244971.93432773673,-100577.24499207326,6069.898484816957,33.05261213653952,-96.12968025548908,19914.0,0.6343,389.77,1345.0,62.66,128.76,63914.0
1424.0,-225566.66819214102,-90543.8879465722,6818.370977448443,33.147064594857085,-95.92404150665311,22370.0,0.7551,459.44,845.0,64.24,120.6,63793.0
1534.0,-202324.37713828232,-79327.47021170377,7288.589113675838,33.252549900179716,-95.67697985312456,23913.0,0.7829,473.37,730.0,67.97,116.97,63676.0
1643.0,-177666.07012026847,-69348.33514369726,7694.632583189133,33.34666047228293,-95.41383399984745,25245.0,0.792,476.25,732.0,68.75,114.56,63562.0
1753.0,-152723.22102499512,-59649.719506963746,8102.1041571555525,33.43773382604737,-95.14700624021638,26582.0,0.8003,478.58,730.0,68.93,111.98,63450.0
1862.0,-127628.44584034206,-49983.17597905361,8508.458492298412,33.52796447335048,-94.87797605728116,27915.0,0.8075,480.16,557.0,68.97,104.45,63345.0
1972.0,-102426.18355479451,-40296.03021110869,8818.625017330241,33.61780785855292,-94.60722729147271,28932.0,0.8121,480.81,67.0,68.98,88.04,63257.0
2081.0,-77138.43020935153,-30580.161308667175,8855.637819541966,33.707324597106506,-94.33499357118893,29054.0,0.8131,481.16,23.0,69.03,86.51,63171.0
2191.0,-51820.20435970159,-20876.98838149305,8868.62343127705,33.79613018436533,-94.06186313170609,29097.0,0.8139,481.5,27.0,69.04,86.56,63084.0
2301.0,-26482.686898230084,-11170.667882194683,8883.39204148062,33.88436136577236,-93.78795838008075,29145.0,0.8146,481.85,-30.0,69.06,84.8,62999.0
2410.0,-1118.2407707971481,-1463.340670878114,8866.666694202959,33.97199424523134,-93.51319639831732,29090.0,0.815,482.19,-39.0,68.95,84.67,62915.0
2520.0,24247.14370735407,8298.690777478176,8844.823577536348,34.05950653211661,-93.23785751127005,29018.0,0.8153,482.53,8.0,68.91,86.24,62828.0
2629.0,49618.35254365495,18084.321642869458,8849.067384641206,34.14661546419753,-92.96188671040707,29032.0,0.816,482.87,-5.0,68.89,85.85,62743.0
2739.0,75004.96916378915,27887.08488262782,8846.421779580542,34.233258494502756,-92.68517908307422,29024.0,0.8165,483.21,-12.0,68.87,85.69,62657.0
2848.0,100407.48421519021,37703.31681107815,8839.778859469889,34.319398192833596,-92.407728744692,29002.0,0.817,483.54,11.0,68.82,86.44,62570.0
2958.0,125816.6963876489,47546.996540353415,8845.82974973861,34.40515688382296,-92.12963332847688,29022.0,0.8176,483.87,-63.0,68.81,84.25,62486.0
3067.0,151248.0095098656,57408.34578971047,8810.662356366669,34.49044056553201,-91.85072500644823,28906.0,0.8177,484.16,-563.0,68.79,69.84,62416.0
