ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328987.0106482915,-113310.64217822152,30.480000000015185,32.915704498039204,-97.02596293054378,100.0,0.243,160.7,2011.0,67.95,169.18,66131.0
94.0,-321884.5758946384,-110434.5402693125,989.601130592976,32.9436972970986,-96.95093913784855,3247.0,0.2448,160.1,1779.0,55.57,167.01,65964.0
188.0,-315574.85826139344,-106108.75562514408,1838.3176753788628,32.98443758114795,-96.88486472150947,6031.0,0.4198,271.87,1662.0,42.56,132.97,65831.0
282.0,-306748.2666726333,-96497.99841499822,2631.281444424327,33.07335402473497,-96.79353933775182,8633.0,0.6198,397.63,1162.0,34.49,125.5,65705.0
376.0,-295911.03528332344,-80724.21411336995,3185.7185571086306,33.218144713147396,-96.68247009943589,10452.0,0.6737,429.35,662.0,49.49,117.56,65588.0
470.0,-280172.91594644985,-67278.11171211961,3501.636763044152,33.34322603737768,-96.51756640460108,11488.0,0.5104,324.0,1162.0,64.49,110.76,65477.0
563.0,-266103.3093019981,-60564.411476284426,4056.0814695902686,33.40717302543386,-96.36816515500654,13307.0,0.3104,195.69,1496.0,79.49,150.23,65327.0
657.0,-256875.78783601485,-58852.6205112298,4769.897044015539,33.42482732415797,-96.26928600045608,15649.0,0.3498,218.6,1530.0,94.49,142.48,65184.0
751.0,-246421.60750494295,-59673.64994077805,5500.015902537644,33.41992317348687,-96.1564505086712,18045.0,0.5498,340.39,1208.0,88.93,107.03,65077.0
845.0,-230051.46295280562,-59368.9949818276,6076.457190497878,33.42633075702181,-95.98019849215862,19936.0,0.7498,460.75,708.0,98.59,105.98,64971.0
939.0,-208093.65646157964,-62687.11290802619,6414.371851425979,33.401028775349204,-95.74287611612449,21045.0,0.7583,463.92,714.0,93.84,104.48,64867.0
1033.0,-185784.67627584457,-64185.61145170748,6755.148386574779,33.391688826890814,-95.5022917318683,22163.0,0.7353,447.77,938.0,79.89,104.7,64762.0
1127.0,-164556.11338464098,-60402.2004559787,7202.550395794939,33.429201693993015,-95.27436921461224,23630.0,0.6264,379.2,1234.0,64.89,103.73,64658.0
