ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-177087.50261225138,-662995.2955989015,30.48000030376005,32.915712179709544,-97.02593218881537,100.0,0.3,198.38,2414.0,12.68,296.89,66003.0
167.0,-173405.28781735804,-646634.2388840519,2084.181015642956,33.06345797256184,-96.98982166637096,6838.0,0.5,322.87,2043.0,14.83,251.76,65751.0
335.0,-166374.0754542765,-620071.0527429985,3822.3238294884754,33.30348917330535,-96.91962794287679,12540.0,0.5605,354.43,1699.0,14.81,227.95,65523.0
502.0,-158648.2755568375,-590843.6453408066,5267.842136030721,33.567547376012,-96.84206092083633,17283.0,0.6138,381.13,1481.0,14.77,210.81,65313.0
670.0,-150352.0178969386,-559368.8101791516,6528.247523743243,33.85185219241767,-96.75825282534541,21418.0,0.666,406.83,1276.0,14.71,195.45,65117.0
837.0,-141521.07130278216,-525722.92717156,7614.267616847746,34.15569904106122,-96.66845299296386,24981.0,0.7176,432.02,1081.0,14.63,182.04,64935.0
1005.0,-132181.4116689551,-489941.6332500243,8533.858073643425,34.47875095908996,-96.57280690434088,27998.0,0.7646,454.47,909.0,14.53,170.8,64764.0
1172.0,-122412.67107860636,-452246.16590261366,9307.546566248986,34.818994944044555,-96.47201286475845,30537.0,0.7907,464.91,997.0,14.41,170.41,64594.0
1340.0,-112505.72657330464,-413691.2372216924,10155.902190273646,35.16690007969138,-96.36898633120957,33320.0,0.7885,457.94,497.0,14.29,139.55,64454.0
1507.0,-102800.06384378669,-375572.84245251934,10578.819330909515,35.51077022364301,-96.26724166240561,34707.0,0.769,443.87,-3.0,14.15,110.0,64344.0
1675.0,-93452.00836291544,-338484.08420069976,10576.297988212655,35.84526004865041,-96.16846559963867,34699.0,0.7742,446.88,18.0,14.0,111.4,64233.0
1842.0,-84137.29316589159,-301125.3354497287,10591.408387604712,36.18209363187341,-96.06925597155444,34749.0,0.775,447.25,22.0,13.86,111.43,64122.0
