ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-177087.50272084447,-662995.2957974123,30.479999695201805,32.91571217790544,-97.02593218993614,100.0,0.1573,104.01,914.0,12.68,333.82,65966.0
182.0,-174962.90730476985,-653555.154974833,877.2168730481994,33.00096103559223,-97.0051114313478,2878.0,0.2056,134.67,1404.0,11.59,328.63,65638.0
365.0,-172456.03454043934,-641335.1366657673,2177.7631892294166,33.111265987627064,-96.98070831321272,7145.0,0.2983,192.38,1904.0,356.59,310.25,65327.0
547.0,-173512.36147008833,-623591.3032638024,3941.6057860497235,33.27060755580599,-96.99559270311451,12932.0,0.4983,314.59,1473.0,341.59,232.28,65095.0
730.0,-182744.28614178166,-595850.293042091,5306.329005482446,33.51833543479165,-97.10063085817659,17409.0,0.6983,433.35,973.0,356.59,216.85,64878.0
912.0,-185146.19352823214,-555503.8402543718,6207.755943576476,33.8806036657101,-97.13532159385595,20367.0,0.7537,462.3,473.0,357.43,193.2,64685.0
1094.0,-187087.50280953382,-512294.43147136946,6645.886600440463,34.26868512873941,-97.16601428905564,21804.0,0.7648,466.43,-27.0,360.0,163.99,64521.0
1277.0,-187087.5028098866,-468519.59714929276,6620.720976224275,34.662219218867605,-97.17599155680317,21722.0,0.7648,466.57,112.0,0.0,171.32,64350.0
1459.0,-187087.50280636063,-424769.27839790407,6724.6691187217875,35.05553097857904,-97.18612294990066,22063.0,0.5648,344.08,612.0,0.0,161.12,64189.0
1642.0,-187087.5027881651,-392609.7708447254,7291.913541859318,35.34464104271196,-97.19367394336044,23924.0,0.4096,247.68,1112.0,360.0,230.51,63958.0
1824.0,-187087.50280974107,-369554.5453006612,8322.454244556044,35.55190405168337,-97.19914219217644,27305.0,0.6096,363.44,612.0,6.29,155.95,63802.0
2006.0,-183363.70314434505,-335795.533078627,8889.698667882474,35.85612892091228,-97.16594304977566,29166.0,0.8096,478.85,112.0,21.29,147.82,63654.0
2189.0,-167057.65018063702,-293960.98709568963,8993.646811639059,36.235296086439625,-96.99421011257428,29507.0,0.8115,479.28,-74.0,30.76,137.37,63517.0
2371.0,-144047.27834749603,-255294.86444619886,8925.471960353643,36.58680583536384,-96.74512909297609,29283.0,0.812,480.02,-13.0,30.79,141.31,63376.0
2554.0,-120985.93303699438,-216599.86835100222,8913.502702896998,36.93805796758624,-96.49319987063569,29244.0,0.8129,480.63,-92.0,31.03,137.59,63238.0
2736.0,-97725.16223409645,-177929.9792670039,8827.908056878245,37.288567763897596,-96.23667979975029,28963.0,0.813,481.25,-215.0,31.42,132.55,63105.0
2918.0,-74152.66024477281,-139339.204688484,8628.51445921157,37.63783185409251,-95.97420990717033,28309.0,0.8113,481.62,-715.0,31.55,110.05,62995.0
3101.0,-50399.72798738496,-100652.54004195958,7965.82458269418,37.987380073446836,-95.70720785337991,26135.0,0.8006,479.66,-1215.0,31.84,92.42,62903.0
3283.0,-26480.166614720045,-62134.0623055788,6839.838425551194,38.33480985910693,-95.43573168465724,22440.0,0.7757,471.87,-800.0,33.86,123.96,62779.0
3466.0,-1691.6676248508293,-25190.26968158575,6098.23470860052,38.66744680118755,-95.15162410188019,20007.0,0.6815,418.65,-300.0,35.17,129.32,62650.0
3648.0,20979.143674363942,6978.44404270291,5819.927272489075,38.956497522596585,-94.8895158900064,19094.0,0.4815,296.87,200.0,20.17,126.93,62523.0
3830.0,30574.426934374227,33093.99927426436,6004.916117295108,39.191075668130274,-94.77736986856435,19701.0,0.2942,180.94,700.0,5.17,248.38,62274.0
4013.0,32097.993937421004,49919.25035178406,6653.201242937169,39.3423321897576,-94.7588884917361,21828.0,0.4148,252.95,1200.0,350.17,222.46,62052.0
4195.0,28081.928057829453,73107.4341048076,7764.782621468188,39.55100549839557,-94.8046133355703,25475.0,0.6148,369.34,700.0,335.17,159.33,61893.0
