ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-177087.50271572513,-662995.2956986434,30.480000000101622,32.915712178794344,-97.02593218990144,100.0,0.2663,176.08,2181.0,12.68,306.58,65993.0
171.0,-173739.64511418273,-648119.8758608277,1930.0661883350003,33.05004259588602,-96.99310556360388,6332.0,0.4663,301.65,1681.0,357.68,240.57,65753.0
343.0,-174804.0558589627,-621805.7168061587,3394.141814681758,33.286432397541745,-97.00982427269211,11136.0,0.629,399.84,1181.0,9.96,222.71,65530.0
514.0,-168745.46492567303,-587302.7625244866,4422.706651619879,33.59769389335326,-96.95156788564421,14510.0,0.7064,443.35,681.0,24.96,206.09,65324.0
686.0,-152306.86719084857,-551984.7413076347,5015.760680202017,33.91793923606983,-96.7807299165165,16456.0,0.7223,449.93,625.0,33.86,198.76,65125.0
857.0,-130271.10470365746,-519147.6369064156,5559.764196502852,34.21640167411995,-96.54737560638416,18241.0,0.7367,455.74,230.0,18.86,175.85,64949.0
1029.0,-117290.55912276435,-481156.91349681036,5760.218560124467,34.55967444153443,-96.41178604187472,18898.0,0.7326,452.02,730.0,3.86,194.61,64755.0
1200.0,-114615.09605681401,-441546.1077276252,6396.177912352072,34.91617732227118,-96.38819217336868,20985.0,0.676,413.63,1230.0,348.86,199.15,64556.0
1372.0,-121608.69987660728,-406017.2473695176,7467.640997866275,35.23477951408705,-96.47022061941095,24500.0,0.7833,472.5,731.0,333.86,181.78,64374.0
1543.0,-139886.06399021955,-368767.5918623506,8104.777920919007,35.56718052587618,-96.67789150248773,26590.0,0.6454,385.92,516.0,344.14,144.01,64230.0
1715.0,-149156.59620799875,-336126.4128669417,8554.394970263285,35.85923508134469,-96.78655159084208,28066.0,0.8031,477.24,16.0,359.14,137.83,64092.0
1886.0,-149784.8789949284,-294039.4137544922,8568.504969800875,36.23753940252523,-96.80170970282258,28112.0,0.8042,477.77,-4.0,14.14,136.79,63955.0
2058.0,-139486.11066655608,-253173.37120571153,8564.813693700198,36.60658250857263,-96.69445746861716,28100.0,0.805,478.29,-445.0,22.72,115.91,63839.0
2229.0,-123147.254224588,-214155.6448502824,8176.809300427449,36.959747239156165,-96.51791662498455,26827.0,0.8,477.89,55.0,20.42,143.71,63696.0
2400.0,-108441.81015580973,-174665.5615411312,8224.311870701284,37.316705018403,-96.35827647713447,26983.0,0.8016,478.51,448.0,35.42,161.43,63534.0
2572.0,-84044.20937223853,-140365.8080164196,8614.505636544265,37.627732291654375,-96.08641063330147,28263.0,0.6238,370.36,-52.0,25.79,104.61,63430.0
2743.0,-69824.44516402691,-110943.19921106292,8569.1917801472,37.89353446057775,-95.92782817063537,28114.0,0.8083,480.23,-552.0,22.38,111.31,63318.0
2915.0,-53639.86232575676,-71646.6306723414,8088.368361602563,38.248039351313246,-95.74638101908678,26537.0,0.8012,479.18,-1052.0,37.38,92.75,63226.0
3086.0,-27821.146987730033,-37858.411319686944,7172.034970864297,38.55308306614158,-95.45207600318396,23530.0,0.7823,473.8,-1552.0,39.01,77.69,63148.0
3258.0,-1287.833577184372,-5109.605259253247,5820.191837760295,38.848037244222844,-95.14701091491465,19095.0,0.6344,391.1,-1057.0,24.01,68.49,63079.0
3429.0,12830.48221277766,26578.841327577393,4899.948348036107,39.13292500735154,-94.98338467301868,16076.0,0.4344,270.98,-557.0,18.8,59.74,63020.0
3601.0,20553.555993024016,49271.346828316695,4415.212397535352,39.33685498340144,-94.8931520357119,14486.0,0.2413,151.47,-57.0,3.8,179.15,62840.0
3772.0,21438.992205291885,62607.11361420419,4365.985622710989,39.456764370352026,-94.88242920761084,14324.0,0.2389,150.07,443.0,348.81,241.34,62599.0
3944.0,18878.500755164547,75555.88551687099,4752.267586656953,39.57327446792089,-94.91188512526895,15591.0,0.426,266.23,943.0,334.39,180.98,62418.0
