ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1160301.676830325,-176295.36124964574,30.480000302436316,32.91572000099596,-97.02597000093405,100.0,0.3,198.38,2414.0,289.4,478.91,65821.0
270.0,1134975.8296841546,-167375.154682894,3343.32675889348,33.02257120277955,-97.28402142865492,10969.0,0.5,318.02,1939.0,282.3,389.32,65432.0
540.0,1092574.4377061697,-158131.00853601014,6005.122673264623,33.149729809138705,-97.7244055913923,19702.0,0.6249,384.31,1439.0,282.29,329.25,65103.0
811.0,1041095.0772412615,-146914.04004978042,7980.639284946373,33.30199398272448,-98.26077785022139,26183.0,0.7426,444.79,983.0,282.29,285.59,64817.0
1081.0,981265.2029550204,-133882.73803264048,9330.453870038273,33.47604233968015,-98.88648471317545,30612.0,0.7881,463.21,711.0,282.29,252.93,64564.0
1351.0,918802.3290171005,-120277.89481656505,10305.91862632436,33.65442616938163,-99.54237354642008,33812.0,0.7831,453.84,211.0,282.28,199.91,64364.0
1621.0,857295.6533704869,-106886.43447874748,10595.104079941955,33.82667917252472,-100.19084676011913,34761.0,0.7686,443.51,3.0,282.28,177.52,64187.0
1891.0,797058.3573166761,-93778.56526466558,10598.56716675192,33.99205215804368,-100.8284402867801,34772.0,0.7751,447.26,23.0,282.27,179.68,64007.0
2162.0,736324.4084561755,-80566.12615945614,10630.516449371518,34.15545689267348,-101.4737705170656,34877.0,0.7747,446.79,21.0,282.27,178.73,63828.0
2432.0,675650.2492850038,-67370.72524175128,10659.292200527227,34.315322224286035,-102.12092596495027,34971.0,0.775,446.76,21.0,282.26,178.09,63650.0
2702.0,614978.0531971203,-54185.0256899944,10688.275973226982,34.47172552494568,-102.77049536317818,35067.0,0.7752,446.68,21.0,282.25,177.44,63473.0
2972.0,554312.9941146722,-41011.50366115271,10717.211096974486,34.624609230278566,-103.42239272077727,35161.0,0.7754,446.6,21.0,282.24,176.8,63296.0
3242.0,493655.88346797484,-27847.71209964225,10746.116038104105,34.77396362884767,-104.07657383922158,35256.0,0.7755,446.52,21.0,282.24,176.15,63120.0
3512.0,433006.9617032537,-14693.375259328863,10775.021126963633,34.91976046395959,-104.73300069898055,35351.0,0.7757,446.42,21.0,282.23,175.5,62944.0
3783.0,372365.9211384469,-1550.8955385089776,10803.979018959079,35.06194817075495,-105.39164076478251,35446.0,0.7759,446.32,21.0,282.22,174.86,62769.0
4053.0,311732.99479270127,11578.148524151931,10833.014734439828,35.200482812917855,-106.05245279058914,35541.0,0.776,446.21,21.0,282.21,174.21,62595.0
4323.0,251108.37376447534,24693.738255811873,10862.17751325868,35.33533505674815,-106.71539323767169,35637.0,0.7761,446.09,21.0,282.2,173.56,62422.0
