ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1160301.676939734,-176295.36134653797,30.479999999723415,32.91572000001516,-97.02596999989574,100.0,0.1573,104.01,500.0,289.4,622.51,65677.0
353.0,1142605.755295767,-170062.54611789642,926.6507473890206,32.990433803439636,-97.2062137692933,3040.0,0.1708,111.78,746.0,304.4,631.27,65046.0
706.0,1126031.8632711235,-158712.82197873457,2264.496766590694,33.10915454243506,-97.36836306381323,7429.0,0.3389,218.36,1246.0,319.4,476.92,64569.0
1058.0,1100627.4803752766,-129069.70918132263,4498.509479554831,33.3996103236767,-97.6024875482991,14759.0,0.5389,337.89,746.0,334.4,349.81,64219.0
1411.0,1074361.1204297754,-74239.82136881129,5836.364574265367,33.91456076111492,-97.81613479992372,19148.0,0.7389,455.45,771.0,319.92,403.31,63816.0
1764.0,1021618.6570645653,-11571.91549933319,7218.369676790626,34.52589557865012,-98.30920163511526,23682.0,0.7811,472.78,729.0,304.92,378.0,63438.0
2117.0,951883.7172971367,37103.75339815279,8524.647667315712,35.02719508211497,-99.01075103407966,27968.0,0.8076,480.13,268.0,289.92,308.97,63129.0
2470.0,870224.81923595,66688.71577103024,9004.646085746484,35.36499728270828,-99.8720150501357,29543.0,0.8153,481.4,0.0,274.92,273.18,62856.0
2823.0,783168.4701769508,74175.67501642836,9004.680557078798,35.50379895878437,-100.82121516059217,29543.0,0.8172,482.56,-27.0,260.27,270.9,62585.0
3175.0,696810.7136598094,59363.430478371854,8956.569782453775,35.43527711036171,-101.78506456444367,29385.0,0.8186,483.72,-189.0,260.91,256.95,62328.0
3528.0,609908.0183127667,45464.10877925947,8618.63475425016,35.36755313927648,-102.7524877912935,28276.0,0.8157,484.27,-500.0,260.84,235.31,62093.0
3881.0,522591.35897999094,31390.762572358177,7722.465004908477,35.29072923371408,-103.72285445915794,25336.0,0.7995,480.59,-500.0,260.35,253.85,61839.0
4234.0,436074.3706332191,16682.386192766164,6826.294807138234,35.20006453446904,-104.68282645087726,22396.0,0.6532,397.41,-500.0,267.33,192.63,61646.0
4587.0,363597.364975454,13298.964941738577,5930.124914215172,35.19851717814869,-105.48134504854319,19456.0,0.4532,279.0,-500.0,282.33,130.8,61516.0
4940.0,313845.082558328,24171.475218128806,5033.955036031577,35.31296575357018,-106.02439630351716,16516.0,0.2532,157.68,-258.0,271.12,292.17,61223.0
5292.0,285151.1157222019,24732.81326909734,4572.00025268486,35.326580362472114,-106.3402783776781,15000.0,0.2371,148.55,7.0,256.12,382.97,60840.0
5645.0,258977.95297586013,18265.660563196772,4584.534083307958,35.27556335546427,-106.63071109349907,15041.0,0.2356,147.58,500.0,241.12,502.63,60338.0
5998.0,235667.9980855977,5408.878501882719,5480.7041575140765,35.16575018490842,-106.89109826269491,17981.0,0.3908,242.02,500.0,226.12,303.19,60035.0
6351.0,204193.70446662104,-24857.57640107368,6376.874100909734,34.90055524780577,-107.24473785836632,20922.0,0.5908,361.63,500.0,241.1,288.33,59746.0
6704.0,147073.6085890638,-56384.42227080298,7273.043750405781,34.627010268727105,-107.87655118495076,23862.0,0.7908,478.29,472.0,250.14,348.26,59398.0
7056.0,65893.61833717412,-85703.00699203844,8118.608926717814,34.37185451380892,-108.76604020020511,26636.0,0.82,490.24,-28.0,249.19,292.31,59106.0
7409.0,-17310.43246533118,-117330.82620628174,8068.004265992412,34.08939742630794,-109.67194405696833,26470.0,0.82,490.58,-500.0,246.44,252.15,58854.0
7762.0,-99432.22992177262,-153133.73758458285,7171.83615099482,33.762781978574026,-110.55951657557672,23530.0,0.62,375.48,0.0,257.76,223.07,58631.0
8115.0,-166035.82567473763,-167581.1359976989,7171.837113425366,33.62434654488379,-111.2770875445277,23530.0,0.42,254.36,500.0,272.76,293.27,58337.0
8468.0,-211862.16340588353,-165370.94354326266,8068.0056023493225,33.63587221151002,-111.77237653924442,26470.0,0.3876,231.89,188.0,287.76,273.54,58064.0
8821.0,-251852.01670925433,-152561.45606692537,8404.142515272772,33.74206475825739,-112.2078250396201,27573.0,0.5876,349.91,-312.0,302.76,161.81,57902.0
9173.0,-305466.8006326717,-118060.42306184562,7844.111890572017,34.03762970366655,-112.79947372711796,25735.0,0.7876,472.65,-0.0,317.76,283.11,57619.0
9526.0,-363136.656872637,-54545.87975229394,7844.08312324701,34.58935483849049,-113.45191268734281,25735.0,0.82,492.09,-500.0,322.58,258.73,57360.0
9879.0,-417744.6242214896,16817.75564469795,6947.913260946912,35.20906551435753,-114.08368707323535,22795.0,0.6252,379.75,-500.0,324.1,170.05,57190.0
10232.0,-458397.9618227153,72981.13075641973,6051.745000467525,35.69534136832943,-114.56225480347103,19855.0,0.4252,261.34,-293.0,309.1,147.01,57043.0
