ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1160301.676930814,-176295.36134960497,30.479999999998935,32.91571999999776,-97.02596999999452,100.0,0.2233,147.63,1817.0,289.4,558.46,65742.0
309.0,1138719.0060716148,-168693.56576366385,2878.3493406584266,33.00681066576486,-97.24584270913884,9443.0,0.4233,270.74,1507.0,274.4,415.25,65326.0
617.0,1096547.2789107994,-165446.18258953482,5240.145889217054,33.08055051080808,-97.69100106841263,17192.0,0.6233,387.14,1007.0,283.17,345.89,64980.0
926.0,1037331.584940323,-151589.65328935452,6818.121387381513,33.264124635196296,-98.30648701682708,22369.0,0.7677,467.13,507.0,287.96,319.91,64660.0
1234.0,967163.1984186147,-128848.32312959908,7612.270696627854,33.53410615674443,-99.032166917651,24975.0,0.6688,402.63,7.0,302.96,217.89,64443.0
1543.0,913533.842480653,-94077.77822275973,7622.792619638246,33.89278076245834,-99.57150962133974,25009.0,0.7793,469.11,108.0,288.58,269.26,64173.0
1852.0,843022.0629015107,-70381.79718730833,7792.60265111758,34.16441689471614,-100.30903116268654,25566.0,0.5797,348.12,608.0,278.88,266.49,63907.0
2160.0,788785.3273099408,-61907.944188943555,8746.137505465249,34.28327585208995,-100.8885236056929,28695.0,0.6269,371.54,137.0,291.35,209.9,63697.0
2469.0,733934.9079885919,-40464.17915260625,8961.419174098595,34.51587990567532,-101.46505053330307,29401.0,0.8108,479.08,-363.0,278.35,208.34,63489.0
2777.0,658384.3908658064,-29379.236374993525,8392.893795726442,34.666760164728736,-102.27883533656716,27536.0,0.8055,479.72,-500.0,293.35,207.97,63281.0
3086.0,588085.9867571045,964.4382094949806,7609.067372138602,34.98182567472108,-103.02448773712806,24964.0,0.7815,470.49,-500.0,280.2,216.52,63064.0
3395.0,514187.62818778964,14266.247360119605,6825.585144485093,35.14148428320473,-103.82602911026272,22394.0,0.7031,427.77,-378.0,265.21,205.98,62858.0
3703.0,446250.52238993737,8571.138076474988,6232.449733810374,35.12280061839724,-104.57536935966937,20448.0,0.5031,308.49,117.0,252.71,204.3,62654.0
4012.0,399545.9508903442,-5968.998922768775,6415.5641064088595,35.01187374935322,-105.09543839853912,21048.0,0.3356,205.33,409.0,262.79,323.73,62330.0
4320.0,367350.0218882864,-10039.261389162664,7057.18558284961,34.98755570837674,-105.45047635102016,23153.0,0.515,312.39,-71.0,267.21,177.08,62153.0
4629.0,317777.75083026174,-12450.809734725955,6945.604542011658,34.98271463621155,-105.99522647831492,22787.0,0.4376,265.82,218.0,273.52,225.53,61928.0
4938.0,275755.3259524274,-9869.468263169641,7287.230797323472,35.01826480226008,-106.4554084237893,23908.0,0.3892,235.33,433.0,264.87,288.63,61639.0
