ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16623.606556674655,-139717.04103975685,30.480000304517144,32.91572000090081,-97.02597000106883,100.0,0.3,198.38,2414.0,353.41,79.48,66221.0
45.0,16104.060878115077,-135217.99819912412,580.259408617216,32.9561887209531,-97.03145548416478,1904.0,0.4787,314.54,2290.0,352.72,71.9,66149.0
90.0,15189.204276978697,-128061.1458609198,1101.981803881909,33.02056510500414,-97.04113984601884,3615.0,0.4915,321.05,2172.0,352.73,70.11,66079.0
135.0,14256.621842229002,-120752.4293300142,1596.6139453236185,33.08630672122647,-97.05102621799534,5238.0,0.5042,327.44,2062.0,352.74,68.34,66010.0
179.0,13307.224823170125,-113294.9066232671,2066.2464669787955,33.15338600928579,-97.06110579722744,6779.0,0.5168,333.76,1960.0,352.77,66.6,65944.0
224.0,12342.568777498444,-105690.27079688027,2512.649655478741,33.221787678716765,-97.07136281737912,8244.0,0.5292,340.02,1865.0,352.81,64.91,65879.0
269.0,11365.047179255816,-97939.94444270978,2937.3922371432827,33.29149886688983,-97.08177245698793,9637.0,0.5416,346.21,1776.0,352.86,63.28,65815.0
314.0,10375.867099616326,-90045.4654222451,3341.8765127267225,33.36250569394568,-97.09232260191952,10964.0,0.556,353.67,1705.0,352.91,61.91,65753.0
359.0,9372.273389924525,-81978.15931576064,3730.23234581658,33.4350660242088,-97.10304348657941,12238.0,0.5709,361.38,1642.0,352.97,60.67,65693.0
404.0,8355.113205724976,-73732.35852458286,4104.211155185621,33.50923077731447,-97.1139269581553,13465.0,0.5857,369.05,1579.0,353.03,59.46,65633.0
448.0,7325.471374677711,-65308.814916718606,4463.961463515176,33.58499314192073,-97.12496237112337,14646.0,0.6006,376.74,1517.0,353.1,58.28,65575.0
493.0,6284.038606229202,-56707.06248324796,4809.518221822351,33.66235726496416,-97.13614331007807,15779.0,0.6155,384.41,1455.0,353.16,57.14,65518.0
538.0,5231.596722747584,-47927.60643976415,5140.993440089343,33.741318560371866,-97.14746237979742,16867.0,0.6444,400.78,1313.0,353.23,55.51,65462.0
583.0,4144.458895522086,-38769.58826023099,5440.0964184100085,33.823683449052,-97.15917609160418,17848.0,0.6603,409.09,813.0,353.3,48.83,65414.0
628.0,3044.3577362402402,-29410.59643031842,5625.308759340032,33.90785466480479,-97.17105215833593,18456.0,0.6163,380.91,313.0,353.36,38.66,65375.0
673.0,2028.7458815564976,-20687.495763432762,5696.630462877911,33.986305869413,-97.18203677583644,18690.0,0.5706,352.39,-187.0,353.41,27.85,65347.0
717.0,1096.2214491736447,-12610.520865848832,5654.061529023824,34.05894526135541,-97.19214052945676,18550.0,0.5265,325.32,-687.0,353.46,16.8,65330.0
762.0,241.3041281962757,-5149.281112432713,5497.601957778717,34.12604636886298,-97.20141863643977,18037.0,0.5126,317.33,-1029.0,353.51,10.58,65320.0
807.0,-586.8571042942335,2130.9364712662564,5263.247015038644,34.191518805808705,-97.21042052245207,17268.0,0.5039,312.89,-1039.0,353.55,10.2,65309.0
852.0,-1398.5619442199456,9309.772905447428,5026.559584015783,34.25607885878751,-97.21925732465726,16491.0,0.4955,308.61,-1047.0,353.58,9.87,65300.0
897.0,-2195.611820217785,16390.666628853636,4788.068738509615,34.31975748726661,-97.22794787343895,15709.0,0.4873,304.44,-1053.0,353.6,9.56,65290.0
942.0,-2978.8267998032084,23375.97741988947,4548.212112946684,34.38257594256879,-97.23650052828283,14922.0,0.4793,300.36,-1057.0,353.62,9.29,65281.0
986.0,-3748.9897469731595,30267.790107722267,4307.3638111744585,34.44455300040838,-97.24492328233633,14132.0,0.4716,296.41,-1060.0,353.63,9.04,65272.0
1031.0,-4507.802373669094,37068.8973827905,4065.80922252404,34.505713795786974,-97.2532341975796,13339.0,0.4641,292.56,-1062.0,353.63,8.82,65263.0
1076.0,-5256.608158274673,43781.567526008985,3823.797467353616,34.56607874414206,-97.26144748881148,12545.0,0.4568,288.82,-1064.0,353.63,8.59,65254.0
1121.0,-5995.834062843635,50408.19858259577,3581.5336093204146,34.62566942914275,-97.26956740901961,11750.0,0.4497,285.17,-1064.0,353.63,8.4,65246.0
1166.0,-6726.139362263655,56950.829073616995,3339.2095343299466,34.684504198298285,-97.27760077368407,10955.0,0.4427,281.6,-1063.0,353.62,8.23,65238.0
1211.0,-7448.623065132649,63411.27961471097,3096.9841615655205,34.74259943427212,-97.28555923896742,10161.0,0.4359,278.11,-1062.0,353.6,8.06,65230.0
1255.0,-8163.912978497524,69791.36110593507,2855.001081263027,34.799971432892825,-97.29344934250732,9367.0,0.4293,274.7,-1061.0,353.59,7.9,65222.0
1300.0,-8872.170734306843,76092.84005051423,2613.389289569052,34.8566360929166,-97.30127253955243,8574.0,0.4229,271.4,-1059.0,353.57,7.76,65214.0
1345.0,-9573.640778027813,82318.17644517864,2372.2224623662705,34.91261554855742,-97.30903121399265,7783.0,0.4168,268.2,-1057.0,353.55,7.62,65206.0
1390.0,-10268.939772143332,88469.85318614883,2131.558966873251,34.96793213551691,-97.3167318519169,6993.0,0.4107,265.07,-1054.0,353.53,7.5,65199.0
1435.0,-10958.545524742467,94549.28345436472,1891.4891097844754,35.02259856907388,-97.3243794284333,6206.0,0.4048,262.0,-1051.0,353.51,7.38,65191.0
1480.0,-11641.883284144098,100557.8448507406,1652.0842869486842,35.07662725516319,-97.33196737182197,5420.0,0.399,258.99,-1048.0,353.49,7.26,65184.0
1525.0,-12319.100921919498,106497.08160247032,1413.40595922128,35.130032091050154,-97.33949704779357,4637.0,0.3934,256.04,-1044.0,353.48,7.16,65177.0
1569.0,-12990.543382082962,112368.40595894294,1175.5165848938366,35.182825784154026,-97.34697199895277,3857.0,0.3879,253.16,-1041.0,353.46,7.05,65170.0
1614.0,-13656.013336406408,118173.26937185084,938.4604028163226,35.2350214007446,-97.3543898138505,3079.0,0.3826,250.37,-1037.0,353.46,7.11,65163.0
