ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16623.606749324877,-139717.04123795716,30.48000012911398,32.91571999911537,-97.02596999900878,100.0,0.1966,130.03,1505.0,353.41,88.49,66212.0
49.0,16253.534743145814,-136512.37631594864,402.440713131684,32.94454586332752,-97.02987679032486,1320.0,0.2066,136.06,1532.0,338.41,88.03,66123.0
97.0,15011.28702360171,-133372.7822408404,781.0407136141837,32.97279903144693,-97.04313619956407,2562.0,0.2259,148.13,1651.0,323.41,87.25,66036.0
146.0,12820.374918887455,-130421.34914815905,1188.9974305715436,32.999370430226065,-97.06657894150162,3901.0,0.2552,166.51,1823.0,308.41,85.94,65950.0
195.0,9582.988474193886,-127854.25894982692,1639.4134498230515,33.02249081552151,-97.10126410767461,5379.0,0.2945,191.16,1996.0,293.41,83.86,65866.0
243.0,5229.235776053443,-125969.07537992451,2132.7167095702694,33.03947496167679,-97.14794803750598,6997.0,0.2788,179.93,1773.0,306.42,83.6,65783.0
292.0,1632.5374015066975,-123315.71395967768,2570.938785712597,33.06334885391976,-97.18652600734063,8435.0,0.2696,173.11,1598.0,321.42,83.21,65700.0
340.0,-1051.376612669203,-119951.58729930274,2965.813572780391,33.09360391587126,-97.21532201641061,9730.0,0.2713,173.37,1516.0,336.42,82.43,65617.0
389.0,-2776.630600212746,-115999.4425693763,3340.3309977234685,33.1291432684431,-97.23385310620402,10959.0,0.2878,183.07,1540.0,351.42,80.82,65536.0
438.0,-3456.380008862954,-111495.77581886915,3720.8327169550607,33.16964370861326,-97.24116991098859,12207.0,0.3133,198.35,1606.0,6.42,78.63,65458.0
486.0,-2904.764271958721,-106591.14259585642,4117.631142935729,33.21375379159173,-97.23525970757316,13509.0,0.3537,222.85,1716.0,21.42,75.62,65382.0
535.0,-879.7330757878933,-101428.37986149227,4541.571732145238,33.26018728062833,-97.21349825041493,14900.0,0.3974,249.01,1776.0,36.42,72.36,65310.0
584.0,2800.0869076819754,-96440.29159259277,4980.338761031363,33.30504286409963,-97.17391343960168,16340.0,0.4293,267.55,1760.0,21.42,69.64,65240.0
632.0,5232.896347450407,-90237.90920112106,5415.298852880756,33.360812957997844,-97.14769957723756,17767.0,0.4884,302.7,1747.0,6.42,65.9,65174.0
681.0,6075.744124406531,-82743.81717961887,5847.098012747625,33.42820441161,-97.13857326309495,19183.0,0.6193,381.67,1474.0,351.42,59.83,65114.0
730.0,4654.774147898506,-73329.20734211989,6211.277753503636,33.51287924328904,-97.15383530639781,20378.0,0.7177,440.23,974.0,347.44,55.74,65059.0
778.0,2263.5417528056796,-62596.204738120665,6451.907327074536,33.609411326188656,-97.1795995883411,21168.0,0.759,464.07,715.0,348.15,54.05,65005.0
827.0,-117.57285846638632,-51245.522313935464,6628.548271578627,33.71149293641616,-97.20530962050016,21747.0,0.7633,465.63,718.0,349.26,53.63,64951.0
876.0,-2285.4951659303924,-39812.66563645058,6805.980559876835,33.814308558027435,-97.22877731281307,22329.0,0.7676,467.13,721.0,349.8,53.21,64898.0
924.0,-4353.671644164293,-28323.34237220364,6984.204023859418,33.917627928812166,-97.25122103312556,22914.0,0.7718,468.57,724.0,349.46,52.79,64845.0
973.0,-6495.989695822452,-16811.228654850267,7163.199140614781,34.021147694678675,-97.27452410729374,23501.0,0.7759,469.93,727.0,349.35,52.35,64793.0
1021.0,-8665.446596508747,-5269.6871807743555,7342.920625064197,34.124927480115105,-97.29817942082894,24091.0,0.7799,471.21,730.0,349.16,51.91,64741.0
1070.0,-10879.437528221064,6295.782620801777,7523.293518166221,34.2289174669787,-97.32237765015337,24683.0,0.7837,472.39,732.0,349.66,51.45,64689.0
1119.0,-12998.118627610138,17908.989128238674,7704.212378521169,34.33333312523326,-97.34559856292523,25276.0,0.7874,473.46,247.0,349.34,44.61,64645.0
1167.0,-15188.191317784085,29547.256703668718,7765.253311132461,34.4379686733369,-97.36965648729577,25477.0,0.7888,473.87,-253.0,349.14,37.67,64607.0
1216.0,-17423.463535227413,41197.65183963704,7702.744082971888,34.54270776218461,-97.39426870159865,25271.0,0.7878,473.69,-753.0,349.39,30.95,64576.0
1265.0,-19609.000613307187,52861.60294665522,7516.684693110059,34.64756471807384,-97.41839979324624,24661.0,0.7843,472.8,-1253.0,350.16,24.57,64551.0
1313.0,-21633.78581868806,64539.22576541736,7207.075142896706,34.752543208427404,-97.44083308376837,23645.0,0.778,470.94,-1753.0,349.26,18.62,64533.0
1362.0,-23835.48380654002,76143.25740557366,6773.915436405143,34.85685163540357,-97.46526049474558,22224.0,0.7683,467.81,-2253.0,349.86,13.26,64520.0
1411.0,-25902.389089361994,87696.07881440714,6217.205587954207,34.96069799785291,-97.48826947652812,20398.0,0.755,463.08,-2500.0,358.85,11.37,64508.0
1459.0,-26136.12972596778,99312.17650557983,5599.454784207916,35.06515743784413,-97.49119831472174,18371.0,0.6882,425.49,-2500.0,0.0,7.23,64501.0
1508.0,-26136.128787418802,109984.07502001226,4981.704003628229,35.16113146947697,-97.49153409389058,16344.0,0.4882,304.23,-2500.0,360.0,6.27,64495.0
1557.0,-26136.129436889205,117602.01757610246,4363.953232673361,35.229640801613954,-97.49177461241624,14317.0,0.2882,181.0,-2500.0,10.11,6.89,64488.0
1605.0,-25345.670346642288,122037.36652522095,3746.2024609380214,35.26954852457151,-97.48320853492096,12291.0,0.2284,144.56,-2500.0,25.11,7.31,64480.0
1654.0,-23826.839019897463,125278.98147832388,3128.4517085910757,35.298737508204816,-97.46657316996777,10264.0,0.2115,134.88,-2500.0,40.11,7.63,64473.0
1702.0,-21679.83695905139,127828.17345247776,2510.7009852364854,35.321710752024664,-97.44298385596495,8237.0,0.1976,126.95,-2500.0,53.41,7.95,64465.0
1751.0,-19166.37055250188,129693.97344368475,1892.950296407199,35.33854060853735,-97.41532526614021,6210.0,0.1849,119.7,-2500.0,38.41,8.29,64457.0
1800.0,-17336.838814820094,132001.2162116733,1275.1996645004167,35.35932285925572,-97.3952056445943,4184.0,0.1732,112.92,-2179.0,23.41,8.63,64448.0
1848.0,-16230.372565678872,134556.55298149958,736.7433319653413,35.38232173221715,-97.38305562169879,2417.0,0.1637,107.37,-1679.0,8.41,8.93,64439.0
1897.0,-15840.964128072497,137189.57834262904,321.8367805822416,35.406007173611094,-97.37881138401778,1056.0,0.1567,103.3,-1179.0,353.41,9.15,64430.0
1946.0,-16136.129712800126,139745.58777352332,30.479999999686616,35.42898921841272,-97.38211818313431,100.0,0.1498,99.05,-679.0,338.41,36.96,64393.0
