ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16623.606659201276,-139717.04115418083,30.480000001511375,32.915719999870184,-97.02596999997265,100.0,0.2901,191.82,2359.0,353.41,73.87,66226.0
42.0,16158.097189705575,-135685.92702737066,528.3168604389514,32.95197973001304,-97.03088472238494,1733.0,0.2994,196.88,2288.0,338.41,73.03,66153.0
83.0,14624.439206702202,-131809.83548841177,1011.139758185084,32.986860290996376,-97.0472575886634,3317.0,0.3147,205.8,2249.0,323.41,71.92,66081.0
125.0,12025.262812819608,-128308.41676608603,1485.6982031764373,33.01838172294133,-97.07507628486225,4874.0,0.3193,207.63,2159.0,331.41,71.04,66010.0
166.0,9918.798976155185,-124442.82964622643,1941.3058669767813,33.05316743474701,-97.09762494902628,6369.0,0.3244,209.84,2078.0,346.41,70.11,65940.0
208.0,8873.010067927686,-120115.82195689232,2379.8061644621293,33.09209034976161,-97.10880254073211,7808.0,0.3404,219.01,2047.0,1.41,68.73,65871.0
249.0,8987.625172826029,-115468.59000475556,2811.7647695967876,33.133882916792224,-97.10752581726939,9225.0,0.3715,237.79,2055.0,16.41,66.64,65805.0
291.0,10414.590755053976,-110624.16885417174,3245.452546067096,33.17743677686261,-97.09214553570942,10648.0,0.417,265.55,2048.0,15.29,63.8,65741.0
332.0,11902.427995515796,-105180.17657843322,3677.745524486743,33.22638008526573,-97.07608745875582,12066.0,0.5861,371.28,1548.0,0.29,55.6,65685.0
374.0,11941.87631287409,-97268.20427692356,4004.5210628198306,33.297533622910926,-97.07555768875201,13138.0,0.6574,414.75,1048.0,358.29,52.22,65633.0
415.0,11678.460914549256,-88423.32112837715,4225.779157538241,33.377080400224116,-97.07827592580765,13864.0,0.7011,441.08,678.0,357.51,50.28,65583.0
457.0,11268.804389057806,-79015.32126170798,4368.786455536323,33.46169291526377,-97.08256819666146,14333.0,0.6503,408.42,1178.0,347.67,52.17,65531.0
499.0,9409.072124691955,-70504.90412249113,4617.311163701863,33.53824707371936,-97.10252500588462,15149.0,0.5905,369.72,1578.0,338.17,54.16,65476.0
540.0,6479.807881433021,-63191.931782202126,4950.404392239965,33.604036268047395,-97.13407584603841,16241.0,0.6754,421.1,1078.0,344.86,50.58,65426.0
582.0,4134.0674227633945,-54520.1158159967,5177.980364303142,33.68203561541372,-97.15936317486442,16988.0,0.7262,451.46,693.0,340.93,48.59,65377.0
