ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-53430.65610875431,-183223.52549720547,30.48000030452316,32.915717499666044,-97.02595956650916,100.0,0.3,198.38,2414.0,15.63,101.92,66198.0
57.0,-51867.625749213425,-177635.6840604814,735.4704613466727,32.96604632522384,-97.0095380132575,2413.0,0.4755,311.93,2290.0,16.66,91.94,66106.0
115.0,-49239.909299020765,-168853.5385375166,1404.2931398318349,33.045149376120435,-96.98185495564934,4607.0,0.4916,319.97,2143.0,16.65,88.99,66017.0
172.0,-46543.629447733794,-159838.98521256016,2030.3766089173312,33.12633936636537,-96.95339799643436,6661.0,0.5073,327.79,2012.0,16.64,86.12,65931.0
230.0,-43781.766308486396,-150598.68137870138,2618.0187036748744,33.20955577777234,-96.92419454616586,8589.0,0.5228,335.45,1893.0,16.62,83.34,65848.0
287.0,-40956.86400719272,-141137.38553465996,3170.826118483129,33.29475519787196,-96.89426747340524,10403.0,0.5397,343.97,1786.0,16.6,80.73,65767.0
345.0,-38062.84805466553,-131431.0315876156,3692.3893096267498,33.382153758058685,-96.863548097084,12114.0,0.5582,353.53,1707.0,16.58,78.63,65688.0
402.0,-35092.21990990054,-121450.53733412207,4190.953438154609,33.472012666539385,-96.83195186797899,13750.0,0.5767,362.98,1630.0,16.54,76.6,65612.0
460.0,-32047.13294021455,-111199.09385878567,4666.994734451271,33.56430249648441,-96.79949633284666,15312.0,0.5951,372.33,1554.0,16.51,74.62,65537.0
517.0,-28929.513515771385,-100679.1531177439,5120.922103466393,33.659000475967844,-96.7661965569565,16801.0,0.6134,381.61,1479.0,16.47,72.71,65464.0
575.0,-25740.987786141486,-89892.16533221389,5553.059545315999,33.756092849309006,-96.73206431929066,18219.0,0.6318,390.86,1406.0,16.42,70.89,65394.0
632.0,-22482.9763028624,-78838.89252571884,5963.673183762741,33.85557205181008,-96.69710909682934,19566.0,0.6502,400.09,1333.0,16.38,69.13,65324.0
690.0,-19156.766159576648,-67519.63761379325,6352.9890168286,33.95743464574323,-96.6613388181392,20843.0,0.6686,409.34,1260.0,16.32,67.44,65257.0
747.0,-15763.234538687686,-55933.37229031644,6721.1210114877185,34.06168916608779,-96.62475686172752,22051.0,0.6871,418.64,1188.0,16.27,65.85,65191.0
805.0,-12303.094619225685,-44078.2900349423,7068.111127644802,34.16835113804027,-96.58736466670572,23189.0,0.7394,448.4,938.0,16.21,63.26,65128.0
862.0,-8607.193696388349,-31368.636399148247,7341.948976633048,34.282689071549896,-96.5473206430933,24088.0,0.7044,425.64,438.0,16.15,51.73,65076.0
920.0,-5107.505869402495,-19286.80953677915,7469.743136543211,34.391366803291874,-96.50930225230813,24507.0,0.6594,397.71,-62.0,16.09,39.27,65037.0
977.0,-1846.2458059912765,-7982.336946539347,7451.493607375936,34.493041423318815,-96.4737851198295,24447.0,0.6101,368.09,-562.0,16.03,26.31,65011.0
1035.0,1163.0582589254257,2492.5500649307064,7287.200389131719,34.587245379352915,-96.44093489198438,23908.0,0.5762,348.39,-1062.0,15.96,14.65,64996.0
1092.0,4001.8757755392016,12416.423979000912,6976.863481816827,34.67648576882511,-96.40987696334777,22890.0,0.5639,342.41,-1143.0,15.9,12.89,64983.0
