ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-53430.6562271632,-183223.52568309984,30.48000005155548,32.91571749798835,-97.0259595677665,100.0,0.3,198.38,2414.0,15.63,93.11,66207.0
53.0,-52002.12072904748,-178116.50399428385,674.5812448516008,32.96171573865628,-97.01095178305835,2213.0,0.3382,222.0,2418.0,30.63,90.66,66116.0
105.0,-48974.551341827246,-173002.7391278991,1319.83924987041,33.00784785660239,-96.97878283264924,4330.0,0.3472,226.25,2301.0,29.98,88.95,66027.0
158.0,-45945.3218495777,-167752.3188699972,1933.8994426178817,33.05520061285883,-96.946569136831,6345.0,0.3524,227.97,2183.0,14.98,87.33,65940.0
210.0,-44365.16769323995,-161848.01097019482,2516.553109029291,33.10836567304943,-96.92990779003561,8256.0,0.3632,233.3,2092.0,359.98,85.43,65855.0
263.0,-44367.04750677786,-155588.9019629563,3074.802085589203,33.164654065305854,-96.93023759591176,10088.0,0.3779,241.13,2017.0,344.98,83.27,65771.0
315.0,-46044.271389958085,-149336.92865007912,3613.119380074033,33.220806578355905,-96.94857617141345,11854.0,0.4049,256.71,1970.0,329.98,80.43,65691.0
368.0,-49493.568524020375,-143366.71247786182,4138.731604132462,33.27434077880933,-96.98598373608215,13579.0,0.4334,272.95,1914.0,321.19,77.52,65613.0
420.0,-54090.94165403086,-137651.08660721665,4649.449189287389,33.32551554570957,-97.03577855509967,15254.0,0.4732,296.13,1851.0,336.19,74.1,65539.0
473.0,-57305.665568105964,-130366.29807621044,5143.531348761276,33.39085731028859,-97.0708451201783,16875.0,0.539,335.23,1729.0,351.19,69.71,65470.0
525.0,-58687.54306103815,-121451.76580412652,5604.855231589602,33.47094886125561,-97.08631843563695,18389.0,0.6653,411.31,1229.0,356.1,63.31,65406.0
578.0,-59441.16048096407,-110390.3694269673,5932.749056109672,33.570380677310375,-97.09518707299254,19464.0,0.7425,457.1,729.0,355.88,59.78,65346.0
630.0,-60327.79551038144,-98086.49149213344,6127.212818467087,33.680977630788426,-97.10560031183823,20102.0,0.7502,460.69,709.0,356.01,59.2,65287.0
683.0,-61193.596995896354,-85683.48038436873,6316.340168869257,33.792466311072936,-97.11582369468346,20723.0,0.755,462.46,712.0,356.31,58.73,65228.0
735.0,-61997.63756489754,-73228.84096490341,6506.369938406151,33.904422000840086,-97.12541006793899,21346.0,0.7597,464.16,716.0,356.57,58.26,65170.0
788.0,-62746.18799814461,-60724.7758142765,6697.319278724048,34.016824676348335,-97.13442503147243,21973.0,0.7643,465.8,719.0,356.88,57.77,65112.0
841.0,-63430.65606862764,-48172.78950566277,6889.200378539971,34.129661470638084,-97.14277307525472,22602.0,0.7688,467.38,723.0,360.0,57.29,65055.0
893.0,-63430.65629865393,-35559.91670076551,7082.008076406298,34.24308734129084,-97.14370370780905,23235.0,0.7733,468.86,726.0,0.0,56.78,64998.0
946.0,-63430.65628093667,-22907.034141092023,7275.70894004917,34.356873009405675,-97.14464160042202,23870.0,0.7776,470.26,729.0,360.0,56.27,64942.0
998.0,-63430.6562831387,-10216.699119416611,7470.233729750566,34.470995475764276,-97.14558662191921,24509.0,0.7818,471.54,732.0,0.0,55.75,64886.0
1051.0,-63430.65627954973,2508.1480621016076,7665.474207829705,34.58542829356145,-97.14653860806807,25149.0,0.7858,472.7,733.0,0.0,55.19,64831.0
1103.0,-63430.65626610231,15264.133385717303,7861.17490284919,34.700141113306614,-97.14749736419041,25791.0,0.7896,473.72,355.0,0.0,49.27,64782.0
1156.0,-63430.656256757524,28057.395672580624,7955.875446477714,34.81518913362505,-97.14846341854728,26102.0,0.7914,474.22,664.0,0.0,53.36,64729.0
1208.0,-63430.65623791886,40856.06829256041,8133.022951564743,34.93028577836671,-97.14943442272659,26683.0,0.7946,474.93,520.0,0.0,50.79,64678.0
1261.0,-63430.65620119569,53677.72011537001,8271.694434172623,35.04558904100395,-97.15041176113759,27138.0,0.7969,475.4,20.0,0.0,43.14,64635.0
1313.0,-63430.65614614079,66524.79789829667,8276.93596285445,35.161120925788516,-97.15139568148508,27155.0,0.7972,475.56,-480.0,2.98,35.73,64599.0
1366.0,-62761.21808964398,79370.0274871025,8148.747464327528,35.276677851377954,-97.14500993358241,26735.0,0.7955,475.4,-980.0,15.25,28.72,64570.0
1418.0,-59375.608217747824,91784.69925716441,7887.1289222647165,35.388525751166725,-97.10861402137341,25876.0,0.7913,474.61,-1480.0,26.37,22.2,64548.0
1471.0,-53665.71145148257,103301.82958157324,7492.0803309992625,35.49241802023027,-97.046386252825,24580.0,0.784,472.73,-1980.0,37.76,16.31,64532.0
1523.0,-45822.07035918205,113429.79537049874,6963.601688946217,35.583885867662936,-96.96032409083175,22846.0,0.7727,469.26,-2480.0,48.9,11.29,64520.0
1576.0,-36235.735740352124,121791.08766993348,6301.692999282858,35.65947043684289,-96.854696844769,20675.0,0.7571,463.84,-2500.0,56.33,12.15,64508.0
1628.0,-25772.658181688243,128761.37448580573,5634.5426851506745,35.722478028266885,-96.73911457164742,18486.0,0.7403,457.54,-2500.0,59.76,13.18,64495.0
1681.0,-15060.386868818194,135007.03596652223,4967.392367554148,35.77886434238815,-96.62057549893606,16297.0,0.723,450.66,-2500.0,61.55,14.16,64481.0
1734.0,-4323.456482946771,140825.56636617833,4300.242048506514,35.831295413942556,-96.50159427091491,14108.0,0.7054,443.38,-2500.0,62.2,15.08,64466.0
1786.0,6303.380762900383,146428.6887226847,3633.0917287619195,35.88167497997275,-96.38368111516138,11920.0,0.6877,435.84,-2500.0,62.85,15.94,64450.0
1839.0,16809.860894260713,151817.0898510732,2965.941408650144,35.93001254338956,-96.2669607287979,9731.0,0.671,428.73,-2500.0,62.99,16.92,64433.0
1891.0,27157.35587260015,157090.65206165207,2298.791088443989,35.97721089070584,-96.15186972053543,7542.0,0.6613,425.97,-2500.0,60.63,19.28,64414.0
1944.0,37212.0247579604,162749.84175075023,1631.6407681537703,36.02778040878113,-96.03988030622114,5353.0,0.652,423.27,-2500.0,45.63,21.87,64392.0
1996.0,45406.475589137925,170766.7778521777,964.4904485019134,36.0995375530615,-95.94831050270916,3164.0,0.5,327.12,-2000.0,30.63,7.94,64384.0
2049.0,49915.863479663494,178383.43199122747,430.7701923543493,36.16781820586483,-95.8976474193812,1413.0,0.3,197.48,-1500.0,15.63,8.87,64375.0
2101.0,51352.72446874842,183520.21728983472,30.480000080860812,36.21393999910995,-95.88131000111834,100.0,0.1,66.13,-1000.0,0.63,79.58,64295.0
