ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-53430.65610991483,-183223.52549723667,30.48000029967582,32.9157174996657,-97.02595956652159,100.0,0.3,198.38,2414.0,15.63,81.79,66218.0
46.0,-52175.3189266982,-178735.6883770855,596.2334121852011,32.95613892570901,-97.01277218514704,1956.0,0.5,328.51,2163.0,1.85,72.92,66145.0
92.0,-51924.79018659769,-170980.96945235683,1103.246079076669,33.025889296516674,-97.01053373649135,3620.0,0.5335,348.48,1895.0,1.84,70.0,66075.0
138.0,-51660.90912013963,-162746.39304117145,1547.4978343236019,33.0999556433976,-97.00817651144843,5077.0,0.5444,353.74,1800.0,1.77,68.35,66007.0
185.0,-51402.66783067658,-154384.83654758983,1969.4606436401216,33.17516361523174,-97.00588374340276,6461.0,0.5624,363.64,1654.0,1.56,66.36,65941.0
231.0,-51169.14684678629,-145784.7072243962,2357.2114702955937,33.25251584351207,-97.00386709633823,7734.0,0.6034,388.41,1301.0,1.12,63.2,65877.0
277.0,-50988.91155246109,-136588.53102324798,2662.1886739162414,33.335225720323656,-97.00245513955517,8734.0,0.6528,418.66,801.0,0.54,59.82,65818.0
323.0,-50895.59642602255,-126664.0542610436,2849.9661140357352,33.42448099196683,-97.00201947241476,9350.0,0.6242,399.43,1137.0,0.12,60.92,65757.0
369.0,-50875.91081672409,-117201.66613165538,3116.4163722320113,33.5095771415944,-97.0023513079451,10224.0,0.6171,393.61,1235.0,0.04,60.77,65696.0
415.0,-50869.964835015686,-107879.26334627028,3405.9922153816406,33.593413735862015,-97.00282484354388,11175.0,0.6619,420.66,862.0,13.77,58.26,65638.0
461.0,-48496.87122765264,-98194.77775639646,3607.9345338772837,33.68061890411985,-96.97773993612965,11837.0,0.6849,434.21,668.0,28.77,56.99,65581.0
508.0,-43541.78918514219,-89169.76879526502,3764.6298507107704,33.76199917573973,-96.92464011667951,12351.0,0.6891,436.03,671.0,41.79,56.71,65524.0
554.0,-36652.163563225826,-81460.78709004262,3921.898729583651,33.8315912445922,-96.85043771295639,12867.0,0.6933,437.86,673.0,29.62,56.4,65468.0
600.0,-31521.54360819973,-72434.90298990857,4079.7460582938425,33.912929845737395,-96.79522044439372,13385.0,0.6976,439.68,676.0,14.62,56.11,65411.0
646.0,-28890.941689232004,-62346.964647522494,4238.1769265102475,34.00372843145396,-96.76705023649976,13905.0,0.7018,441.49,678.0,12.35,55.8,65356.0
692.0,-26652.644293372323,-52120.7777575495,4397.1966417243,34.09575391852463,-96.7430845531455,14426.0,0.7061,443.31,681.0,14.52,55.49,65300.0
738.0,-24017.07478133959,-41945.42302871517,4556.810746695483,34.18732694308117,-96.71474651464622,14950.0,0.7104,445.11,684.0,19.62,55.19,65245.0
784.0,-20473.83148853317,-32004.154613198734,4717.025038558579,34.27680669220776,-96.67646278588659,15476.0,0.7147,446.91,686.0,24.97,54.86,65190.0
831.0,-16000.216165121556,-22398.49194789386,4877.845589806215,34.36327124385941,-96.62795498250753,16003.0,0.719,448.69,689.0,31.44,54.54,65136.0
877.0,-10450.523752339317,-13322.157401155206,5039.278771385882,34.444967788232596,-96.56760502510062,16533.0,0.7233,450.46,691.0,33.92,54.21,65081.0
923.0,-4489.671019280711,-4459.796871755857,5201.331278168508,34.524712209478395,-96.50264763594915,17065.0,0.7277,452.22,694.0,33.05,53.88,65027.0
969.0,1358.0803584863083,4527.274595139501,5364.010157112723,34.60554385799747,-96.43880122607344,17598.0,0.732,453.96,697.0,18.05,53.55,64974.0
1015.0,4693.318414076041,14760.808695722932,5527.322838493795,34.69756639079541,-96.40230254364407,18134.0,0.7363,455.69,699.0,3.05,53.21,64921.0
1061.0,5268.44673375558,25549.561741583148,5691.277170632652,34.79458916032434,-96.39594392610807,18672.0,0.7406,457.39,702.0,358.01,52.87,64868.0
1107.0,4892.249430617266,36387.33771873359,5855.881458637794,34.892057468472,-96.4000004200579,19212.0,0.7449,459.06,705.0,359.97,52.52,64815.0
1154.0,4886.508227917648,47271.27747234916,6021.14450777715,34.98993909531488,-96.39999958172407,19754.0,0.7492,460.71,490.0,359.97,49.52,64766.0
1200.0,4880.629843611214,58198.479759842514,6136.098177452194,35.088209791614254,-96.39999988931574,20132.0,0.7522,461.86,-10.0,359.97,42.91,64723.0
1246.0,4874.732109310024,69161.92078185162,6133.852083564638,35.18680639047185,-96.4000000905744,20124.0,0.7523,461.92,-510.0,359.97,36.33,64687.0
1292.0,4868.759145936234,80134.54308056942,6014.406226093059,35.285485558741435,-96.40000095991917,19732.0,0.7494,460.88,-1010.0,2.11,29.88,64657.0
1338.0,5272.436768921448,91081.5304848014,5777.760605033091,35.38393213327764,-96.39548329741346,18956.0,0.7436,458.68,-1510.0,7.57,23.64,64633.0
1384.0,6708.375795839595,101893.63071613749,5423.915220387831,35.48115913316772,-96.379555656113,17795.0,0.7346,455.2,-2010.0,12.84,17.7,64615.0
1430.0,9113.762808966076,112450.67838919042,4952.8700721759615,35.57608200176581,-96.35287341610073,16250.0,0.7223,450.32,-2500.0,15.32,12.38,64603.0
1477.0,11943.868484944283,122783.09335394771,4366.87125411501,35.66897391304913,-96.32143007511519,14327.0,0.7069,443.95,-2500.0,17.11,13.09,64590.0
1523.0,15050.532948798022,132876.42216188202,3780.87243604179,35.75970346488537,-96.28685352210066,12404.0,0.6913,437.38,-2500.0,25.04,13.76,64576.0
1569.0,19453.940980150535,142301.60435656112,3194.873617962471,35.84439009964321,-96.23782825962557,10482.0,0.6758,430.65,-2500.0,31.34,14.39,64562.0
1615.0,24781.084798483942,151049.22661249322,2608.8747998795366,35.9229411907262,-96.17846170444533,8559.0,0.6656,427.12,-2500.0,37.38,15.86,64546.0
1661.0,30947.00703504333,159121.02465314246,2022.8759817956409,35.99536003472065,-96.10968106447743,6637.0,0.6573,424.73,-2500.0,52.38,17.77,64528.0
1707.0,38946.43210922425,165286.82824861858,1436.8771637070024,36.050529507306926,-96.02047170414413,4714.0,0.6492,422.4,-2500.0,45.63,19.83,64508.0
1753.0,46125.72454713803,172310.59712578007,850.8783456216696,36.113388096283394,-95.94021648958878,2792.0,0.5,327.55,-2000.0,30.63,6.99,64501.0
1800.0,50090.291314870636,179007.01238446095,382.0792911513458,36.17341728237394,-95.89566516331672,1254.0,0.3,197.59,-1500.0,15.63,7.8,64493.0
1846.0,51352.72446851822,183520.2172893809,30.480000297477957,36.21393999910588,-95.88131000112094,100.0,0.1,66.13,-1000.0,0.63,70.21,64423.0
