origin,destination,median_altitude,median_tas
KDFW,KEWR,35204.0,445.5
KAFW,KDRT,18138.0,340.23
KDFW,KLIT,16420.0,333.14
KAFW,KAMA,16115.0,331.92
KAFW,KCPR,34675.0,446.1
KDFW,KGYY,34021.0,443.69
KAFW,KMFE,24018.0,373.99
KAFW,KAUS,11355.0,309.17
KDAL,KHTS,34695.0,446.35
KAFW,KIND,33573.0,441.38
KAFW,KCVG,34511.0,446.24
KAFW,KCOE,35258.0,445.62
KDAL,KCNO,34998.0,445.41
KAFW,KOKC,9701.0,297.43
KDFW,KGSO,34783.0,445.66
KAFW,KMAF,16075.0,330.7
KDFW,KRFD,33649.0,442.94
KDFW,KHSV,27717.0,409.84
KDAL,KSAT,14242.0,320.05
KDFW,KMIA,34915.0,445.17
KDAL,KIAG,35000.0,445.46
KDAL,KSDF,32220.0,440.33
KDFW,KATL,32461.0,439.26
KAFW,KRNO,35138.0,445.42
KAFW,KOMA,26941.0,408.45
KAFW,CYQB,35493.0,446.16
KDFW,KPHX,34680.0,446.29
KAFW,KMCI,23513.0,371.46
KAFW,KIDA,34917.0,445.56
