Regime,Total Fuel Burn (kg),Total Time in Flight (min)
fuel,2572.162267167262,66.86666666666666
fuel,2522.561078351936,65.75
fuel,6800.056190893112,175.21666666666667
fuel,3900.9993041733724,102.2
fuel,2500.2256147728876,65.16666666666667
fuel,2555.7707563273407,66.6
fuel,1963.6843206618994,50.916666666666664
fuel,5779.809148804608,147.78333333333333
fuel,2433.0077553179235,63.333333333333336
fuel,3882.2258303027365,101.26666666666667
fuel,2063.9721311919834,53.5
fuel,1744.215843526611,45.56666666666667
fuel,4341.395864124764,114.51666666666667
fuel,2821.252619128369,74.31666666666666
fuel,1117.588457588995,29.916666666666668
fuel,1464.972302392026,38.45
fuel,5853.050009180312,150.06666666666666
fuel,2369.4650918236066,61.833333333333336
fuel,2544.675389678368,66.13333333333334
fuel,3703.4641887905227,97.08333333333333
fuel,2992.4665259185676,77.43333333333334
fuel,2014.541073002448,52.05
fuel,4245.774585029448,111.33333333333333
fuel,4987.186609640063,127.95
fuel,4325.825603397255,113.96666666666667
fuel,1292.0825575711328,34.266666666666666
fuel,4670.70960610708,120.5
fuel,5956.410835185123,153.66666666666666
fuel,1783.0574597109921,46.63333333333333
fuel,1514.6635128041842,39.833333333333336
fuel,4926.088620747636,125.6
fuel,1193.3472509702783,31.75
fuel,5950.967613523924,153.46666666666667
fuel,1870.9245789122772,48.833333333333336
fuel,2221.5873759048877,58.0
fuel,2961.476751846944,77.23333333333333
fuel,1116.8977128647368,29.9
likelihood,3364.8041344393846,62.583333333333336
likelihood,3922.7846297612596,67.95
likelihood,9526.419460821844,181.43333333333334
likelihood,4810.518032941526,92.13333333333334
likelihood,3385.7174605648825,61.0
likelihood,3376.778999619028,62.9
likelihood,2805.1912113230737,50.733333333333334
likelihood,6847.114939132731,136.35
likelihood,3461.5550579245387,62.68333333333333
likelihood,5488.286505765393,100.35
likelihood,3210.531419510225,56.483333333333334
likelihood,2124.1889949525607,37.55
likelihood,5483.362674224307,105.96666666666667
likelihood,3592.2787316533418,65.88333333333334
likelihood,1603.1310634276722,27.85
likelihood,2396.073526641396,41.13333333333333
likelihood,7153.759043144695,140.83333333333334
likelihood,3346.1375321489704,60.13333333333333
likelihood,3247.730708046884,60.45
likelihood,5117.956519794646,92.98333333333333
likelihood,4204.089048188862,75.33333333333333
likelihood,2806.1115640592107,51.9
likelihood,5095.847741705928,99.86666666666666
likelihood,6442.8347957195365,125.08333333333333
likelihood,5511.836049497966,107.11666666666666
likelihood,1680.038680753998,29.383333333333333
likelihood,5699.4944890336055,111.65
likelihood,7154.351856517613,141.6
likelihood,2330.2022337096437,40.78333333333333
likelihood,2369.0758417860775,41.05
likelihood,6082.842058808627,119.78333333333333
likelihood,1625.7480732131314,27.25
likelihood,7986.519520406617,155.15
likelihood,2265.9693219445016,40.18333333333333
likelihood,2746.0059065818677,49.96666666666667
likelihood,3899.455756662316,71.8
likelihood,1598.4363398255025,27.85
risk,3946.368752286877,74.96666666666667
risk,3397.3897433163634,64.95
risk,11867.729290641935,250.1
risk,5525.967758625508,114.2
risk,4032.943093954804,70.86666666666666
risk,3565.428219065065,65.85
risk,3209.0081056773815,53.28333333333333
risk,8968.489635911634,193.21666666666667
risk,3493.7791976922617,62.53333333333333
risk,5017.65886906889,96.81666666666666
risk,2585.7841464477337,47.21666666666667
risk,2227.423548637747,37.63333333333333
risk,6231.390447110002,128.55
risk,3985.451875495001,72.75
risk,1751.8476907476202,29.783333333333335
risk,1901.8504745697874,32.833333333333336
risk,8545.042990349724,175.53333333333333
risk,3182.673718559483,57.28333333333333
risk,4102.866504660533,75.65
risk,5529.193217697144,105.01666666666667
risk,4037.3220247470754,78.53333333333333
risk,2577.164336569703,46.31666666666667
risk,5302.012141491752,103.08333333333333
risk,6057.7063739926725,122.68333333333334
risk,7068.112872143282,141.43333333333334
risk,1871.7914978548185,30.816666666666666
risk,6226.514284683331,130.15
risk,8516.483363786225,168.75
risk,2347.375128227196,40.4
risk,2107.967479462374,35.666666666666664
risk,6616.7651024794495,133.56666666666666
risk,1676.3021624109429,27.216666666666665
risk,7947.3711007383945,154.3
risk,2493.863590813123,42.56666666666667
risk,3396.6688261240565,60.233333333333334
risk,3824.2003751409557,74.96666666666667
risk,1500.3567096106256,23.866666666666667
