origin,destination,median_altitude,median_tas
KDFW,KMEM,22921.0,469.48
KAFW,KPHX,28178.0,478.77
KDAL,KTOL,27752.0,479.89
KDFW,KONT,27429.0,482.21
KDAL,KSUS,25312.0,474.41
KDAL,KMFE,22405.0,465.77
KDFW,KARA,22718.0,470.85
KAFW,KBFM,27170.0,478.04
KDFW,KTIK,14726.0,439.21
KAFW,MMQT,26199.0,479.73
KAFW,KMEM,24461.0,472.95
KAFW,KIAH,17601.0,331.0
KAFW,KLAX,27483.0,481.8
KDFW,KATL,28314.0,479.31
KAFW,KONT,27495.0,481.46
KDAL,KLRD,21189.0,464.12
KDAL,MMQT,25912.0,479.82
KAFW,KIAG,26704.0,481.55
KDAL,MMSP,23517.0,475.79
KDFW,KMFE,21331.0,464.33
KAFW,KMSY,23511.0,473.54
KDFW,KMCO,27703.0,478.72
KAFW,KIND,27302.0,479.83
KAFW,KJFK,26090.0,480.93
KDAL,KELP,26518.0,476.62
KDAL,KSAT,12888.0,383.6
KDFW,KSHV,14411.0,427.86
KAFW,KMCO,27636.0,479.39
KDFW,KMCI,23341.0,470.07
KDAL,KDRT,21464.0,464.91
KDFW,KOKC,14664.0,437.28
KAFW,KSHV,15716.0,426.51
KAFW,KICT,17372.0,451.26
KDFW,KLIT,19459.0,459.59
KAFW,KMFE,21867.0,463.8
KDFW,KLFT,23189.0,468.9
KAFW,KMAF,17464.0,454.63
