origin,destination,median_altitude,median_tas
KDAL,KSAT,14367.0,426.25
KAFW,KMCO,27189.0,474.05
KAFW,KJFK,15000.0,296.14
KDFW,KMFE,18233.0,422.68
KDAL,KELP,22110.0,422.08
KAFW,KLAX,18120.0,375.49
KDFW,KMEM,19767.0,462.43
KDAL,KDRT,10255.0,423.6
KDFW,KATL,21518.0,407.22
KAFW,MMQT,17510.0,361.37
KAFW,KMSY,25865.0,470.21
KDAL,KMFE,15930.0,352.54
KDFW,KONT,18896.0,352.08
KDAL,MMSP,18569.0,363.64
KAFW,KSHV,15221.0,430.75
KAFW,KBFM,22741.0,449.71
KDFW,KTIK,9953.0,428.16
KDFW,KOKC,13105.0,436.97
KDFW,KLFT,18348.0,456.12
KAFW,KIAG,22914.0,441.38
KDFW,KLIT,15503.0,447.01
KDAL,MMQT,17850.0,336.26
KAFW,KMFE,16030.0,344.67
KDAL,KSUS,23834.0,432.62
KDFW,KMCO,23058.0,434.73
KAFW,KMEM,20959.0,430.78
KAFW,KIND,27526.0,478.51
KDFW,KARA,20089.0,461.06
KDAL,KLRD,14495.0,420.85
KAFW,KIAH,15167.0,445.6
KDAL,KTOL,23670.0,399.92
KAFW,KICT,15355.0,439.09
KDFW,KSHV,13438.0,432.25
KDFW,KMCI,19590.0,418.31
KAFW,KONT,21312.0,317.66
KAFW,KPHX,27103.0,477.83
KAFW,KMAF,14558.0,443.83
